1. W|cao|agata arinto amphora 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
679. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
680. W|caol|ila moch 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|caol|ila moch 0 43 gb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
682. W|caol|ila moch 070 ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. W|caol|ila moch 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
684. X
685. W|caol|ila moch estojo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
686. W|caol|ila moch fall|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
687. X
688. W|caol|ila moch islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|caol|ila moch single islay malt 43 vol 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|caol|ila moch single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
691. W|caol|ila moch single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=690
692. W|caol|ila natural cask strength 593|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
693. W|caol|ila natural cask strength 613|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
694. W|caol|ila natural cask strength 616|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
695. W|caol|ila provenance 6yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
696. W|caol|ila sassicaia cask connoisseurs choice 2010 gordon macphail|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
697. W|caol|ila signatory 201010yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
698. W|caol|ila signatory 201011yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
699. W|caol|ila signatory 201011yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=698
700. W|caol|ila signatory denmark collection 2 cask str 591 hogshead|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
701. W|caol|ila signatory vintage|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
702. W|caol|ila single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
703. W|caol|ila smoking blackberries 445 port finish coopers choice|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
704. W|caol|ila special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
705. W|caol|ila special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=704
706. W|caol|ila stitchell reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
707. W|caol|ila stitchell reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=706
708. W|caol|ila the accomplice chess investigation series|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
709. W|caol|ila the distillers edition 2021 double matured 2009 43 0 gb|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
710. W|caol|ila the distillers edition 2022 double matured|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
711. W|caol|ila the distillers edition 43 2000 bottled in|??|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
712. W|caol|ila the distillers edition distilled 2004 bottled|??|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
713. W|caol|ila the distillers edition double matured|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
714. W|caol|ila the distillers edition moscatel sherry finish|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
715. W|caol|ila the victim chess investigation series|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
716. W|caol|ila unpeated 11 years ambrosial feast special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
717. W|caol|ila unpeated 15 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
718. W|caol|ila unpeated 15 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
719. W|caol|ila unpeated special release 2024 11 year old|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
720. W|caol|ila12 yr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
721. W|caol|illa 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
722. W|caol|illa signatory 2010 cask 321709|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
723. W|caol|illa signatory cask strength|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
724. W|caol|lia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
725. W|caol|lia 10 2009 omc for jis|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
726. W|caol|lia 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. W|caol|lia 12|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
728. W|caol|lia 14yo obscurities curiosities north star|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
729. W|caol|lia 15|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
730. W|caol|lia 18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
731. W|caol|lia 22|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
732. W|caol|lia 23|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
733. W|caol|lia 25|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
734. W|caol|lia 3|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
735. W|caol|lia 7|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
736. W|caol|lia 8 2011 4|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
737. W|caol|lla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
738. W|caol|lla 12 anos 750 mlt 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
739. W|caol|lla 1977 16 years old by moon import the sails in the wind|??|f|??|??|??|1977|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
740. W|caola|mososzappan 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
741. W|caola|mososzappan citrom illattal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
742. W|caolila|disted2003 43o|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
743. W|caolila|moch 43o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
744. W|caoline|caoline|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
745. W|caor|caor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
746. X
747. X
748. X
749. W|caorologio|bianco del veneto|it|w|??|veneto|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
750. W|caorologio|rosato|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
751. W|caorologio|salarola bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
752. W|caorunn|caorunn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
753. W|caorunn|caorunn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=752
754. W|caorunn|caorunn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=752
755. W|caorunn|caorunn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=752
756. W|caorunn|caorunn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=752
757. W|caorunn|418 07|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
758. W|caorunn|48 master distiller s cut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
759. W|caorunn|48 master distillers cut small batch 1 ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
760. W|caorunn|blood orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
761. W|caorunn|blood orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=760
762. W|caorunn|scottish raspberry 418 abv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
763. W|caorunn|small batch scottish mignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
764. W|caos|chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
765. W|caos|chardonnay magnum|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
766. W|caos|nadie puede decirte quien sos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
767. W|caos|rosato|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
768. W|caoswine|anarkica|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
769. W|caoswine|caotica|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
770. W|caotico|barbara avellino|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
771. W|caotonic|400gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
772. W|caotonic|500gr st|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
773. W|cap|a pie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
774. W|cap|a pie michel couvreur|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
775. W|cap|a pie nm michel couvreur|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
776. W|cap|air force academy switzerland|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
777. W|cap|al tap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
778. X
779. W|cap|andritxol sa talaia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
780. W|cap|andritxol vigilia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
781. W|cap|au large vino rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
782. W|cap|au large vino rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=781
783. W|cap|au nord clairette de bellegarde 2023 blanc clos des boutes|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
784. W|cap|au sud 2020 vins denvie|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
785. W|cap|au sud|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
786. W|cap|au sud vin de france chardonnay 2021 carillon|fr|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
787. W|cap|au sud vin de france chardonnay 2022 carillon|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
788. W|cap|bar du champagne|fr|s|??|champagne|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
789. W|cap|barbell 24 utility rack for dumbbells medicine balls and kettlebells|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
790. W|cap|barbell a frame olympic plate rack dark gray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
791. W|cap|barbell aframe dumbbell rack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
792. W|cap|barbell aframe dumbbell rack dark gray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
793. W|cap|barbell aframe dumbbell rack multiple color options|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
794. W|cap|barbell aframe dumbbell weight rack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
795. W|cap|barbell aframe dumbbell weight rack black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
796. W|cap|barbell black vkr bodyweight training station|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
797. W|cap|barbell dumbbell and accessories rack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|cap|barbell dumbbell and kettlebell storage rack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
799. W|cap|barbell dumbbell rack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
800. W|cap|barbell dumbbell set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
801. W|cap|barbell dumbbell storage rack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
802. W|cap|barbell olympic 2inch plate rack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
803. W|cap|barbell olympic 2inch plate stand black rk2aj|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
804. W|cap|barbell olympic plate tree storage rack multiple colors|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
805. W|cap|barbell power racks and attachments|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
806. W|cap|barbell rk24d2j 24 dumbbell storage rack black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
807. W|cap|barbell two tier dumbbell rack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
808. W|cap|barbell weight plate rack for 1inch weight plates|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
809. W|cap|beige|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
810. W|cap|blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
811. W|cap|blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
812. W|cap|cette picpoul de pinet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
813. W|cap|cette picpoul de pinet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=812
814. W|cap|classic dad black|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
815. W|cap|classique|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
816. W|cap|classique|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=815
817. W|cap|classique|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
818. W|cap|classique|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
819. W|cap|classique|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
820. W|cap|classique benguela cove cuvee 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
821. W|cap|classique benguela cove cuvee 58 rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
822. W|cap|classique blanc de blanc|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
823. W|cap|classique blanc de blanc|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=822
824. W|cap|classique blanc de blanc|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
825. W|cap|classique blanc de blanc|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=824
826. W|cap|classique blanc de blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
827. W|cap|classique blanc de blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=826
828. W|cap|classique blanc de blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
829. W|cap|classique blanc de blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=828
830. W|cap|classique blanc de blancs|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
831. W|cap|classique blanc de blancs jacques bruere|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
832. W|cap|classique brunch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
833. W|cap|classique brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
834. W|cap|classique brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=833
835. W|cap|classique brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=833
836. W|cap|classique brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=833
837. W|cap|classique brut|??|s|??|??|??|2015|12|??|leve|frutos do mar, aperitivos, sushi|brut
838. W|cap|classique brut|??|s|??|??|??|2016|12|??|leve|frutos do mar, aperitivos, sushi|brut
839. W|cap|classique brut|??|s|??|??|??|2017|12|??|leve|frutos do mar, aperitivos, sushi|brut
840. W|cap|classique brut|??|s|??|??|??|2018|12|??|leve|frutos do mar, aperitivos, sushi|brut
841. W|cap|classique brut|??|s|??|??|??|2020|12|??|leve|frutos do mar, aperitivos, sushi|brut
842. W|cap|classique brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut
843. W|cap|classique brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut|=842
844. W|cap|classique brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut|=842
845. W|cap|classique brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut|=842
846. W|cap|classique brut bundle|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
847. W|cap|classique brut nv|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
848. W|cap|classique brut reserve bon courage jacques bruere south africa|za|s|??|??|??|NV|12|reserve|leve|frutos do mar, aperitivos, sushi|brut
849. W|cap|classique brut rose|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
850. W|cap|classique brut rose|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=849
851. W|cap|classique brut rose|??|s|??|??|??|2016|12|??|leve|frutos do mar, aperitivos, sushi|brut
852. W|cap|classique brut rose|??|s|??|??|??|2017|12|??|leve|frutos do mar, aperitivos, sushi|brut
853. W|cap|classique brut rose|??|s|??|??|??|2018|12|??|leve|frutos do mar, aperitivos, sushi|brut
854. W|cap|classique brut rose|??|s|??|??|??|2019|12|??|leve|frutos do mar, aperitivos, sushi|brut
855. W|cap|classique brut rose|??|s|??|??|??|2020|12|??|leve|frutos do mar, aperitivos, sushi|brut
856. W|cap|classique brut rose bundle|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
857. W|cap|classique brut rose nv|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
858. W|cap|classique chardonnay brut|??|s|chardonnay|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
859. W|cap|classique mixed case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
860. W|cap|classique nectar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
861. W|cap|classique nectar|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
862. W|cap|classique nectar|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
863. W|cap|classique nectar|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
864. W|cap|classique nectar rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
865. W|cap|classique rose brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
866. W|cap|classique vintage brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
867. W|cap|classique vintage collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
868. W|cap|classique vintage collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=867
869. W|cap|company 9forty aframe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
870. W|cap|corse blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
871. W|cap|corse blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=870
872. W|cap|corse blanc damiani 15|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
873. W|cap|corse blanc grande reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
874. W|cap|corse blanc mattei grande reserve vermouth 17|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
875. W|cap|corse blanc quinquina|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
876. W|cap|corse mattei blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
877. W|cap|corse mattei blanc quinquina|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
878. W|cap|corse mattei blanc quinquina|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=877
879. W|cap|corse mattei blanc quinquina|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=877
880. W|cap|corse mattei blanc quinquina aperitif|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
881. W|cap|corse mattei quinquina blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
882. W|cap|corse mattei quinquina blanc aperitif|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
883. W|cap|corse mattei quinquina rouge aperitif|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
884. W|cap|corse mattei rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
885. W|cap|corse mattei rouge quinquina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
886. W|cap|corse mattei rouge quinquina aperitif|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
887. W|cap|corse quinquina blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
888. W|cap|corse quinquina blanc aperitif|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
889. W|cap|corse rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
890. W|cap|corse rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=889
891. W|cap|corse rouge 8 ans dagedamiani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
892. W|cap|corse rouge grande reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
893. W|cap|corse rouge mattei grande reserve vermouth 17|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
894. W|cap|corse rougedamiani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
895. W|cap|crimson roses babys breath|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
896. W|cap|dagde blanc sauvignon blanc viognier en muscat sec 2023 135 vol|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
897. W|cap|dagde desir de rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
898. W|cap|dagde desir de rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=897
899. W|cap|dagde desir de rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
900. W|cap|dagde desire de rose 2025 france|fr|p|??|??|??|2025|12|??|leve|carne vermelha, massas, queijos curados|seco
901. W|cap|dagde rose grenache noir 2024 13 vol|??|p|grenache|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
902. W|cap|dagde rouge cabernet sauvignon 2022 14 vol|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
903. W|cap|de barbaria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
904. W|cap|de barbaria ophiusa|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
905. W|cap|de barbaria ophiusa igp|us|r|??|??|??|2018|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
906. W|cap|de baux|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
907. W|cap|de baux|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=906
908. W|cap|de coste reserve cabernet merlot|??|r|merlot|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
909. W|cap|de coste reserve cabernet merlot|??|r|merlot|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
910. W|cap|de coste rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
911. W|cap|de coste rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
912. W|cap|de coste rose 2023 lgi wines vin de pays d oc frankrig|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
913. W|cap|de coste rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
914. W|cap|de coste rose 2024 languedoc pays doc|??|p|??|??|??|2024|12|doc|leve|carne vermelha, massas, queijos curados|seco
915. W|cap|de coste rose languedoc pays doc|??|p|??|??|??|2021|12|doc|leve|carne vermelha, massas, queijos curados|seco
916. W|cap|de coste rose magnum|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
917. W|cap|de faugeres 2000 cotes de castillon|??|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
918. W|cap|de faugeres 2005 cotes de castillon|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
