W|vino|espumoso blanco rgny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual brut blanc de blancs|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=692
W|vino|don pascual blanc de noirs rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|don pascual blanc de noirs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual bivarietal tannat merot tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual bivarietal tannat merlot tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual bivarietal malbec marselan|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don nicanor malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don nicanor malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=700
W|vino|don nicanor cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don nicanor blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don melchor cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don melchor cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don melchor cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=705
W|vino|don melchor cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=705
W|vino|don melchor cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=705
W|vino|don melchor botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don melchor botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=709
W|vino|don melchor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don melchor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=711
W|vino|don luis reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|dolce igt isola dei nuraghi angialis argiolas|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|doce
W|vino|dolce igt acininobili maculan|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|doce
W|vino|dolce eiswein cuvee 2023 norbert bauer tappo a vite|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|dolce eiswein cuvee 2023 norbert bauer tappo a vite|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|doce|=716
W|vino|dolce eiswein cuvee 2023 norbert bauer tappo a vite|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|doce|=716
W|vino|dolce da uve stramature tre filer ca dei frati|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|dilema velvet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dilema sweet rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|dilema sweet rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce|=721
W|vino|dilema pink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dilema malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dilema malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=724
W|vino|dilema cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dilema cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=726
W|vino|diablo volcanic cab 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo velvet merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo purple malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo purple malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=730
W|vino|diablo luminous rose 750cc|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|diablo luminous rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|diablo deep carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo deep carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo dark red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo dark red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=736
W|vino|diablo dark red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=736
W|vino|diablo dark red 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo dark red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo dark red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=740
W|vino|diablo dark red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=740
W|vino|diablo black cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|diablo black cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di visciole superiore querciantica velenosi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di visciole superiore querciantica velenosi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=745
W|vino|di visciole superiore querciantica velenosi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=745
W|vino|di visciole superiore querciantica velenosi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=745
W|vino|di sasso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di sasso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=749
W|vino|di contrada pt pettineo 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di contrada pt pettineo 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di contrada pt pettineo 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di contrada fl fossa di lupo 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di contrada fl fossa di lupo 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di contrada fl fossa di lupo 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di contrada bb bombolieri 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di contrada bb bombolieri 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di contrada bb bombolieri 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo tinto suave vidro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo tinto suave bordo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo tinto seco vidro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo tinto seco bordo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo branco suave vidro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo branco suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo branco suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=767
W|vino|di bartolo branco seco vidro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di bartolo branco seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna vendredi 13 rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna vendredi 13 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna vendredi 13 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=772
W|vino|di anna sicilia bianco g 2022|it|r|??|sicilia|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna sfuso di anna rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna rosso cr 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna qvevri 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna qvevri 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=777
W|vino|di anna pirao 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna palmento rosso 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna palmento rosso 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??|=780
W|vino|di anna palmento bianco 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna palmento bianco 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna palmento bianco 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=783
W|vino|di anna palmento bianco 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=783
W|vino|di anna palmento bianco 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=783
W|vino|di anna palmento bianco 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=783
W|vino|di anna palmento bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna palmentino rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna palmentino rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=789
W|vino|di anna palmentino rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=789
W|vino|di anna palmentino rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=789
W|vino|di anna jeudi 15 rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna jeudi 15 rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=793
W|vino|di anna jeudi 15 rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=793
W|vino|di anna jeudi 15 rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=793
W|vino|di anna jeudi 15 rosato|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|di anna jeudi 15 rosato|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=797
W|vino|di anna jeudi 15 bianco 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna jeudi 15 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna bianco nave 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna bianco g 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna bianco g 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=802
W|vino|di anna bianco g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna bianco g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=804
W|vino|di anna bianco 2020 12 bottles|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna bianco 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|di anna andalou nm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|designado cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|descabezado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|del terreno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|del poggio vino rosso barbera 2018|??|r|barbera|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|del poggio rosso navel 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|del poggio rosso 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|del poggio rosso 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??|=815
W|vino|del poggio bianco 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|del poggio bianco 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=817
W|vino|del passo 2022 lieselehof|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|del fin del mundo postales malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dei fratelli pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|dehesa la granja peonia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dehesa la granja dg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dehesa la granja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dehesa la granja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=824
W|vino|dehesa la granja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=824
W|vino|decimo ancellotta miguel minni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de vinedo los parientes pinot noir vinos baettig|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de tierra tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de tierra rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|de tierra naranja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de solera bruzzone tipo jerez seco|es|r|??|andalucia|jerez|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de postre tres raices mistela|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de postre oremus tokaji late harvest|??|d|??|??|??|NV|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|de postre la cetto moscatel palomino|??|r|palomino|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de postre eiswein blue nun|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de postre boutique la cetto passito|??|d|??|??|??|NV|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|de pitahaya kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de pina kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de piedra tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de piedra tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=840
W|vino|de piedra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de piedra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=842
W|vino|de parcela la canoca 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de parcela el bardallo 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de parcela camino de ribas 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de naranja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de mora azul kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de montana 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de misa los monjes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de misa growler|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de misa botella pet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de misa bacarles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de misa 750 cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de martino gallardia cinsault rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|de manzana canan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de mango kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de mandarina kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de luna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de la tierra las vinas bastardas 2023 casa rojo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de la tierra las vinas bastardas 2023 casa rojo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=860
W|vino|de la tierra de castilla chardonnay case only|es|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|de la reina sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de la reina pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de la reina nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de la reina malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de la reina cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de flor de jamaica kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de eyzaguirre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de extrema altura en estuche de madera|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de durazno canan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de consagrar santa christina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de cereza kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de cafe kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|de arandano kichak|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dark horse sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|dark horse sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=876
W|vino|dark horse rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|dark horse rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=878
W|vino|dark horse pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dark horse pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=880
W|vino|dark horse merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dark horse merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=882
W|vino|dark horse chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|dark horse cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dark horse cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=885
W|vino|dark horse big red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dark horse big red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=887
W|vino|dandelion malbec 750 cc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|da uve surmature dolce tre filer 2021 ca dei frati|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|da uve surmature dolce tre filer 2021 ca dei frati|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|doce|=890
W|vino|da uve stramature stradora quarticello|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|da uve stramature stradora quarticello|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=892
W|vino|da uve stramature quae 2022 tanca gioia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|da uve stramature quae 2022 tanca gioia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=894
W|vino|da uve stramature nani villa venti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|da uve stramature nani villa venti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=896
W|vino|da uve stramature apeyron villa venti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|da uve stramature apeyron villa venti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=898
W|vino|cune imperial reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|cune crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cune crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=901
W|vino|cuenca merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cuenca cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cuatro cumbres tinto tetra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cuatro cumbres tetra tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cuatro cumbres tetra blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cuarenta vendimias tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cruz de alba crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crux xtra malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crux xtra malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=910
W|vino|crux xtra cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crux xtra cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=912
W|vino|crux tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crux malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crux cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crux beta blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crno ideal vranac stridon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crios torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crios rose of malbec|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|crios malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crios malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=921
W|vino|crios limited edition malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|crios chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|crios chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=924
W|vino|crios cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cria de cosechas tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cria de cosechas patero tto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cousino macul gris cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cousino macul finis terrae red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cousino macul don matias reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|cousino macul don matias reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=931
W|vino|cousino macul don matias reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
