1. W|carema|doc vigne alte 2022 sorpasso|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
694. W|carignano|del sulcis riserva doc is solinas 2022 argiolas|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=692
695. W|carignano|del sulcis riserva doc is solinas 2022 argiolas|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=692
696. W|carignano|del sulcis riserva doc is solinas 2022 argiolas|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=692
697. W|carignano|del sulcis riserva doc terre rare sella mosca|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
698. W|carignano|del sulcis riserva rocca rubia santadi|??|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
699. W|carignano|del sulcis riserva rocca rubiasantadi lt 075|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
700. W|carignano|del sulcis rosato doc u tabarka flamingo 2023 tanca gioia|??|p|??|??|??|2023|12|doc|leve|carne vermelha, massas, queijos curados|seco
701. W|carignano|del sulcis rosato doc u tabarka flamingo 2023 tanca gioia|??|p|??|??|??|2023|12|doc|leve|carne vermelha, massas, queijos curados|seco|=700
702. W|carignano|del sulcis rosato doc u tabarka flamingo 2023 tanca gioia|??|p|??|??|??|2023|12|doc|leve|carne vermelha, massas, queijos curados|seco|=700
703. W|carignano|del sulcis rosato doc u tabarka flamingo 2023 tanca gioia|??|p|??|??|??|2023|12|doc|leve|carne vermelha, massas, queijos curados|seco|=700
704. W|carignano|del sulcis russu tanca gioia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
705. W|carignano|del sulcis superiore doc gavino 2021 cantina mesa|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
706. W|carignano|del sulcis superiore doc gavino 2021 cantina mesa|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=705
707. W|carignano|del sulcis superiore doc gavino 2021 cantina mesa|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=705
708. W|carignano|del sulcis superiore doc gavino 2021 cantina mesa|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=705
709. W|carignano|del sulcis superiore doc gavino 2021 cantina mesa|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=705
710. W|carignano|del sulcis superiore doc terre brune 2019 santadi|??|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
711. W|carignano|del sulcis superiore doc terre brune 2020 santadi|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
712. W|carignano|grotta rossa|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
713. W|carignano|igt isola dei nuraghi cardanera argiolas|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
714. W|carignano|igt isola dei nuraghi cardanera argiolas|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=713
715. W|carignano|isola dei nuraghi igt biologico cantine antigori|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
716. W|carignano|isola dei nuraghi igt libaltai|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
717. W|carignano|riserva rocca rubia|??|r|??|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
718. W|carignano|sulcis grotta rossa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
719. W|carignano|tenute santamaria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
720. W|carignano|tenute santamaria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=719
721. W|carignator|carignator|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
722. W|carignator|carignator|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=721
723. W|carignature|ohne zusatz von sulfiten|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
724. W|carignature|sem sulfitos adicionados|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
725. W|carigno|del maule|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
726. W|carigno|del maule carignan|cl|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. W|carigno|del maule moretta wines|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
728. W|carigno|del maule x6|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
729. W|carignoir|carignoir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
730. X
731. W|caril|de camarao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
732. W|caril|de frango|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
733. W|caril|de grao compal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
734. W|caril|margao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
735. W|caril|margao 16x17gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
736. W|caril|margao 50 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
737. W|caril|moido up kg 5|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
738. W|caril|up 24x15gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
739. W|carilhao|dangel garrafas caixa de madeira|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
740. W|carillas|dentales perfecta sonrisa dro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
741. W|carillion|wines expressions pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
742. W|carillon|carillon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
743. W|carillon|domaine des amiel herault|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
744. W|carillon|aligote|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
745. W|carillon|angel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
746. W|carillon|angelus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
747. W|carillon|angelus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=746
748. W|carillon|bienvenues batard montrachet|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
749. W|carillon|bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
750. W|carillon|brunello di montalcino tuscany|it|r|??|tuscany|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
751. W|carillon|cap au sud chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
752. W|carillon|chassagne montrachet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
753. W|carillon|chassagnemontrachet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
754. W|carillon|chassagnemontrachet 1er cru les macharelles|??|r|??|??|??|NV|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
755. W|carillon|chassagnemontrachet|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
756. W|carillon|chassagnemontrachet|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
757. W|carillon|chassagnemontrachet premier|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
758. W|carillon|chassagnemontrachet premier|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=757
759. W|carillon|chassagnemontrachet premier|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
760. W|carillon|d angelus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
761. W|carillon|d angelus red wine saint emilion grand cru|fr|r|??|??|??|2016|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
762. W|carillon|dangel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
763. W|carillon|dangel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=762
764. W|carillon|dangel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=762
765. W|carillon|dangel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=762
766. W|carillon|dangel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=762
767. W|carillon|dangel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=762
768. W|carillon|dangel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=762
769. W|carillon|dangel 23 171 42 130|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
770. W|carillon|dangel bouteilles caisse bois|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
771. W|carillon|dangel bouteilles caisse bois|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=770
772. W|carillon|dangel bouteilles caisse bois|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=770
773. W|carillon|dangel cb6 st emilion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
774. W|carillon|dangelus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
775. X
776. X
777. X
778. W|carillon|dangelus saint emilion|fr|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
779. X
780. X
781. X
782. X
783. W|carillon|dangelus saintemilion|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
784. W|carillon|dangelus saintemilion grand cru|??|r|??|??|??|2012|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
785. W|carillon|dangelus saintemilion grand cru|??|r|??|??|??|2019|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
786. W|carillon|dangelus saintemilion grand cru france|fr|r|??|??|??|2015|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
787. W|carillon|dangelus saintemilion grand cru france|fr|r|??|??|??|2016|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
788. W|carillon|dangelus saintemilion grand cru france|fr|r|??|??|??|2018|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
789. W|carillon|dangelus saintemilion grand cru france|fr|r|??|??|??|2019|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
790. W|carillon|dangelus saintemilion grand cru france|fr|r|??|??|??|2020|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
791. W|carillon|dangelus saintemilion grand cru france|fr|r|??|??|??|2021|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
792. W|carillon|dangelus saintemilion grand cru france|fr|r|??|??|??|2022|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
793. W|carillon|dargel saintemilion grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
794. W|carillon|dargel saintemilion grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco|=793
795. W|carillon|de angelus saint emilion grand cru|fr|r|??|??|??|2018|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
796. W|carillon|de angelus saint emilion grand cru|fr|r|??|??|??|2018|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco|=795
797. W|carillon|de angelus saint emilion grand cru|fr|r|??|??|??|2018|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco|=795
798. W|carillon|de langel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
799. X
800. W|carillon|de langelus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
801. W|carillon|de langelus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=800
802. W|carillon|de langelus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=800
803. W|carillon|de langelus|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
804. W|carillon|de langelus|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
805. W|carillon|de langelus|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
806. W|carillon|de langelus rating js9293|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
807. W|carillon|de langelus st emilion|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
808. W|carillon|de langelus st emilion|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
809. W|carillon|de langelus st emilion|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
810. W|carillon|de langelus st emillion|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
811. W|carillon|de langelus st emillion|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
812. W|carillon|de langelus st emillion|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
813. W|carillon|de rouget|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
814. W|carillon|francois 2014 pulignymontrachet 1er cru les combettes|??|r|??|??|??|2014|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
815. W|carillon|francois 2015 pulignymontrachet 1er cru les combettes|??|r|??|??|??|2015|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
816. W|carillon|francois 2016 pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2016|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
817. W|carillon|francois bourgogne cote d or blanc|fr|w|??|bourgogne|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
818. W|carillon|igp chardonnay|??|w|chardonnay|??|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco
819. W|carillon|jacques 2015 pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2015|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
820. W|carillon|jacques 2016 pulignymontrachet|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
821. W|carillon|jacques 2016 pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2016|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
822. W|carillon|jacques 2017 pulignymontrachet|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
823. W|carillon|jacques 2017 pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2017|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
824. W|carillon|jacques 2017 pulignymontrachet 1er cru les referts|??|r|??|??|??|2017|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
825. W|carillon|jacques 2018 pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2018|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
826. W|carillon|jacques 2018 pulignymontrachet 1er cru les referts|??|r|??|??|??|2018|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
827. W|carillon|jacques 2020 chassagnemontrachet|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
828. W|carillon|la vigne du petit poirier|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
829. W|carillon|louis 2001 pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2001|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
830. W|carillon|louis 2008 pulignymontrachet 1er cru champ canet|??|r|??|??|??|2008|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
831. W|carillon|louis 2008 pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2008|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
832. W|carillon|pasqua in legno con coniglietti flamigni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
833. W|carillon|pasqua in legno con coniglietto a scuola flamigni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
834. W|carillon|pasqua in legno con coniglietto flamigni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
835. W|carillon|paul 2014 bourgogne blanc|fr|w|??|bourgogne|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
836. W|carillon|presepe nativita in legno con torroncini flamigni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
837. W|carillon|puligny montrachet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
838. W|carillon|puligny montrachet 1er cru les perrieres|??|r|??|??|??|2001|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
839. W|carillon|pulignymontrachet 1er cru les combettes|??|r|??|??|??|NV|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
840. W|carillon|pulignymontrachet 1er cru les folatieres|??|r|??|??|??|NV|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
841. W|carillon|pulignymontrachet 1er cru les perrieres|??|r|??|??|??|NV|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
842. W|carillon|pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2018|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
843. W|carillon|pulignymontrachet 1er cru les perrieres|??|r|??|??|??|2019|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
844. W|carima|superior 25 marbled beef 1kg|??|r|??|??|??|NV|13.5|superior|medio|carne vermelha, massas, queijos curados|seco
845. W|carimbo|coluna pedagogico numeros e sinais mini madeira r790736|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
846. W|carimbo|pais e filhos pedagogico fazenda em madeira com 6 pecas r10798|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
847. W|carimou|la sorga|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
848. W|carina|carina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
849. W|carina|30 jr zapatilla urbana nina blanco 355 a 375 puma|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
850. W|carina|30 zapatilla urbana mujer blanco puma|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
851. W|carina|fine mist spray bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
852. W|carina|lun and friends wine pairing party|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
853. W|carina|strohwein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
854. W|carinae|finca deneza malbec perdriel|??|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
855. W|carinae|harmonie malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
856. W|carinae|harmonie syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
857. W|carinae|kanobos blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
858. W|carinae|mendoza argentine malbec 2011 harmonie|ar|r|malbec|mendoza|??|2011|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
859. W|carinae|odile cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
860. W|carinan|pingo pingo premium alcohuaz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
861. W|carinda|insolia doc sicilia|it|r|??|sicilia|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
862. W|carine|joubert beaujolais cuvee a lancienne|fr|r|??|beaujolais|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
863. W|carinena|carinena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
864. W|carinena|carinena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=863
865. W|carinena|carinena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=863
866. W|carinena|1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
867. W|carinena|carinena|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
868. W|carinena|masintin|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
869. X
870. W|carinena|5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
871. X
872. X
873. X
874. W|carinena|nativa care|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
875. W|carinena|nativa carinena do|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
876. W|caring|gift set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
877. W|caring|thoughts sympathy card|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
878. W|caringole|caringole|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
879. W|caringole|caringole|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=878
880. W|caringole|la croix belle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
881. W|caringole|la croix belle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
882. W|caringole|la croix belle rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
883. W|caringole|merlot igp pays d oc|??|r|merlot|??|??|NV|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
884. W|caringole|rose pays d oc igp|??|p|??|??|??|NV|12|igp|leve|carne vermelha, massas, queijos curados|seco
885. W|caringole|rouge igp|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
886. W|carinho|carinho|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
887. W|carini|hyampom grel ranch zinfandel dubakella|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
888. W|carini|poggio canneto umbria igt bio|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
889. W|carini|rile trasimeno doc bio|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
890. W|carinitos|de amor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
891. W|carino|carino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
892. W|carino|carino|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
893. W|carino|magnum|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
894. W|carino|grena|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
895. W|carino|mas des argunelles|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
896. W|carino|mio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
897. W|carino|panda|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
898. W|carinos|para ti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
899. W|carinoso|durazno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
900. W|carinoso|tinto verano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
901. W|carinus|24 vintage release tasting dinner thurs 30 oct|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
902. W|carinus|chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
903. W|carinus|chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=902
904. W|carinus|chenin blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
905. W|carinus|chenin blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
906. W|carinus|chenin blanc 25|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
907. W|carinus|colombard 25|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
908. W|carinus|family chenin blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
909. W|carinus|family syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
910. W|carinus|family vineyards chenin blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
911. W|carinus|family vineyards colombard|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
912. W|carinus|family vineyards dancho luka koue vid muscat blanc semillon stellenbosch south africa|za|w|muscat|stellenbosch|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
913. W|carinus|family vineyards dancho luka koue wit|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
914. W|carinus|family vineyards polkadraai chenin blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
915. W|carinus|family vineyards rooidraai chenin blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
916. W|carinus|family vineyards syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
917. W|carinus|family vineyards syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
918. W|carinus|pinot noir 24|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
919. W|carinus|polkadraai chenin blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
920. W|carinus|polkadraai chenin blanc vic 132 nsw|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
921. W|carinus|rooidraai chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
922. W|carinus|rooidraai chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=921
923. W|carinus|rooidraai chenin blanc 122|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
924. W|carinus|rooidraai chenin blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
925. W|carinus|rooidraai chenin blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
926. W|carinus|syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
927. W|carinus|syrah 24|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
