W|fugue de nenin|aoc pomerol 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|elio grasso dolcetto d alba dei grassi|docg|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
S|=146
W|elio grasso barolo gavarini vigna chiniera|docg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|elio grasso barbera d alba vigna martina|doc|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|elegido|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|elegance vis sauvignon blanc languedoc|languedoc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|elegance syrah languedoc|languedoc|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|elegance syrah grenache languedoc|languedoc|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|elegance pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|elegance merlot languedoc|languedoc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|elegance chardonnay languedoc|languedoc|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|elegance cabernet sauvignon languedoc|languedoc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el unico|single estate sauvignon blanc 2023|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|el unico|single estate blend de tintas 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el unico|pinot noir 2023|??|r|pinot noir|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|el unico|pinot noir 2023|??|r|pinot noir|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=682
W|el principal memorias|memorias|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el peral chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|el numerado malbec|2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el numerado chardonnay|2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|el enemigo malbec|2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el enemigo malbec|2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el enemigo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el enemigo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=690
W|el enemigo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=690
W|el enemigo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=690
W|el enemigo chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|el enemigo chardonnay|2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|el enemigo chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|el enemigo cabernet franc|2022|??|r|cabernet franc|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el enemigo cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el enemigo cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=698
W|el enemigo bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|el capricho|tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
X
W|el alto los romeros gift|gift|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eguigal tavel|tavel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eguigal tavel|tavel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=704
W|eguigal saintjoseph|saintjoseph|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eguigal saintjoseph|saintjoseph|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=706
W|eguigal hermitage|hermitage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eguigal gigondas|gigondas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eguigal crozes hermitage|hermitage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eguigal condrieu|condrieu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eguigal chateauneuf du pape stes pierres de nalys|nalys|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ea|tinto cartuxa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ea|tinto cartuxa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=713
W|ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=715
W|ea eugenio almeida|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ea eugenio almeida|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ea cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ea cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=719
W|ea cartuxa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ea cartuxa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=721
W|dv catena|tinto historico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena|tinto historico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=723
W|dv catena|tinto historico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=723
W|dv catena|tinto historico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=723
W|dv catena syrah syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena syrah syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=727
W|dv catena pinot noirpinot noir|2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena pinot noir pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena malbec malbec|2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena malbec malbec|2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=732
W|dv catena malbec malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena malbec malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=734
W|dv catena malbec malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=734
W|dv catena malbec malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=734
W|dv catena historico|historico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena chardonnaychardonnay|2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|dv catena chardonnay chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|dv catena chardonnay chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=740
W|dv catena chardonnay chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=740
W|dv catena cabernetmalbec|cabernetmalbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena cabernet sauvignon malbec|malbec|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena cabernet malbec|2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=746
W|dv catena cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=746
W|dv catena cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=746
W|dv catena cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=746
W|dv catena cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=746
W|dv catena cabernet cabernet|cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dv catena cabernet cabernet|cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=752
W|dv catena cabernet cabernet|cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=752
W|dv catena|blanco historico|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|dv catena adrianna|vineyard tupungato malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|duquesa maria superior regional alentejano|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|duquesa maria superior regional alentejano|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|duquesa maria|regional alentejano tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|duquesa maria private selection regional alentejano|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|duca enrico|enrico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|duc des nauves|nauves|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|duc depernon|bordeaux rouge|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|duas quintas|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dorna velha|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|dorna velha old vines|vines|??|r|??|??|??|NV|14.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|doracy chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|donato sangiovese puglia|igt 2023|??|r|sangiovese|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona vitoria|premium tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona vitoria|premium tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=769
W|dona vitoria colecao privada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona paula|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|dona paula los cardos cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona paula|pinot noir tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona paula|malbec tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona paula|blue edition tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona paula|black edition tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona maria amantis|amantis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dona ermelinda m j freitas|freitas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don pascual varietal tannat|tinto|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don pascual varietal tannat|tinto|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=780
W|don pascual varietal tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don pascual|viognier|??|w|viognier|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|don pascual|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|don pascual crianza em roble tannat|tannat|??|r|tannat|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don pascual coastal tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don pascual coastal tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=786
W|don nicanor malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don melchor cabernet sauvignon|2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don melchor cabernet sauvignon|2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don melchor cabernet sauvignon|2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don melchor cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don melchor cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=792
W|don melchor cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=792
W|don melchor cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=792
W|don melchor|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don luciano|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|don guerino tracos red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don guerino sinais sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|don guerino sinais riesling italico|italico|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|don guerino sinais malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don guerino sinais malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=801
W|don guerino|tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|don guerino|merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|don guerino|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|don guerino|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|don guerino malbec vintage|vintage|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don guerino malbec vintage|vintage|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=807
W|don guerino malbec terroir selection|selection|??|r|malbec|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don guerino le franc|franc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don guerino el gaucho tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don guerino cemento|cemento|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|don cayetano|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|don cayetano|riesling|??|w|riesling|??|??|NV|10.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|don cayetano|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|domus aurea|aurea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|domus aurea|aurea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=816
W|dominus napa valley red wine|wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dominio de la abadesa roble|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dominio de la abadesa roble|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=819
W|dominio de la abadesa crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dominio de cair|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|domaine du salvard cheverny blanc le vieux clos salvard|salvard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dom dinis|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dom candido merlotcabernet sauvignon documento un|do|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dom bosco|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|dom bosco|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dom bosco|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=827
W|dom bosco|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|dom bosco|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|dom bosco|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|dolcetto dacqui|doc cabianca|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|dogliani|docg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|do|porto white 10 anos maynards 2015|??|f|palomino|??|??|2015|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto vista alegre tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto vista alegre lagrima branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto velhotes white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto velhotes tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto velhotes ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto tinto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto tinto fonseca tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors tawny 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=843
W|do|porto taylors tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=845
W|do|porto taylors tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=845
W|do|porto taylors tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=845
W|do|porto taylors select reserve|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors lbv tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors lbv tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=851
W|do|porto taylors lbv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors lbv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=853
W|do|porto taylors fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors fine tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=857
W|do|porto taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=857
W|do|porto taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=857
W|do|porto taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=857
W|do|porto taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=857
W|do|porto taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=857
W|do|porto taylors fine ruby tinto portugal|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors fine ruby tinto portugal|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=864
W|do|porto taylors fine ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors fine ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=866
W|do|porto taylors fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=868
W|do|porto taylors fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=868
W|do|porto taylors chip dry branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors chip dry branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=871
W|do|porto taylors 40 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors 20 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylors 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto taylor s 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto tawny lagrima vista alegre|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto tawny ferreira|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto tawny dom jose|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto tawny ceremony|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ruby valdouro|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto royal oporto tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto royal oporto tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto royal oporto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto royal oporto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=884
W|do|porto royal oporto ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto royal oporto ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=886
W|do|porto royal oporto rose|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto royal oporto rose|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=888
W|do|porto royal oporto 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto royal oporto 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=890
