1. W|carl|joseph hoch deidesheimer leinhohle tba riesling|??|w|riesling|??|??|1976|12.5|??|leve|peixes, frutos do mar, saladas|seco
673. W|carlo|rossi california red must be 18yrs old and above|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|carlo|rossi california red must be 18yrs old and above|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=673
675. W|carlo|rossi california red smooth red wine|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
676. W|carlo|rossi california red smooth red wine|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=675
677. W|carlo|rossi california red wine|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|carlo|rossi california red wine|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=677
679. X
680. W|carlo|rossi california smooth red|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|carlo|rossi california sweet red wine|us|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
682. W|carlo|rossi california white|us|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
683. W|carlo|rossi california white must be 18yrs old and above|us|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
684. W|carlo|rossi california white must be 18yrs old and above|us|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=683
685. W|carlo|rossi california white wine|us|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
686. W|carlo|rossi california white wine|us|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=685
687. W|carlo|rossi chablis|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|carlo|rossi chablis|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=687
689. W|carlo|rossi chablis|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=687
690. W|carlo|rossi chablis|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=687
691. W|carlo|rossi chablis|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=687
692. W|carlo|rossi chablis|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=687
693. W|carlo|rossi chablis|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=687
694. W|carlo|rossi chablis white wine|fr|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
695. W|carlo|rossi chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
696. W|carlo|rossi chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=695
697. W|carlo|rossi chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=695
698. W|carlo|rossi cherry sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
699. W|carlo|rossi cherry sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=698
700. W|carlo|rossi chianti|it|r|??|chianti|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
701. W|carlo|rossi chianti|it|r|??|chianti|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=700
702. W|carlo|rossi classic smooth red cpw 0|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
703. W|carlo|rossi classic white crisp bpw 0|??|w|??|??|??|NV|12.5|classic|medio|peixes, frutos do mar, saladas|seco
704. W|carlo|rossi crisp white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
705. W|carlo|rossi czerwone pw|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
706. W|carlo|rossi dark red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
707. W|carlo|rossi frescato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
708. W|carlo|rossi fruity red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
709. W|carlo|rossi golden white bpw 0|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
710. W|carlo|rossi intense concord cs 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
711. W|carlo|rossi lime 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
712. W|carlo|rossi merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
713. W|carlo|rossi merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=712
714. W|carlo|rossi merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=712
715. W|carlo|rossi merlot 15 liter|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
716. W|carlo|rossi moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
717. W|carlo|rossi moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=716
718. W|carlo|rossi moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=716
719. W|carlo|rossi moscato sangria|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
720. W|carlo|rossi moscato sangria|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=719
721. W|carlo|rossi moscato sangria|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=719
722. W|carlo|rossi moscato sangria|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=719
723. W|carlo|rossi moscato sangria|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=719
724. W|carlo|rossi moscato sangria|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=719
725. W|carlo|rossi moscato sweet white|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|doce
726. W|carlo|rossi moscato sweet white wine|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|doce
727. W|carlo|rossi moscato white wine|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
728. W|carlo|rossi muscat california red wine|us|w|muscat|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
729. W|carlo|rossi paisano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
730. W|carlo|rossi paisano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
731. W|carlo|rossi paisano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
732. W|carlo|rossi paisano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
733. W|carlo|rossi paisano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
734. W|carlo|rossi paisano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
735. W|carlo|rossi paisano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
736. W|carlo|rossi peach sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
737. W|carlo|rossi peach sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=736
738. W|carlo|rossi pineapple sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
739. W|carlo|rossi pink moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
740. W|carlo|rossi pink moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=739
741. W|carlo|rossi pink moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=739
742. W|carlo|rossi pink moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=739
743. W|carlo|rossi pink moscato 12pack|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
744. W|carlo|rossi pink moscato 34200|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
745. W|carlo|rossi pink moscato sangria|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
746. W|carlo|rossi pink moscato sangria|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=745
747. W|carlo|rossi pink moscato sweet wine|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|doce
748. W|carlo|rossi red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
749. W|carlo|rossi red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=748
750. W|carlo|rossi red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=748
751. W|carlo|rossi red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=748
752. W|carlo|rossi red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=748
753. W|carlo|rossi red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=748
754. W|carlo|rossi red 3 liters|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
755. W|carlo|rossi red 68400|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
756. W|carlo|rossi red moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
757. W|carlo|rossi red moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=756
758. W|carlo|rossi red moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=756
759. W|carlo|rossi red moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=756
760. W|carlo|rossi red moscato cold|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
761. W|carlo|rossi red moscato red wine|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
762. W|carlo|rossi red moscato rich and smooth wine|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
763. W|carlo|rossi red muscat 34200|??|w|muscat|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
764. W|carlo|rossi red muscat 68400|??|w|muscat|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
765. W|carlo|rossi red muscato must be 18yrs old and above|??|w|muscat|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
766. W|carlo|rossi red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
767. W|carlo|rossi refresh mix berry 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
768. W|carlo|rossi refresh peach|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
769. W|carlo|rossi refresh peach 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
770. W|carlo|rossi refresh pomagranate 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
771. W|carlo|rossi refresh strawberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
772. W|carlo|rossi refresh strawberry 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
773. W|carlo|rossi refresh sweet citrus|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
774. W|carlo|rossi rhine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
775. W|carlo|rossi rhine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=774
776. W|carlo|rossi rhine white blend|??|w|white blend|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
777. W|carlo|rossi rhine white wine|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
778. W|carlo|rossi rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
779. W|carlo|rossi rose 0|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
780. W|carlo|rossi rozowe pw|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
781. W|carlo|rossi rsv cabernet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
782. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
783. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
784. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
785. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
786. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
787. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
788. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
789. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
790. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
791. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
792. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
793. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
794. W|carlo|rossi sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=782
795. W|carlo|rossi sangria 15 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
796. W|carlo|rossi sangria 34200|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
797. W|carlo|rossi sangria blueberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|carlo|rossi sangria cherry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
799. X
800. W|carlo|rossi sangria must be 18yrs old and above|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
801. W|carlo|rossi sangria peach|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
802. W|carlo|rossi sangria pineapple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
803. W|carlo|rossi sangria pineapple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=802
804. W|carlo|rossi sangria raspberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
805. W|carlo|rossi sangria raspberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=804
806. W|carlo|rossi sangria red wine 3ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
807. X
808. W|carlo|rossi sangria wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
809. W|carlo|rossi sangria wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=808
810. W|carlo|rossi sodkie biae moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
811. W|carlo|rossi sodkie czerwone|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
812. W|carlo|rossi sweet bs moscato 0|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|doce
813. W|carlo|rossi sweet pink moscato rs 0|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|doce
814. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
815. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
816. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
817. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
818. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
819. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
820. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
821. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
822. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
823. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
824. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
825. W|carlo|rossi sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=814
826. W|carlo|rossi sweet red 12pack|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
827. W|carlo|rossi sweet red 15 liter|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
828. W|carlo|rossi sweet red 34200|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
829. W|carlo|rossi sweet red 9|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
830. W|carlo|rossi sweet red cs 0|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
831. W|carlo|rossi sweet red enjoy chilled red wine 9 alcohol|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
832. W|carlo|rossi sweet red must be 18yrs old and above|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
833. W|carlo|rossi sweet red wine|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
834. W|carlo|rossi sweet red wine|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=833
835. W|carlo|rossi sweet red wine|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=833
836. W|carlo|rossi sweet red wine|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=833
837. W|carlo|rossi sweet rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|doce
838. X
839. W|carlo|rossi white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
840. W|carlo|rossi white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=839
841. W|carlo|rossi white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=839
842. W|carlo|rossi white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=839
843. W|carlo|rossi white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=839
844. W|carlo|rossi white moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
845. W|carlo|rossi white wine|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
846. W|carlo|rossi white wine 95|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
847. W|carlo|rossi white zinfandel|??|w|zinfandel|??|??|NV|12.5|??|encorpado|peixes, frutos do mar, saladas|seco
848. W|carlo|rossi white zinfandel|??|w|zinfandel|??|??|NV|12.5|??|encorpado|peixes, frutos do mar, saladas|seco|=847
849. W|carlo|rossi white zinfandel|??|w|zinfandel|??|??|NV|12.5|??|encorpado|peixes, frutos do mar, saladas|seco|=847
850. W|carlo|rossi wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
851. W|carlo|rossic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
852. W|carlo|rossie moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
853. W|carlo|rossie sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
854. W|carlo|s keuze|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
855. W|carlo|sani capri cabernet primitivo|??|r|primitivo|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
856. W|carlo|sani frillosa rose frizzante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
857. W|carlo|sani grande emozione|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
858. W|carlo|sani presente grande zinfandel 15|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
859. W|carlo|sani primitivo di manduria|??|r|primitivo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
860. W|carlo|sani primitivo di manduria|??|r|primitivo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
861. S
862. W|carlo|scala appassimento|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
863. W|carlo|scala appassimento igt rotwein rot halbtrocken italien 1 x 0|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
864. W|carlo|scala appassimento igt rotwein rot halbtrocken italien 12 x 0|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
865. W|carlo|scala appassimento igt rotwein rot halbtrocken italien 3 x 0|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
866. W|carlo|scala appassimento igt rotwein rot halbtrocken italien 6 x 0|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
867. W|carlo|scala appassimento salento|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
868. W|carlo|scala bbq wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
869. W|carlo|scala bbq wine|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
870. W|carlo|scala bbq wine cabernet primitivo puglia igt italy|it|r|primitivo|puglia|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
871. W|carlo|scala bbq wine puglia igt rotwein rot trocken italien 1 x 0|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
872. W|carlo|scala bbq wine puglia igt rotwein rot trocken italien 12 x 0|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
873. W|carlo|scala bbq wine puglia igt rotwein rot trocken italien 13 x 0|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
874. W|carlo|scala bbq wine puglia igt rotwein rot trocken italien 6 x 0|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
875. W|carlo|scala primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
876. W|carlo|scala primitivo di manduria riserva|??|r|primitivo|??|??|NV|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
877. W|carlo|scala primitivo di manduria riserva doc rotwein rot trocken italien italien 1 x 0|??|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
878. W|carlo|scala primitivo di manduria riserva doc rotwein rot trocken italien italien 12 x 0|??|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
879. W|carlo|scala primitivo di manduria riserva doc rotwein rot trocken italien italien 3 x 0|??|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
880. W|carlo|scala primitivo di manduria riserva doc rotwein rot trocken italien italien 6 x 0|??|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
881. W|carlo|scala primitivo gioia del colle riserva doc rotwein rot trocken italien 1 x 0|??|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
882. W|carlo|scala primitivo gioia del colle riserva doc rotwein rot trocken italien 12 x 0|??|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
883. W|carlo|scala primitivo gioia del colle riserva doc rotwein rot trocken italien 3 x 0|??|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
884. W|carlo|scala primitivo gioia del colle riserva doc rotwein rot trocken italien 6 x 0|??|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
885. W|carlo|scala reserva primitivo di manduria|??|r|primitivo|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
886. W|carlo|scala scala rosso barrel aged rotwein rot trocken italien 1 x 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
887. W|carlo|scala scala rosso barrel aged rotwein rot trocken italien 12 x 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
888. W|carlo|scala scala rosso barrel aged rotwein rot trocken italien 3 x 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
889. W|carlo|scala scala rosso barrel aged rotwein rot trocken italien 6 x 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
890. W|carlo|tanganelli toscana rude|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
891. W|carlo|v rosso veneto igt|it|r|??|veneto|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
892. X
893. W|carlo|vena merlot wine|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
894. W|carlo|vena pinot noir wine|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
895. W|carlo|vermouth rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
896. W|carlo|viglione barbera dalba|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
897. W|carlo|viglione barbera dalba|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=896
898. W|carlo|viglione barbera dalba|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
899. W|carlo|viglione barolo bussia|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
