W|vinho|tinto portugues bacalhoa quatro ventos garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paralelo 31 gran reserva bueno wines 2022|??|r|??|??|??|2022|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paralelo 31 gran reserva 2022 wine skin|??|r|??|??|??|2022|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto parajes del valle 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paraiso luigi bosca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paraiso carinena de antiguas parras vale de itata 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paradoxal red blend 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pape 2020 dao|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto papa figos douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto papa figos casa ferreirinha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto papa figos casa ferreirinha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=666
W|vinho|tinto papa figos 2024 douro|pt|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto papa figos 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto papa figos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto papa figos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=670
W|vinho|tinto paololeo primitivo puglia igp|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto panul carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
X
X
W|vinho|tinto panceri barbera 2020 edicao especial|??|r|barbera|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palpite reserva 2022 douro|pt|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palpite reserva 2022|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palpite macanita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palmento syrah sicilia igt 2022|it|r|syrah|sicilia|??|2022|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palmento nero davola doc 2022|??|r|??|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palazzo della torre allegrini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palato do coa grand reserva douro superior 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palato colheita do coa 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras vinhas velhas grande reserva 2016 portugal blend premium envelhecido em carvalho|pt|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras vinhas velhas bastardo 2018 trasosmontes|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras tinta gorda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras grande reserva vinhas velhas 2019 trasosmontes|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras gold edition 2016 trasosmontes|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras gold edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras bastardo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras bago a bago|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras baga 2018 trasosmontes|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras baga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras alicante bouschet 2017 douro|pt|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio dos tavoras alicante bouchet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio del camino real rioja reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio da bacalhoa 2016 peninsula de setubal|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto palacio da bacalhoa 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paisajes de los andes pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paisajes de los andes merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paisajes de los andes carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paisajes de los andes cab sauvignon 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pais franco secano interior biobio 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pai horacio grande reserva 2021 douro doc|pt|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pai horacio gr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pai horacio 1945 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pai abel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pagos de araiz jovem|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pagos de araiz crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pago florentino arzuaga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pago de cirsus oak aged|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pago de carraovejas magnum 2023 1 ribera del duero espanha|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pago de carraovejas 2023 ribera del duero espanha|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pagina touriga nacional 2020 lisboa|??|r|touriga|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pagina pinot noir 2024 lisboa|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto padrillos pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto padrillos pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=720
W|vinho|tinto pacto do diabo unfiltered 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacto do diabo 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheco pereda malbec 2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca superior garrafa magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca superior 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca superior 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca reserva vinhas velhas douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca reserva vinhas velhas 2023 douro|pt|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca grande reserva touriga nacional|??|r|touriga|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca grande reserva touriga francesa|??|r|touriga|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca grande reserva tinta roriz|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca douro superior|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca colheita 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pacheca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto p labet beaune coucherias 1er cru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto p de protos tempranillo barrel aged|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto p de protos tempranillo barrel aged|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=738
W|vinho|tinto ouzado reserva 2015 alentejo|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto outrora raro 2015 doc bairrada|??|r|??|??|??|2015|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto outrora raro 2015 1 doc bairrada|??|r|??|??|??|2015|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto outrora classico magnum 2017 1 bairrada|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto outrora classico 2020 bairrada|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oups vin de france 2021|fr|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oublie gsm paso robles 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto otto pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto otto cabernet franc 2023|??|r|cabernet franc|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto otro loco mas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto osoyoos larose le grand vin 2012 british columbia|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto os paulistas chao dos eremitas 2020 alentejo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ortigao reserva talhao dos manos 2016 bairrada|??|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ortigao reserva 2018 bairrada|??|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ortigao colheita 2021 bairrada|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oro dei sani chianti riserva|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ornellaia solare vendemmia dartista la proporzione 2020 bolgheri italia|it|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ornellaia 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ornate merlot 2022|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ormiale gran vin bordeaux superieur 2016|fr|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ormiale 20182019|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oriundo de itata g2 guzman|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto original reserva 2021 doc bairrada|??|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origens regional alentejano tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origen de luzon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origen assemblage iii 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origen assemblage iii 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??|=765
W|vinho|tinto origen assemblage i 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem merlot casa valduga|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem merlot casa valduga|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=768
W|vinho|tinto origem merlot casa valduga|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=768
W|vinho|tinto origem elegance demi sec cabernet sauvignon casa valduga|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vinho|tinto origem elegance cabernet sauvignon chile|cl|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem casa valduga carmenre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem casa valduga carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem carmenere chile|cl|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem carmenere casa valduga|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem cabernet sauvignon chile famiglia valduga|cl|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem cabernet sauvignon chile|cl|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto origem cabernet sauvignon casa valduga|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico tempranillo bianchetti|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico petite syrah bianchetti|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico mrs rabbit pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico mr rabbit cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico montepulciano lupi reali|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico malbec artesano|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico italiano negroamaro salento igt villa mottura|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico gran reserva novas pinot noir emiliana|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico generacion 73|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico espanhol giro de abargues pepe mendoza alicante espanha|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico espanhol el abuelo de piqueras crianza do almansa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico el burro malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico edicao limitada adobe emiliana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico del mercado malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico del mercado cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico coyam emiliana los robles chile|cl|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico barbera bianchetti|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto organico balsa de piedra blend de tintas 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto orasul subteran feteasca neagra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oracle shiraz kilikanoon|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto opus one 2018 napa valley california eua|us|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto opus one 2018 california|us|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto opus one 2016 napa valley california eua|us|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto opus one 2016 napa valley california|us|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto opus one 2012 california|us|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto optima pergunta 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto opta grande reserva 2016 dao|??|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto opta dao touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto opta dao 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oporto sandeman fine ruby 195|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oniris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oniris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=810
W|vinho|tinto oniris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=810
W|vinho|tinto omnia touriga nacional 2017 douro|pt|r|touriga|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto omnia tinto 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oltre pio cesare|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto olho gordo reserva 2013 dao|??|r|??|??|??|2013|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto olho de mocho reserva 2022 alentejo|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto old vines la linda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto old fashioned cabernet franc garbo|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto old cep|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto olaria suave natural alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto olabarri gran reserva 2015|??|r|??|??|??|2015|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto okeanos cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ojo de tigre malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ojo de tigre malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ohite cabernet sauvignon brookfields|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ohau woven stone pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto odyssee pinot noir de reuilly 2018|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto odfjell armador carmenere organico|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto odfjell armador cabernet sauvignon organic|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto octavie 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto octava alta malbeccabernet franc 2015|??|r|cabernet franc|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe vinha da parcela garrafa magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe vinha da parcela garrafa magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe vinha da parcela garrafa magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=835
W|vinho|tinto oboe vinha da parcela garrafa magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=835
W|vinho|tinto oboe vinha da parcela garrafa magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=835
W|vinho|tinto oboe vinha da parcela|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe superior douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe superior|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe som de barrica garrafa magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe som de barrica|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe silver edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe 17 garrafa magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe 17 garrafa magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe 17 douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oboe 17|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto obikwa syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto obikwa shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto obikwa shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=850
W|vinho|tinto obikwa pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto obikwa pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=852
W|vinho|tinto obikwa merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto obikwa merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=854
W|vinho|tinto obikwa cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto obikwa cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=856
W|vinho|tinto obikwa 2012 pinotage|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oberrotweiler spatburgunder reserve orstwein 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto obelle merlot 13|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto obelle cabernet sauvignon red 13 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oak barrel pinot noir amitie|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oak barrel montepulciano amitie|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto oak aged pago de cirsus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto o penedo 2016 dao portugal|pt|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto o estrangeiro 2022 dao|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto o escultor 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto numanthia tinto de toro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitsstgeorges 1er cru les pruliers 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitssaintgeorgespremier cru les bousselots 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitssaintgeorges rouge 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitssaintgeorges premier cru les saint georges 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitssaintgeorges premier cru les saint georges 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitssaintgeorges la charmotte 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitssaintgeorges la charmotte 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitssaintgeorges aux saintsjuliens 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nuitssaintgeorges aux saints juliens 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
