1. W|cappellano|barolo otin fiorin pie rupestris piemonte italy|it|r|??|piemonte|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
679. W|capres|petites a lhuile dolive extra vierge 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
680. W|caprese|caprese|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|caprese|12 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
682. W|caprese|don costanzo invoice vin 10722|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. W|caprese|don costanzo invoice vin 11353|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
684. W|caprese|skewers with herb smash 12pcs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
685. W|caprese|skewers with herb smash gf v|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
686. W|caprese|torte almond cake gluten free|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
687. W|capresitos|6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|caprettone|aryete 2022 casa setaro|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|caprettone|benita31 vesuvio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|caprettone|benita31 vesuvio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=689
691. W|caprettone|bianco vesuvio dop emblema cantine olivella|??|w|??|??|??|NV|12.5|dop|medio|peixes, frutos do mar, saladas|seco
692. W|caprettone|lacryma christi del vesuvio doc bianco munazei|??|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
693. W|caprettone|le lune del vesuvio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
694. W|caprettone|le lune del vesuvio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=693
695. W|caprettone|pietrafumante spumante metodo classico|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
696. W|caprettone|saettone 2021 tenuta le lune|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
697. W|caprettone|saettone vesuvio doc 2025 le lune del vesuvio|??|r|??|??|??|2025|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
698. W|caprettone|vesuvio bianco dop 2020 emblema|??|w|??|??|??|2020|12.5|dop|medio|peixes, frutos do mar, saladas|seco
699. W|caprettone|vesuvio bianco dop 2022 emblema|??|w|??|??|??|2022|12.5|dop|medio|peixes, frutos do mar, saladas|seco
700. W|caprettone|vesuvio bianco dop 2023 emblema|??|w|??|??|??|2023|12.5|dop|medio|peixes, frutos do mar, saladas|seco
701. W|caprettone|vesuvio bianco dop 2024 emblema|??|w|??|??|??|2024|12.5|dop|medio|peixes, frutos do mar, saladas|seco
702. W|caprettone|vesuvio doc aryete|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
703. W|caprettone|vesuvio dop 2024 emblema cantine olivella|??|r|??|??|??|2024|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
704. X
705. W|capri|alioli garlic mayo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
706. X
707. W|capri|artichoke hearts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
708. W|capri|beef broth powder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
709. W|capri|beef cubes 80g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
710. W|capri|bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
711. W|capri|bianco doc 2020 scala fenicia|??|w|??|??|??|2020|12.5|doc|medio|peixes, frutos do mar, saladas|seco
712. W|capri|bianco scala fenicia|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
713. X
714. X
715. X
716. X
717. W|capri|cardigan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
718. X
719. W|capri|chicken broth powder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
720. W|capri|chicken cubes 80g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
721. X
722. W|capri|cocktail onions|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
723. W|capri|collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
724. W|capri|diced canned tomatoes 2500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
725. W|capri|diced tomatoes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
726. W|capri|diced tomatoes 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. X
728. X
729. X
730. X
731. X
732. X
733. X
734. W|capri|makyaj cantas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
735. S
736. W|capri|mujer madison cargo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
737. W|capri|mujer madison correa 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
738. W|capri|mujer madison panuelo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
739. W|capri|mujer zafin crop|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
740. W|capri|mujer zafin paper|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
741. X
742. W|capri|peach halves|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
743. X
744. X
745. W|capri|red pimiento sliced|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
746. W|capri|red pimiento sliced|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=745
747. W|capri|red pimientos 390g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
748. W|capri|rosso 2020 masseria frattasi|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
749. W|capri|rosso dop masseria frattasi|??|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
750. W|capri|sandals canela|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
751. X
752. X
753. X
754. W|capri|spritz non alcoholic mocktail club|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
755. W|capri|strawberry cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
756. W|capri|sun cherry pakjes doos 4x10x20cl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
757. W|capri|sun cherry pouch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
758. W|capri|sun cola mix|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
759. W|capri|sun elfentrank|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
760. W|capri|sun kirsche|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
761. W|capri|sun monster alarm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
762. W|capri|sun monster alarm tray 4x10x20cl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
763. W|capri|sun multi pvc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
764. W|capri|sun multivitamin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
765. W|capri|sun multivitamin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=764
766. W|capri|sun multivitamin zero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
767. W|capri|sun multivitamine tray 4x10x20cl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
768. W|capri|sun multivitamine zero tray 4x10x20cl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
769. W|capri|sun mystic dragon 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
770. W|capri|sun orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
771. W|capri|sun orange pakjes doos 4x 10 stuks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
772. W|capri|sun orange pouch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
773. W|capri|sun orange pvc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
774. W|capri|sun safari|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
775. W|capri|sun safari drink pakjes doos 410 totaal 40 stuks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
776. W|capri|sun safari tray 40 stuks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
777. W|capri|sweet red pimientos|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
778. W|capri|swim tights|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
779. W|capri|tonhal napraforgoolajban 160g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
780. W|capri|tonhal olivaolajban 140g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
781. W|capri|tonhal sos leben 160g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
782. X
783. W|capri|whole peeled canned tomatoes 2550g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
784. W|capri|whole peeled canned tomatoes 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
785. W|capri|whole peeled tomatoes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
786. W|capri|whole peeled tomatoes 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
787. W|capri|whole sweet red pimiento 780g|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
788. W|capriades|piege a filles blanc petnat|it|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
789. W|capriades|piege a filles blanc petnat|it|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
790. W|capriades|petsec rose|??|p|??|??|??|2020|12|??|leve|carne vermelha, massas, queijos curados|seco
791. W|capriades|petsec rose|??|p|??|??|??|2017|12|??|leve|carne vermelha, massas, queijos curados|seco
792. W|capriani|pinot grigio cevico|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
793. W|capriano|merlot igt veneto italy|it|r|merlot|veneto|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
794. W|capriasca|merlot del ticino doc|??|r|merlot|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
795. W|capriasca|ti doc merlot pelossi|??|r|merlot|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
796. W|capricci|darte albero delle coccole bonollo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
797. W|capricci|darte of vespino bonollo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|capricci|teljes kiorlesu rizs es zab glutenmentes teszta 250 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
799. W|capriccio|capriccio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
800. W|capriccio|capriccio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=799
801. W|capriccio|bizzarro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
802. W|capriccio|black sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
803. W|capriccio|black sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=802
804. W|capriccio|borlotti beans 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
805. W|capriccio|bubbly passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
806. W|capriccio|bubbly passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=805
807. W|capriccio|bubbly peach sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
808. W|capriccio|bubbly rose sangria|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
809. W|capriccio|bubbly sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
810. W|capriccio|bubbly sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=809
811. W|capriccio|bubbly sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=809
812. W|capriccio|bubbly sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=809
813. W|capriccio|bubbly sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=809
814. W|capriccio|bubbly sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=809
815. W|capriccio|bubbly sangria 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
816. W|capriccio|bubbly sangria florida usa|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
817. W|capriccio|bubbly sangria passion fruit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
818. X
819. X
820. X
821. X
822. W|capriccio|bubbly white sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
823. W|capriccio|bubbly white sangria puerto rico|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
824. W|capriccio|bubbly white sangria sng cn|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
825. W|capriccio|butter beans 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
826. W|capriccio|cannellini beans 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
827. W|capriccio|chick peas 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
828. W|capriccio|chunky tuna 190g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
829. W|capriccio|diced tomatoes 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
830. W|capriccio|divino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
831. W|capriccio|lentils 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
832. W|capriccio|organic tomato paste 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
833. W|capriccio|passata 700g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
834. W|capriccio|passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
835. W|capriccio|passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=834
836. W|capriccio|passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=834
837. W|capriccio|passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=834
838. W|capriccio|passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=834
839. W|capriccio|passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=834
840. W|capriccio|passion fruit sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=834
841. W|capriccio|passion fruit sangria 4 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
842. W|capriccio|peach sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
843. W|capriccio|peach sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=842
844. W|capriccio|peach sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=842
845. W|capriccio|peach sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=842
846. W|capriccio|peach sangria bottles 4 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
847. W|capriccio|peach sangria bottles single|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
848. W|capriccio|peeled tomatoes 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
849. W|capriccio|red kidney beans 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
850. W|capriccio|red sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
851. W|capriccio|red sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=850
852. W|capriccio|red sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=850
853. W|capriccio|red sangria 4 pack bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
854. W|capriccio|red sangria bottles single|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
855. W|capriccio|rose sangria|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
856. W|capriccio|rose sangria|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=855
857. W|capriccio|rose sangria 4 pk|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
858. W|capriccio|rose sangria bottles 4 pack|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
859. W|capriccio|rose sangria bottles single|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
860. W|capriccio|rose sangria cans 4pk|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
861. W|capriccio|rose sangria puerto rico|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
862. W|capriccio|sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
863. W|capriccio|sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=862
864. W|capriccio|sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=862
865. W|capriccio|sangria 4 pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
866. W|capriccio|sangria rose united sates|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
867. X
868. X
869. X
870. W|capriccio|sparkling sangria|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
871. W|capriccio|sparkling white sangria|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
872. W|capriccio|take out margarita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
873. W|capriccio|take out strawberry margarita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
874. X
875. X
876. X
877. X
878. X
879. X
880. X
881. X
882. W|capriccio|white bubbly sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
883. W|capriccio|white bubbly sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=882
884. W|capriccio|white bubbly sangria 4pk|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
885. W|capriccio|white bubbly sangria 4pk|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=884
886. W|capriccio|white sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
887. W|capriccio|white sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=886
888. W|capriccio|white sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=886
889. W|capriccio|white sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=886
890. W|capriccio|white sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=886
891. W|capriccio|white sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=886
892. W|capriccio|white sangria|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=886
893. W|capriccio|white sangria 4 pack bottles|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
894. W|capriccioasa|capriccioasa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
895. W|capricciosa|capricciosa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
896. W|capricciosa|capricciosa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=895
897. W|capricciosa|45cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
898. W|capricciosa|flavia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
899. W|capriccioso|brut vin de pays suisse|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
900. W|caprices|domaine durand eric joel|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
901. W|caprices|danais bordeaux rose|fr|p|??|bordeaux|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
902. W|caprices|des vignes reg 110gr doucet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
903. W|caprices|domaine de montine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
904. W|caprices|du roussillon 120gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
905. W|caprices|villages domaine de montine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
906. W|caprichado|caprichado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
907. W|capricho|30|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
908. W|capricho|crianza|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
909. W|capricho|de amor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
910. W|capricho|de cabra with fine herbs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
911. W|capricho|de cabra with gre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
912. W|capricho|de cabra with herbs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
913. W|capricho|de fala crema facial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
914. W|capricho|de fala fragancia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
915. W|capricho|de godello ponte da boga|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
916. W|capricho|de goya moscatel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
917. W|capricho|de goya navarra nv|es|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
918. W|capricho|de la reina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
919. W|capricho|de merenzao 2017 1 botella de|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
920. W|capricho|de merenzao 2017 ponte da boga|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
921. W|capricho|de merenzao|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
922. W|capricho|de sofia blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
923. W|capricho|de sofia rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
924. W|capricho|de souson|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
925. W|capricho|de souson 2019 1 botella de|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
926. W|capricho|de valvanera 2024 12 botellas|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
927. W|capricho|do rei arinto|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
928. W|capricho|do rei syrah|??|r|syrah|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
929. W|capricho|do rei syrah 1|??|r|syrah|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
930. W|capricho|godello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
931. W|capricho|merenzao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
932. W|capricho|prieto picudo tempranillo rose|??|p|tempranillo|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco
933. W|capricho|val de paxarinas godello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
934. W|capricho|val paxarinas|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
935. X
936. W|caprichos|de yogurt de frambuesa y lichi pastoret 6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
937. W|caprichos|de yogurt de galleta y frutas del bosque pastoret 6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
938. W|caprichos|de yogurt de limon y hierbabuena pastoret 6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
939. W|caprichos|de yogurt de mango y frutos del bosque pastoret 6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
940. W|caprichos|de yogurt de manzana al horno pastoret 6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
941. W|caprichos|del paladar braised chopped tomatoes 280g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
942. X
943. W|caprichos|do mar sgluten emb 1 kg 55 un pescanova|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
944. W|caprichos|nos 250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
945. W|caprichos|para compartir en san valentin|??|r|??|??|??|2026|13.5|??|medio|carne vermelha, massas, queijos curados|seco
946. W|caprichosa|verdejo sobre lias|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
947. W|capricio|capricio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
