1. W|cap|maritime south coast pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
675. W|capcanes|la flor del flor samso 2016 do montsant|??|r|??|??|??|2016|13.5|do|medio|carne vermelha, massas, queijos curados|seco
676. W|capcanes|la flor del flor samso 2021 mevoshal do montsant|??|r|??|??|??|2021|13.5|do|medio|carne vermelha, massas, queijos curados|seco
677. W|capcanes|la flor samso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|capcanes|la nit de les garnatxes argila montsant do|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
679. W|capcanes|la nit de les garnatxes calissa montsant do|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
680. W|capcanes|la nit de les garnatxes clay|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|capcanes|la nit de les garnatxes kit 4 vinuri x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
682. W|capcanes|la nit de les garnatxes limestone|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. S
684. W|capcanes|la nit de les garnatxes panal montsant do|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
685. W|capcanes|la nit de les garnatxes sand|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
686. W|capcanes|la nit de les garnatxes sand montsant 2021 red dry 145 075|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
687. W|capcanes|la nit de les garnatxes slate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|capcanes|lasendal garnatxa|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|capcanes|les taules negre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|capcanes|mas collet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
691. W|capcanes|mas collet tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
692. W|capcanes|mas donis garnatxa|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
693. W|capcanes|mas donis garnatxa blanca 2024 6 bottles|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
694. W|capcanes|mas donis garnatxa rosat 2022 6 bottles|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
695. W|capcanes|mas donis garnatxa rosat|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
696. W|capcanes|mas donis garnatxa rosat magnum|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
697. W|capcanes|mas donis montsant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
698. W|capcanes|mas donis montsant|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
699. W|capcanes|mas donis negra|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
700. W|capcanes|montsant flor primavera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
701. W|capcanes|pansal del calas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
702. W|capcanes|pansal del calas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=701
703. W|capcanes|pansal del calas 165|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
704. W|capcanes|peraj ha abib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
705. W|capcanes|peraj ha abib kosher|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
706. W|capcanes|peraj haabib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
707. W|capcanes|peraj haabib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=706
708. W|capcanes|peraj haabib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=706
709. W|capcanes|peraj haabib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=706
710. W|capcanes|peraj haabib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=706
711. W|capcanes|peraj haabib|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
712. W|capcanes|peraj haabib|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
713. W|capcanes|peraj haabib|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
714. W|capcanes|peraj haabib 2019 mevushal|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
715. W|capcanes|peraj haabib 2023 kosher|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
716. W|capcanes|peraj haabib magnum 2019 do montsant|??|r|??|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
717. W|capcanes|peraj haabib mevusal|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
718. W|capcanes|peraj haabib mevushal 2022 do montsant|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
719. W|capcanes|peraj haabib mini bottle 2020 do montsant|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
720. W|capcanes|peraj haabib montsant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
721. W|capcanes|peraj haabib montsant 20|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
722. W|capcanes|peraj haabib montsant 22|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
723. W|capcanes|peraj haabib montsant damaged label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
724. W|capcanes|peraj haabib montsant half size damaged label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
725. W|capcanes|peraj haabib non mevusal|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
726. W|capcanes|peraj haabib pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. W|capcanes|peraj haabib pinot noir 20|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
728. W|capcanes|peraj haabib pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
729. W|capcanes|peraj petita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
730. W|capcanes|peraj petita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
731. W|capcanes|peraj petita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
732. W|capcanes|peraj petita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
733. W|capcanes|peraj petita|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
734. W|capcanes|peraj petita|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=733
735. W|capcanes|peraj petita 2024 kosher|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
736. W|capcanes|peraj petita 2223 mevushal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
737. W|capcanes|peraj petita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=729
738. W|capcanes|peraj petita blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
739. W|capcanes|peraj petita blanc 2024 do montsant non mevoshal|??|w|??|??|??|2024|12.5|do|medio|peixes, frutos do mar, saladas|seco
740. W|capcanes|peraj petita damaged label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
741. W|capcanes|peraj petita dolc damage label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
742. W|capcanes|peraj petita dolce|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
743. W|capcanes|peraj petita garnacha blanc|??|w|garnacha|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
744. W|capcanes|peraj petita kosher|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
745. W|capcanes|peraj petita kosher kfp oup|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
746. W|capcanes|peraj petita mevusal|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
747. W|capcanes|peraj petita mevushal 2023 do montsant|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, massas, queijos curados|seco
748. W|capcanes|peraj petita monsant red kosher|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
749. W|capcanes|peraj petita negre montsant do|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
750. W|capcanes|peraj petita rosat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
751. W|capcanes|peraj petita rosat 2022 do montsant non mevoshal|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
752. W|capcanes|peraj petita rosat 23|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
753. W|capcanes|peraj petita rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
754. W|capcanes|sense cap blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
755. W|capcanes|sense cap cava brut|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
756. W|capcanes|sense cap cava brut reserva|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
757. X
758. X
759. W|capdet|saint julien|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
760. W|capdevielle|brise locean jurancon sec|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
761. W|cape|312 chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
762. W|cape|9x9 wedges|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
763. W|cape|banks chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
764. W|cape|banks pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
765. W|cape|barren|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
766. W|cape|barren gruner veltliner|??|r|gruner veltliner|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
767. W|cape|barren native goose shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
768. W|cape|barren old vine reserve release shiraz|??|r|shiraz|??|??|2015|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
769. W|cape|barren old vine reserve release shiraz|??|r|shiraz|??|??|2017|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
770. W|cape|barren reserve release old vine shiraz|??|r|shiraz|??|??|2014|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
771. W|cape|blend|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
772. W|cape|blend 2021 piekenierskloof|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
773. W|cape|blend|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
774. W|cape|blend|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=773
775. W|cape|blush rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
776. W|cape|botanicals no 2 mint lime cucumber|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
777. W|cape|bridge cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
778. W|cape|bridge chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
779. W|cape|bridge chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=778
780. W|cape|bridge pinotage rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
781. W|cape|bridge pinotage rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=780
782. W|cape|buffalo chenin blanc trocken|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
783. W|cape|byron distillery australian chardonnay cask single malt|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
784. W|cape|byron the original single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
785. W|cape|campbell marlborough pinot gris|nz|w|pinot gris|marlborough|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
786. W|cape|campbell marlborough rose|nz|p|??|marlborough|??|2026|12|??|leve|carne vermelha, massas, queijos curados|seco
787. W|cape|chamonix cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
788. W|cape|chamonix cabernet franc|??|r|cabernet franc|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
789. W|cape|chamonix cabernet franc|??|r|cabernet franc|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
790. W|cape|chamonix chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
791. W|cape|chamonix chardonnay|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
792. W|cape|chamonix chardonnay reserve|??|w|chardonnay|??|??|2018|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
793. W|cape|chamonix grewacke pinotage|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
794. W|cape|chamonix greywacke pinotage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
795. W|cape|chamonix greywacke pinotage|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
796. W|cape|chamonix greywacke pinotage|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
797. W|cape|chamonix old vine chenin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|cape|chamonix pinot noir reserve|??|r|pinot noir|??|??|2015|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
799. W|cape|chamonix pinot noir reserve|??|r|pinot noir|??|??|2016|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
800. W|cape|chamonix reserve cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
801. W|cape|chamonix reserve white|??|w|??|??|??|2016|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
802. W|cape|chamonix reserve white sauvignon blanc semillon|??|w|sauvignon blanc|??|??|NV|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
803. W|cape|chamonix rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
804. W|cape|chamonix rouge|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
805. W|cape|chamonix rouge|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
806. W|cape|chamonix troika|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
807. W|cape|chamonix troika|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
808. W|cape|chamonix troika cabernetmerlotpetit verdot|??|r|merlot|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
809. W|cape|chatter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
810. W|cape|citrus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
811. W|cape|claret cinsault cabernet 22|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
812. W|cape|cod blueberry patch frogs 19 oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
813. W|cape|cod cranberry bog frogs 19 oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
814. W|cape|cod cranberry bog frogs 8 oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
815. W|cape|cod cranberry cola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
816. W|cape|cod kettle chips|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
817. W|cape|cod kettle original|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
818. W|cape|cod kettle sweet and spicy jalapeno|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
819. W|cape|cod kettle sweet mesquite barbeque|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
820. W|cape|cod kettle sweet spicy jalapeno|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
821. W|cape|cod mesquite bbq potato chips|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
822. W|cape|cod potato chips salted|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
823. W|cape|cod potato chips sweet spicy jalapeno|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
824. W|cape|cod reduced fat salted potato chips|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
825. W|cape|cod sweet bbq potato chips|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
826. X
827. W|cape|collective capitan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
828. W|cape|collective claret 2022 per case|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
829. W|cape|collective claret x6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
830. W|cape|collective epic white 2023 per case|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
831. W|cape|collective epic white x6|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
832. W|cape|collective mauve x6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
833. W|cape|collective pinotage 21|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
834. W|cape|collective rad red x6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
835. W|cape|collective syrah nv|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
836. W|cape|collective syrah x6|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
837. W|cape|collective weiss|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
838. W|cape|collective wine mixed case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
839. W|cape|coral mourvedre rose|??|p|mourvedre|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
840. W|cape|couple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
841. W|cape|creek chenin blanc stellenbosch|za|w|??|stellenbosch|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
842. X
843. W|cape|creek pinotage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
844. W|cape|crest sauvignon blanc hawkes bay 2022 te mata estate|nz|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
845. W|cape|cru 2 white 2 red magnums|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
846. W|cape|cru red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
847. W|cape|cru white|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
848. W|cape|de bain bebe et son gant de toilette assorti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
849. W|cape|de bain gant dapprentissage et lingettes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
850. W|cape|destaing 2001 admirals reserve shiraz|??|r|shiraz|??|??|2001|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
851. W|cape|destaing 2001 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2001|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
852. W|cape|destaing admirals reserve shiraz|??|r|shiraz|??|??|2005|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
853. W|cape|discovery brut sparkling wine pricing per case of 6 x|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
854. W|cape|discovery cabernet merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
855. W|cape|discovery chenin blanc 2024 pricing per case of 6 x|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
856. W|cape|discovery chenin blanc 2025 pricing per case of 6x|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
857. W|cape|discovery margaret river sparkling brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
858. W|cape|discovery merlot 2024 pricing per case of 6 x|??|r|merlot|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
859. W|cape|discovery pinot grigio 2025 pricing per case of 6x|??|w|pinot grigio|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
860. W|cape|discovery pinotage|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
861. W|cape|discovery pinotage 2024 pricing per case of 6x|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
862. W|cape|discovery rose|??|p|??|??|??|2020|12|??|leve|carne vermelha, massas, queijos curados|seco
863. W|cape|discovery sauvignon blanc|??|w|sauvignon blanc|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
864. W|cape|discovery sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
865. W|cape|discovery sauvignon blanc 2025 pricing per case of 6x|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
866. W|cape|discovery shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
867. W|cape|discovery shiraz 2024 pricing per case of 6x|??|r|shiraz|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
868. W|cape|doctor blend je|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
869. W|cape|doctor blend je|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
870. W|cape|dor 2020 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
871. W|cape|dor 2021 sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
872. W|cape|dor cabernet|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
873. W|cape|dor cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
874. W|cape|dor cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=873
875. W|cape|dor cabernet sauvignon 2021 western cape south africa|za|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
876. W|cape|dor cabernet sauvignon swartland south africa 2020 case|za|r|cabernet sauvignon|swartland|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
877. W|cape|dor chenin blanc 2022 western cape south africa|za|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
878. W|cape|dor chenin blanc western cape south africa 2022 case|za|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
879. W|cape|dor sauvignon blanc 2022 western cape south africa|za|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
880. W|cape|dor sauvignon blanc swartland south africa 2021 case|za|w|sauvignon blanc|swartland|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
881. W|cape|dor wines chenin blanc western cape s africa|za|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
882. W|cape|dor wines organic chenin blanc western cape south africa|za|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
883. W|cape|dream chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
884. W|cape|dream chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=883
885. W|cape|dream chenin blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
886. W|cape|dream chenin blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
887. W|cape|dream chenin blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
888. W|cape|dream pinotage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
889. W|cape|dream pinotage|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
890. W|cape|dream pinotage|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
891. W|cape|dream pinotage|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
892. W|cape|dream pinotage|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=891
893. W|cape|dream pinotage|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=891
894. W|cape|dream pinotage afrisud|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
895. W|cape|dream pinotage western cape|za|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
896. W|cape|dream sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
897. W|cape|dream sauvignon blanc western cape|za|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
898. W|cape|dreams chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
899. W|cape|dreams colombar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
900. W|cape|dreams pinotage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
901. W|cape|dreams pinotage rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
902. W|cape|dreams pinotage rose|??|p|??|??|??|2020|12|??|leve|carne vermelha, massas, queijos curados|seco
903. W|cape|dreams shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
