1. W|cantine colosi|nero davola terre siciliane igp|it|r|nero davola|sicilia|??|2023|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
632. W|cantine menhir|primitivo manduria|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=630
633. W|cantine menhir|quota 29 primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
634. W|cantine menhir|quota 29 primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=633
635. W|cantine menhir|quota 29 primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=633
636. W|cantine menhir|quota 29 primitivo 2018 italy|it|r|primitivo|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
637. W|cantine mesa|giunco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|cantine miali|chardonnay salento igt 12750|it|w|chardonnay|??|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
639. W|cantine miali|falanghina puglia igt 12750|it|r|??|puglia|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
640. W|cantine miali|orange fox orange wine 12750|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|cantine miali|the orange fox|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|cantine miali|the orange fox|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|cantine miali|the orange fox|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=642
644. W|cantine mineo|cremovo marsala|it|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
645. W|cantine mineo|crmvo msla|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
646. W|cantine mineo|marsala cremovo|it|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
647. W|cantine minine|blush rose|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
648. W|cantine minine|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
649. W|cantine minine|pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
650. W|cantine minini|chianti docg|it|r|??|chianti|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
651. W|cantine minini|mea culpa|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|cantine minini|mea culpa rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|cantine minini|montepulciano dabruzzo doc|it|r|montepulciano|??|??|2024|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
654. W|cantine minini|primitivo quietum appassimento|it|r|primitivo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
655. W|cantine minini|soave doc|it|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
656. W|cantine minini|tank 26 nero davola doc|it|r|nero davola|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
657. W|cantine mirabella|marsala fine ip ambra semisecco|it|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
658. W|cantine mirabella|marsala superiore gd ambra dolce|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
659. W|cantine mirabella|marsala superiore gd ambra dolce|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce|=658
660. W|cantine mirabella|marsala superiore gd ambra dolce|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce|=658
661. W|cantine mirabella|marsala superiore som ambra secco|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
662. W|cantine mirabella|marsala superiore som ambra secco|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce|=661
663. W|cantine mirabella|marsala superiore som ambra secco|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce|=661
664. W|cantine monfort|blanc de sers brut nature|it|s|??|??|??|2021|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
665. W|cantine monfort|trento le general dallemagne extra brut|it|s|??|??|??|2015|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
666. W|cantine monfort|trento riserva le general dallemagne extra brut|it|s|??|??|??|2019|12|riserva|leve|frutos do mar, aperitivos, sushi|brut nature
667. W|cantine monfort|trento riserva le general dallemagne extra brut|it|s|??|??|??|2019|12|riserva|leve|frutos do mar, aperitivos, sushi|brut nature|=666
668. W|cantine monfort|trento riserva le general dallemagne extra brut|it|s|??|??|??|2019|12|riserva|leve|frutos do mar, aperitivos, sushi|brut nature|=666
669. W|cantine monfort|trento rose brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
670. W|cantine monfort|trento rose brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=669
671. W|cantine monfort|trento rose brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=669
672. W|cantine montevetrano|core bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
673. W|cantine montevetrano|core rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|cantine montevetrano|montevetrano|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
675. S
676. W|cantine montresor|capitel crosara valpolicella ripasso doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
677. W|cantine montresor|capitel crosara valpolicella ripasso doc dobbelt magnum|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
678. W|cantine montresor|capitel crosara valpolicella ripasso doc magnum 1|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
679. W|cantine montresor|custoza vedetta del re|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
680. W|cantine montresor|pinot grigio dop delle venezie montefiera|it|w|pinot grigio|??|??|NV|12.5|dop|leve|peixes, frutos do mar, saladas|seco
681. W|cantine montresor|re teodorico recioto docg|it|d|??|??|??|NV|10.5|docg|encorpado|sobremesas, frutas secas, queijos|doce
682. W|cantine mucci|doc montepulciano dabruzzo santo stefano|it|r|montepulciano|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
683. W|cantine mucci|enzo montepulciano dabruzzo doc|it|r|montepulciano|??|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
684. W|cantine mucci|enzo pecorino igt terre di chieti|it|w|??|??|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco
685. W|cantine mucci|santo stefano|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
686. W|cantine mucci|santo stefano bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
687. W|cantine mucci|santo stefano montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
688. W|cantine mucci|santo stefano pecorino|it|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
689. W|cantine mucci|valentino cerasuolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|cantine mucci|valentino montepulciano d abruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
691. W|cantine mucci|valentino pecorino|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
692. W|cantine mucci|valentino trebbiano d abruzzo|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
693. W|cantine nae|terrescure lotto unico|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
694. W|cantine nae|terrescure refebianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
695. S
696. W|cantine nervi|conterno vigna molsino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
697. W|cantine nervi|conterno vigna valferana|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
698. W|cantine nervi|conterno vigna valferana|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
699. W|cantine nervi|conterno vigna valferana|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
700. W|cantine nervi|gattinara|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
701. W|cantine nervi|gattinara docg|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
702. W|cantine nervi|gattinara docg vigna molsino|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
703. W|cantine nervi|gattinara vigna molsino 2018 giacomo conterno|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
704. W|cantine nervi|gattinara vigna molsino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
705. W|cantine nerviconterno|gattinara|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
706. W|cantine nicosia|contrada monte gorna etna bianco|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
707. W|cantine nicosia|contrada monte gorna etna rosso|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
708. W|cantine nicosia|contrada monte gorna riserva etna rosso vecchie viti|it|r|??|??|??|2014|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
709. W|cantine nicosia|lenza di munti 720m slm etna rosso|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
710. W|cantine nicosia|monte gorna rosso nerello mascalese nerello cappuccio organic|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
711. W|cantine nicosia|sosta tre santi nero davola riserva sicilia igt|it|r|nero davola|sicilia|??|2014|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
712. W|cantine nicosia|vulka bianco doc carriante catarratto|it|w|??|??|??|2018|12.5|doc|medio|peixes, frutos do mar, saladas|seco
713. W|cantine offida|lacrima di morro dop|it|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
714. W|cantine offida|rosso piceno dop|it|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
715. W|cantine olivella|insumma|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
716. W|cantine olivella|kata catalanesca|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
717. W|cantine olivella|la crimanero vesuvio lacryma christi rosso italy red blend|it|r|red blend|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
718. W|cantine olivella|lacrima bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
719. W|cantine olivella|lacrima christi del vesuvio lacrimanero dop|it|r|??|??|??|2024|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
720. W|cantine olivella|lacrima rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
721. W|cantine olivella|lacrimabianco lacryma christi bianco|it|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
722. W|cantine olivella|lacrimabianco lacryma christi del vesuvio bianco campania italy|it|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
723. W|cantine olivella|lacrimanero|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
724. W|cantine olivella|lacryma christi del vesuvio bianco campania italy|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
725. W|cantine olivella|vesuvio piedirosso vipt|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
726. W|cantine ollivella|vesuvio lacryma christi 2023 lacrimanero|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. W|cantine pandora|astrea rosato salento pgi|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
728. W|cantine pandora|astrea rosato salento pgi|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=727
729. W|cantine pandora|chaos salice salentino dop|it|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
730. W|cantine pandora|chaos salice salentino dop|it|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=729
731. W|cantine pandora|chronos primitivo del salento pgi|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
732. W|cantine pandora|chronos primitivo del salento pgi|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=731
733. W|cantine pandora|dioniso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
734. W|cantine pandora|ermes|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
735. W|cantine pandora|maia puglia igp|it|r|??|puglia|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
736. W|cantine pandora|maia puglia igp|it|r|??|puglia|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco|=735
737. W|cantine pandora|narciso pgi salento|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
738. W|cantine pandora|narciso pgi salento|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=737
739. W|cantine pandora|primitivo del salento 71 igt|it|r|primitivo|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
740. W|cantine pandora|primitivo del salento 71 igt|it|r|primitivo|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=739
741. W|cantine paolini|baronazzo amafi passito sicilia igp|it|d|??|sicilia|??|2018|10.5|igp|encorpado|sobremesas, frutas secas, queijos|doce
742. W|cantine paolini|bio grillo 2024 sicily|it|r|grillo|sicily|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
743. W|cantine paolini|bio terre grillo no added sulfur organic|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
744. W|cantine paolini|conte di matarocco grecanico terre siciliane|it|r|mataro|sicilia|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
745. W|cantine paolini|conte di matarocco rosato|it|p|mataro|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
746. W|cantine paolini|etta focu igt syrahperricone|it|r|syrah|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
747. W|cantine paolini|filara 72 frappatosyrah|it|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
748. W|cantine paolini|filara 72 inzolia|it|r|inzolia|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
749. W|cantine paolini|frappato|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
750. W|cantine paolini|frappato terre siciliane|it|r|??|sicilia|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
751. W|cantine paolini|grecanico conte di matarocco|it|r|mataro|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
752. W|cantine paolini|grillo bio|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
753. W|cantine paolini|gurgo chardonnay|it|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
754. W|cantine paolini|gurgo frappato syrah|it|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
755. W|cantine paolini|gurgo grillo sicilia 2024 white dry 13 075|it|w|grillo|sicilia|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
756. W|cantine paolini|gurgo viognier sicilia doc|it|w|??|sicilia|??|2019|12.5|doc|medio|peixes, frutos do mar, saladas|seco
757. W|cantine paolini|lance merlot sicilie igp 2019 rood|it|r|merlot|??|??|2019|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
758. W|cantine paolini|nerello mascalese|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
759. W|cantine paolini|nerello mascalese|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
760. W|cantine paolini|nerello mascalese|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=759
761. W|cantine paolini|nerello mascalese|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=759
762. W|cantine paolini|nerello mascalese 2024 sicily|it|r|??|sicily|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
763. W|cantine paolini|nero davola bio|it|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
764. W|cantine paolini|nero davola igp siciliane 2022 italy|it|r|nero davola|sicilia|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
765. W|cantine paolini|nero davola sicilia doc|it|r|nero davola|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
766. W|cantine paolini|nero davola terre siciliane|it|r|nero davola|sicilia|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
767. W|cantine paolini|no added sulfur nero davola|it|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
768. W|cantine paolini|pinot grigio|it|w|pinot grigio|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
769. W|cantine paolini|rosso appasimento igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
770. W|cantine paolini|sicilia bio grillo|it|r|grillo|sicilia|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
771. W|cantine paolini|sicilia bio nero davola|it|r|nero davola|sicilia|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
772. W|cantine paolini|syrah sicilien|it|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
773. W|cantine paolo|leo apassitivo primitivo puglia|it|r|primitivo|puglia|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
774. W|cantine paolo|leo passitivo appassimento primitivo|it|r|primitivo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
775. W|cantine paolo|leo pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
776. W|cantine paolo|leo primanero|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
777. W|cantine paolo|leo rose|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
778. W|cantine paololeo|passitivo primitivo organic|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
779. W|cantine paradiso|2022|it|r|??|??|??|1954|13.5|??|medio|carne vermelha, massas, queijos curados|seco
780. W|cantine paradiso|primitivo|it|r|primitivo|??|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
781. W|cantine paradiso|primitivo|it|r|primitivo|??|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=780
782. W|cantine paradiso|primitivo 075|it|r|primitivo|??|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
783. W|cantine paradiso|primitivo|it|r|primitivo|??|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=780
784. W|cantine paradiso|primitivo|it|r|primitivo|??|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=780
785. W|cantine paradiso|primitivo puglia|it|r|primitivo|puglia|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
786. W|cantine paradiso|primitivo puglia magnum|it|r|primitivo|puglia|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
787. W|cantine paradiso|angelo primitivo nero di troia|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
788. W|cantine paradiso|angelo primo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
789. W|cantine paradiso|angelo primo nero di troia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
790. W|cantine paradiso|angelo primo nero di troia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=789
791. W|cantine paradiso|angelo primo nero di troia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=789
792. W|cantine paradiso|angelo primo nero di troia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=789
793. W|cantine paradiso|bassato|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
794. W|cantine paradiso|nero di troia rosato|it|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
795. W|cantine paradiso|nonno angelo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
796. W|cantine paradiso|nonno angelo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=795
797. W|cantine paradiso|posta piana fiano greco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
798. W|cantine paradiso|posta piana fiano greco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=797
799. W|cantine paradiso|posta piana fiano greco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=797
800. W|cantine paradiso|posta piana fiano greco|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
801. W|cantine paradiso|posta piana nero di troia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
802. W|cantine paradiso|posta piana nero di troia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=801
803. W|cantine paradiso|posta piana nero di troia|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
804. W|cantine paradiso|posta piana primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
805. W|cantine paradiso|posta piana primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=804
806. W|cantine paradiso|posta piana primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=804
807. W|cantine paradiso|posta piana primitivo|it|r|primitivo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
808. W|cantine paradiso|posta piana salice salentino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
809. W|cantine paradiso|posta piana salice salentino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=808
810. W|cantine paradiso|posta piana salice salentino|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
811. W|cantine paradiso|primitivo|it|r|primitivo|??|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=780
812. W|cantine paradiso|primitivo 1954 puglia|it|r|primitivo|puglia|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
813. W|cantine paradiso|primitivo 1954 puglia|it|r|primitivo|puglia|??|1954|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=812
814. W|cantine paradiso|primitivo posta piana|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
815. W|cantine paradiso|sant andrea nero di troia primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
816. W|cantine paradiso|sant andrea nero di troia primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=815
817. W|cantine paradiso|sant andrea nero di troia primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=815
818. W|cantine paradiso|santandrea|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
819. W|cantine paradiso|stizzato|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
820. W|cantine paradiso|stizzato|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
821. W|cantine patria|femina etna bianco doc|it|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
822. W|cantine patria|femina etna rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
823. W|cantine pellegrino|anita garibaldi marsala superiore ambra dolce doc|it|f|??|??|??|2012|20|doc|encorpado|sobremesas, queijos azuis, foie gras|doce
824. W|cantine pellegrino|biosfera vit|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
825. W|cantine pellegrino|cremovo marsala fine alluovo aromatizzo doc italian fortified wine|it|f|??|??|??|NV|20|doc|encorpado|sobremesas, queijos azuis, foie gras|doce
826. W|cantine pellegrino|cremovo marsala fine alluovo aromatizzo doc italian fortified wine|it|f|??|??|??|NV|20|doc|encorpado|sobremesas, queijos azuis, foie gras|doce|=825
827. W|cantine pellegrino|doc pantelleria passito liquoroso|it|d|??|??|??|2020|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
828. W|cantine pellegrino|doc pantelleria passito liquoroso|it|d|??|??|??|2023|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
829. W|cantine pellegrino|doc pantelleria passito liquoroso|it|d|??|??|??|2023|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce|=828
830. W|cantine pellegrino|doc pantelleria passito liquoroso 2023 wine x itau|it|d|??|??|??|2023|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
831. W|cantine pellegrino|frappato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
832. W|cantine pellegrino|garibaldi dolce marsala superiore doc italian fortified wine|it|f|??|??|??|NV|20|doc|encorpado|sobremesas, queijos azuis, foie gras|doce
833. W|cantine pellegrino|garibaldi marsala superiore dolce|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
834. W|cantine pellegrino|gazzerotta grillo superiore doc|it|r|grillo|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
835. W|cantine pellegrino|gazzerotta nero davola doc|it|r|nero davola|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
836. W|cantine pellegrino|giardino pantesco passito di pantelleria|it|d|??|??|??|2022|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
837. W|cantine pellegrino|gibele vit|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
838. W|cantine pellegrino|gibele zibibbo|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
839. W|cantine pellegrino|horatio marsala som ambra secco doc|it|f|??|??|??|2011|20|doc|encorpado|sobremesas, queijos azuis, foie gras|doce
840. W|cantine pellegrino|il salinaro grillo doc|it|r|grillo|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
841. W|cantine pellegrino|il salinaro vit|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
842. W|cantine pellegrino|isesi zibibbo di pantelleria doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
