W|hess|cabernet sauvignon mvrk retail 22|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|dorrien bank cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=833
W|hewitson|dorrien bank cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=833
W|hewitson|dorrien bank cabernet sauvignon 2022 6 bottles|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=833
W|hewitson|dorrien bank cabernet sauvignon 2022 barossa valley south australia|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=833
W|hewitson|mad hatter shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=801
W|hewitson|mad hatter shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|mad hatter shiraz 2022|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=850
W|hewitson|mad hatter shiraz 2023 6 bottles|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=831
W|hewitson|mad hatter single vineyard shiraz 2017|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|mad hatter single vineyard shiraz 2017|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=924
W|hewitson|mad hatter single vineyard shiraz 2017|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=924
X
W|hewitson|truffle row carignan syrah cinsault 2022|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|truffle row carignan syrah cinsault 2022|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=928
W|hewitson|ungrafted grenache|??|r|grenache|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|ungrafted grenache 2022|??|r|grenache|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|ungrafted grenache 2023 barossa valley south australia|??|r|grenache|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitt|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitt|cabernet sauvignon 2016|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitt|cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitt|cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=935
W|hewitt|cabernet sauvignon double pl|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=933
W|hewitt|cabernet sauvignon double pl|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=933
W|hewitt|cabernet sauvignon double pl|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=933
W|hewitt|cabernet sauvignon ruth|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=933
W|hewitt|cabernet sauvignon rutherford 17|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=933
W|hewitt|cabernet sauvignon rutherford 2006|??|r|cabernet sauvignon|??|??|2006|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitt|cabernet sauvignon rutherford 2012|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitt|napa estate cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitt|rutherford cabernet sauvignon 2017|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitt|rutherford cabernet sauvignon 2017|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=945
W|hewitt|cabernet sauvignon 2017|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=945
W|hewitt|cabernet sauvignon 2017|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=945
W|hewitt|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=933
W|hewitt|napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=933
W|hewitt|rutherford napa valley cabernet sauvignon 2013|us|r|cabernet sauvignon|napa valley|napa valley|2013|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
X
X
X
X
W|hexa|prosecco glas 4pack proseco sweden logo|??|s|prosecco|??|??|NV|12|??|medio|frutos do mar, aperitivos, sushi|brut
X
X
X
X
W|hexagon|2000 tinto 1|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
X
X
X
X
X
X
X
W|hexagon|tinto|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hexagon|tinto|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=977
W|hexagon|tinto|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=977
W|hexagon|tinto 2017|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hexagon|vinho regional peninsula de setubal|??|??|??|??|??|NV|??|??|??|??|seco|=977
X
X
W|hexagonales|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
W|hexamer|2005 meddersheimer altenberg riesling spatlese trocken|??|w|riesling|??|??|2005|10.5|spatlese|medio|peixes, frango, queijos leves|seco
W|hexamer|2010 schlossbockelheimer in den felsen riesling spatlese|??|w|riesling|??|??|2010|10.5|spatlese|medio|peixes, frango, queijos leves|seco
W|hexamer|2011 meddersheimer rheingrafenberg riesling spatlese|??|w|riesling|??|??|2011|10.5|spatlese|medio|peixes, frango, queijos leves|seco
X
X
X
X
W|hexamer|meddersheimer rheingrafenberg riesling spatlese|??|w|riesling|??|??|NV|10.5|spatlese|medio|peixes, frango, queijos leves|seco
W|hexamer|porphyr riesling feinherb nahe germany 2021 case|de|w|riesling|??|??|2021|10.5|??|medio|peixes, frango, queijos leves|seco
W|hexamer|riesling eiswein sobernheimer domberg 0|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco|=993
W|hexamer|riesling meddersheimer altenberg kabinett|??|w|riesling|??|??|NV|10.5|kabinett|medio|peixes, frango, queijos leves|seco|=993
W|hexamer|riesling meddersheimer eisendell|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco|=993
W|hexamer|riesling no1 meddersheimer rheingrafenberg tr|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco|=993
W|hexamer|riesling porphyr|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco|=993
W|hexamer|riesling porphyr feinherb 2023|??|w|riesling|??|??|2023|10.5|??|medio|peixes, frango, queijos leves|seco
