1. W|jean|fournier marsannay clos du roy|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
692. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=690
693. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=690
694. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=690
695. W|jean|leon 3055 merlot petit verdot penedes|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
696. W|jean|leon 3055 merlot pverdot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
697. X
698. X
699. X
700. W|jean|leon 3055 merlotpetit verdot|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
701. W|jean|leon 3055 merlotpetit verdot|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
702. X
703. W|jean|leon 3055 negre|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
704. W|jean|leon 3055 organic chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
705. W|jean|leon 3055 petit verdot merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
706. W|jean|leon 3055 petit verdot merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=705
707. W|jean|leon 3055 petit verdotmerlot|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
708. X
709. W|jean|leon 3055 pinot noir rose|??|p|pinot noir|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
710. W|jean|leon 3055 rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
711. W|jean|leon 3055 rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=710
712. W|jean|leon 3055 rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=710
713. W|jean|leon 3055 rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=710
714. W|jean|leon 3055 rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=710
715. W|jean|leon 3055 rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=710
716. W|jean|leon 3055 rose|??|p|??|??|??|2021|12.5|??|leve|carnes brancas, saladas, antepastos|seco
717. W|jean|leon 3055 rose|??|p|??|??|??|2022|12.5|??|leve|carnes brancas, saladas, antepastos|seco
718. W|jean|leon 3055 rose|??|p|??|??|??|2024|12.5|??|leve|carnes brancas, saladas, antepastos|seco
719. W|jean|leon 3055 rose|??|p|??|??|??|2024|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=718
720. W|jean|leon 3055 rose spain|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
721. W|jean|leon 3055 xarel lo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
722. W|jean|leon 3055 xarel lo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=721
723. W|jean|leon 3055 xarel lo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=721
724. W|jean|leon 3055 xarel lo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=721
725. X
726. W|jean|leon cabernet le havre reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas, cordeiro, queijos curados|seco
727. W|jean|leon cabernet sauvignon|??|r|cabernet sauvignon|??|??|1995|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
728. W|jean|leon cabernet sauvignon 2003 edicion especial 40 aniversario|??|r|cabernet sauvignon|??|??|2003|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
729. W|jean|leon cabernet sauvignon reserva 1981 penedes do|??|r|cabernet sauvignon|??|??|1981|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
730. W|jean|leon cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|2004|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
731. W|jean|leon chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
732. W|jean|leon chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=731
733. W|jean|leon chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=731
734. W|jean|leon chardonnay barrica|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
735. X
736. W|jean|leon la scala cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
737. W|jean|leon la scala gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
738. W|jean|leon le havre|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
739. W|jean|leon merlot petit|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
740. W|jean|leon merlot vinya palau|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
741. W|jean|leon milenium cabernet sauvignon 1994 magnum|??|r|cabernet sauvignon|??|??|1994|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
742. X
743. W|jean|leon penedes vino tinto cabernet y merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
744. W|jean|leon petit chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
745. W|jean|leon reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas, cordeiro, queijos curados|seco
746. W|jean|leon reserva 1993 cabernet sauvignon|??|r|cabernet sauvignon|??|??|1993|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
747. W|jean|leon reserva cab sauv vinya le havre|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas, cordeiro, queijos curados|seco
748. W|jean|leon vina gigi chardonnay|??|w|chardonnay|??|??|2003|12.5|??|medio|peixes, frutos do mar, saladas|seco
749. W|jean|leon vinya gigi|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
750. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
751. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=750
752. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=750
753. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
754. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
755. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=754
756. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=754
757. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=754
758. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
759. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=758
760. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=758
761. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=758
762. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=758
763. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
764. W|jean|leon vinya gigi chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
765. W|jean|leon vinya gigi chardonnay penedes organic|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
766. W|jean|leon vinya la scala 2015 torres|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
767. W|jean|leon vinya la scala|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
768. W|jean|leon vinya la scala cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
769. W|jean|leon vinya la scala cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=768
770. W|jean|leon vinya la scala cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=768
771. W|jean|leon vinya la scala cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
772. W|jean|leon vinya la scala cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|2016|13.5|gran reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
773. W|jean|leon vinya la scala cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|2016|13.5|gran reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=772
774. W|jean|leon vinya la scala cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|2016|13.5|gran reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=772
775. W|jean|leon vinya la scala cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|2016|13.5|gran reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=772
776. W|jean|leon vinya la scala cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|2016|13.5|gran reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=772
777. W|jean|leon vinya la scala gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2015|13.5|gran reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
778. W|jean|leon vinya la scala gran reserva penedes|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas, cordeiro, queijos curados|seco
779. X
780. X
781. X
782. W|jean|leon vinya le havre|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
783. W|jean|leon vinya le havre|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
784. W|jean|leon vinya le havre cabernet|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
785. W|jean|leon vinya le havre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
786. W|jean|leon vinya le havre cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
787. W|jean|leon vinya le havre cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=786
788. W|jean|leon vinya le havre cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
789. W|jean|leon vinya le havre cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=788
790. W|jean|leon vinya le havre cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=788
791. W|jean|leon vinya le havre cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=788
792. W|jean|leon vinya le havre cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
793. X
794. W|jean|leon vinya le havre reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
795. W|jean|leon vinya le havre reserva penedes|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas, cordeiro, queijos curados|seco
796. W|jean|leon vinya palau|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
797. W|jean|leon vinya palau merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
798. W|jean|leon vinya palau merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=797
799. W|jean|leon vinya palau merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=797
800. W|jean|leon vinya palau merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=797
801. W|jean|leon vinya palau merlot|??|r|merlot|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
802. W|jean|leon vinya palau merlot penedes|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
803. W|jean|leon vinya palau organic merlot|??|r|merlot|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
804. X
805. W|jean|leon xarello|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
806. X
807. X
808. X
809. X
810. X
811. W|jean|loron 1711 pinot noir|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
812. X
813. X
814. X
815. W|jean|loron beaujolais villages chateau de la pierre|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
816. W|jean|loron beaujolais villages chateau de la pierre|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=815
817. W|jean|loron beaujolais villages chateau de la pierre|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
818. W|jean|loron beaujolais villages chateau de la pierre|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=817
819. W|jean|loron beaujolais villages les belmonts|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
820. W|jean|loron bourgogne aligote|fr|r|??|bourgogne|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
821. X
822. W|jean|loron chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
823. W|jean|loron chardonnay igp pays doc|??|w|chardonnay|??|??|2023|12.5|igp|medio|peixes, frutos do mar, saladas|seco
824. W|jean|loron chardonnay igp pays doc|??|w|chardonnay|??|??|2023|12.5|igp|medio|peixes, frutos do mar, saladas|seco|=823
825. W|jean|loron chatau de la pierre brouilly|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
826. X
827. W|jean|loron chateau de fleurie|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
828. W|jean|loron chateau de fleurie fleurie|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
829. W|jean|loron chateau de fleurie fleurie|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=828
830. W|jean|loron chateau mirande macon villages|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
831. W|jean|loron domaine des billards saint amour|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
832. W|jean|loron domaine des billards saint amour|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
833. W|jean|loron domaine des billards saint amour|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
834. X
835. W|jean|loron gamay noir|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
836. W|jean|loron gamay noir|??|r|gamay|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
837. W|jean|loron jean chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
838. W|jean|loron jean chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=837
839. W|jean|loron jean chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=837
840. W|jean|loron jean chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=837
841. W|jean|loron jean gamay noir|??|r|gamay|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
842. X
843. X
844. X
845. W|jean|loron les thibaults brouilly|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
846. W|jean|loron lor des fous pinot noir 2021 red dry|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
847. W|jean|loron macon villages chardonnay la crochette|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
848. W|jean|loron macon villages chardonnay la crochette|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=847
849. W|jean|loron macon villages chateau de mirande blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
850. W|jean|loron macon villages chateau de mirande blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=849
851. X
852. X
853. W|jean|loron maconvillages la crochette|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
854. W|jean|loron maconvillages la crochette|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
855. W|jean|loron montvallon bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
856. W|jean|loron montvallon bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
857. W|jean|loron pierre dumont pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
858. W|jean|loron pinot noir vin de france|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
859. W|jean|loron pinot noir vin de france|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=858
860. W|jean|loron pouilly fuisse 1er cru au vignerais|??|r|??|??|??|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
861. W|jean|loron pouilly fuisse les vieux murs|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
862. W|jean|loron pouilly fuisse les vieux murs|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=861
863. W|jean|loron pouillyfuisse les vieux murs|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
864. X
865. X
866. X
867. X
868. W|jean|loron rift 69 rose beaujolais aoc|fr|p|??|??|??|NV|12.5|aoc|leve|carnes brancas, saladas, antepastos|seco
869. X
870. X
871. X
872. W|jean|louis 2019 cotes du rhone reserve|fr|r|??|cotes du rhone|??|2019|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
873. W|jean|louis blanc de blancs|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
874. W|jean|louis brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
875. W|jean|louis brut blanc de blanc|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
876. W|jean|louis chave|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
877. W|jean|louis chave cotes du rhone mon coeur|fr|r|??|cotes du rhone|??|2013|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
878. W|jean|louis chave ermitage cuvee cathelin|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
879. W|jean|louis chave ermitage cuvee cathelin|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=878
880. W|jean|louis chave ermitage cuvee cathelin|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
881. W|jean|louis chave ermitage cuvee cathelin|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=880
882. W|jean|louis chave ermitage cuvee cathelin|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=880
883. W|jean|louis chave ermitage cuvee cathelin|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
884. W|jean|louis chave ermitage cuvee cathelin|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
885. W|jean|louis chave ermitage cuvee cathelin|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
886. X
887. W|jean|louis chave hermitage 1979 low fill|??|r|??|??|??|1979|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
888. W|jean|louis chave hermitage|??|r|??|??|??|1981|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
889. W|jean|louis chave hermitage|??|r|??|??|??|1985|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
890. W|jean|louis chave hermitage|??|r|??|??|??|1985|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=889
891. W|jean|louis chave hermitage|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
892. W|jean|louis chave hermitage|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=891
893. W|jean|louis chave hermitage|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
894. W|jean|louis chave hermitage|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=893
895. W|jean|louis chave hermitage|??|r|??|??|??|1991|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
896. W|jean|louis chave hermitage|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
897. W|jean|louis chave hermitage|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
898. W|jean|louis chave hermitage|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
899. W|jean|louis chave hermitage|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
900. W|jean|louis chave hermitage|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
901. W|jean|louis chave hermitage|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
902. W|jean|louis chave hermitage|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=901
903. W|jean|louis chave hermitage|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
904. W|jean|louis chave hermitage|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
905. W|jean|louis chave hermitage|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=904
906. W|jean|louis chave hermitage|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
907. W|jean|louis chave hermitage|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
908. W|jean|louis chave hermitage|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
909. W|jean|louis chave hermitage|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
910. W|jean|louis chave hermitage|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
911. W|jean|louis chave hermitage|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
912. W|jean|louis chave hermitage|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
913. W|jean|louis chave hermitage|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
914. W|jean|louis chave hermitage|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=913
915. W|jean|louis chave hermitage|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
916. W|jean|louis chave hermitage|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=915
917. W|jean|louis chave hermitage|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
918. W|jean|louis chave hermitage|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=917
919. W|jean|louis chave hermitage|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
920. W|jean|louis chave hermitage|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=919
921. W|jean|louis chave hermitage|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
922. W|jean|louis chave hermitage|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
923. W|jean|louis chave hermitage blanc|??|w|??|??|??|1990|12.5|??|medio|peixes, frutos do mar, saladas|seco
924. W|jean|louis chave hermitage blanc|??|w|??|??|??|1992|12.5|??|medio|peixes, frutos do mar, saladas|seco
925. W|jean|louis chave hermitage blanc 1997 label damage|??|w|??|??|??|1997|12.5|??|medio|peixes, frutos do mar, saladas|seco
926. W|jean|louis chave hermitage blanc|??|w|??|??|??|1999|12.5|??|medio|peixes, frutos do mar, saladas|seco
927. W|jean|louis chave hermitage blanc|??|w|??|??|??|1999|12.5|??|medio|peixes, frutos do mar, saladas|seco|=926
928. W|jean|louis chave hermitage blanc|??|w|??|??|??|1999|12.5|??|medio|peixes, frutos do mar, saladas|seco|=926
929. W|jean|louis chave hermitage blanc|??|w|??|??|??|2000|12.5|??|medio|peixes, frutos do mar, saladas|seco
