1. W|casa ermelinda prestigious portuguese|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|casa julia|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
625. W|casa julia|carmenere chile|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
626. W|casa julia|carmenere reserva maipo valley|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
627. W|casa julia|carmenere reserva maipo valley valle central chile 2022|pt|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
628. W|casa julia|carmenere reserve 2022|pt|r|carmenere|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
629. W|casa julia estate valle del maule|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
630. W|casa julia maipo valley|cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
631. W|casa julia manta|sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
632. W|casa julia maule valley|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
633. W|casa julia maule valley|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=632
634. W|casa julia|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|casa julia|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
636. W|casa julia|sauvignon blanc chile|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
637. W|casa julia|sauvignon blanc maule valley 2020|pt|w|sauvignon blanc|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
638. W|casa komos anejo cristalino|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|casa la gatta|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|casa la joya|gran reserva|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
641. W|casa la primavera sin palabras bonarda|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|casa la rad alma|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|casa la rad alma rioja|2020|es|r|??|rioja|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|casa la rad alma rioja|doca 2020 6 bottle case|es|r|??|rioja|??|2020|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
645. W|casa la rad|blanco 2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
646. W|casa la rad|blanco 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|casa la rad|blanco 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=646
648. W|casa la rad|blanco rioja doca 2021|es|r|??|rioja|??|2021|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
649. W|casa la rad malvasia|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|casa la rad rioja|white 2021|es|w|??|rioja|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
651. W|casa la rad solarce|blanco 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|casa la rad solarce|blanco 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|casa la rad solarce rioja|tinto 2021|es|r|??|rioja|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
654. W|casa la rad solarce|rosado 2021|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
655. W|casa la rad solarce|rosado 2022|pt|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
656. W|casa la rad solarce|rosado 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
657. W|casa la rad solarce|tinto 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|casa la rad solarce|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|casa la rad solarce|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|casa la rad|tinto 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|casa la rad|tinto 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=660
662. W|casa la rad|tinto 2021 do rioja|es|r|??|rioja|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. W|casa la rad|tinto rioja doca 2019|es|r|??|rioja|??|2019|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
664. W|casa la rad vina solarce rioja|blanco 2024|es|r|??|rioja|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
665. W|casa la rad vina solarce rioja|rosado 2024|es|p|??|rioja|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
666. W|casa la rad vinedos singulares malvasia rioja|2022|es|r|??|rioja|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|casa la tenca|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
668. W|casa la tenca|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
669. W|casa la tenca|carmenere chile|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
670. W|casa la tenca|carmenere reserva 2021|pt|r|carmenere|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
671. W|casa la tenca|reserva carignan|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
672. W|casa la tenca|reserva carmenere 2023|pt|r|carmenere|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
673. W|casa la tenca|reserva carmenere 2023|pt|r|carmenere|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=672
674. W|casa la tenca|reserva carmenere 2023|pt|r|carmenere|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=672
675. W|casa la tenca|sauvignon blanc chile|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
676. W|casa la tenca|sauvignon blanc reserva 2023|pt|w|sauvignon blanc|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
677. W|casa la tenca|sauvignon blanc reserva 2023|pt|w|sauvignon blanc|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=676
678. W|casa labei la nave ribera del|duero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
679. W|casa labei matadiables ribera del|duero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
680. W|casa labei portillo ribera del|duero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|casa lapostelle|carmenere cuvee alexandre|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
682. W|casa lapostelle cuvee alexandre|merlot 2022|pt|r|merlot|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. W|casa lapostelle|grand selection sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
684. W|casa|lapostolle|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
685. W|casa lapostolle|2001 colchagua red clos apalta|pt|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
686. W|casa lapostolle|2020 clos apalta|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
687. W|casa lapostolle|2021 clos apalta|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|casa lapostolle apalta|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|casa lapostolle|borobo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|casa lapostolle cab|sauv|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
691. W|casa lapostolle|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
692. W|casa lapostolle|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=691
693. W|casa lapostolle|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=691
694. W|casa lapostolle|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=691
695. W|casa lapostolle|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=691
696. W|casa lapostolle|cabernet sauvignon 1996|pt|r|cabernet sauvignon|??|??|1996|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
697. W|casa lapostolle|cabernet sauvignon cuvee alexandre|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
698. W|casa lapostolle|cabernet sauvignon grand selection|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
699. W|casa lapostolle|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
700. W|casa lapostolle|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=699
701. W|casa lapostolle|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=699
702. W|casa lapostolle|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=699
703. W|casa lapostolle|carmenere cuvee alexandre 2023|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
704. W|casa lapostolle|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
705. W|casa lapostolle|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=704
706. W|casa lapostolle|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=704
707. W|casa lapostolle|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=704
708. W|casa lapostolle|chardonnay cuvee alexandre casablanca valley|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
709. W|casa lapostolle|chardonnay grand selection|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
710. W|casa lapostolle clos|apalta|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
711. W|casa lapostolle clos|apalta|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=710
712. W|casa lapostolle clos|apalta|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=710
713. W|casa lapostolle clos apalta|2003|pt|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
714. W|casa lapostolle clos apalta|2006|pt|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
715. W|casa lapostolle clos apalta|2009|pt|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
716. W|casa lapostolle clos apalta|2009|pt|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=715
717. W|casa lapostolle clos apalta|2011|pt|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
718. W|casa lapostolle clos apalta|2014|pt|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
719. W|casa lapostolle clos apalta|2014|pt|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=718
720. W|casa lapostolle clos apalta|2016 rp96 js99|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
721. W|casa lapostolle clos apalta|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
722. W|casa lapostolle clos apalta|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
723. W|casa lapostolle clos apalta|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=722
724. W|casa lapostolle clos apalta|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
725. W|casa lapostolle clos apalta|2019 vallee de colchagua|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
726. W|casa lapostolle clos apalta|2019 vallee de colchagua|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=725
727. W|casa lapostolle clos apalta|2019 vallee de colchagua|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=725
728. W|casa lapostolle clos apalta|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
729. W|casa lapostolle clos apalta|2021 top 10 wine 5|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
730. W|casa lapostolle clos apalta|6 case|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
731. W|casa lapostolle clos apalta cscarmenere|2019|pt|r|carmenere|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
732. W|casa lapostolle clos du lican|syrah 2020|pt|r|syrah|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
733. W|casa lapostolle collection|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
734. W|casa lapostolle cuvee alex|cabernet|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
735. W|casa lapostolle cuvee alex|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
736. W|casa lapostolle cuvee alex|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
737. W|casa lapostolle cuvee alex|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
738. W|casa lapostolle cuvee alexander|carmenere 2022|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
739. W|casa lapostolle cuvee alexander|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
740. W|casa lapostolle cuvee alexander|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=739
741. W|casa lapostolle cuvee alexandre|cabernet 2022|pt|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
742. W|casa lapostolle cuvee alexandre|cabernet sauv|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
743. W|casa lapostolle cuvee alexandre|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
744. W|casa lapostolle cuvee alexandre|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=743
745. W|casa lapostolle cuvee alexandre|cabernet sauvignon 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
746. W|casa lapostolle cuvee alexandre|cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
747. W|casa lapostolle cuvee alexandre|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
748. W|casa lapostolle cuvee alexandre|carmenere blend|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
749. W|casa lapostolle cuvee alexandre|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
750. W|casa lapostolle cuvee alexandre|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=749
751. W|casa lapostolle cuvee alexandre|chardonnay 2016|pt|w|chardonnay|??|??|2016|12.5|??|leve|frutos do mar, peixes, saladas|seco
752. W|casa lapostolle cuvee alexandre|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
753. W|casa lapostolle cuvee alexandre|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=752
754. W|casa lapostolle cuvee alexandre|merlot 2015|pt|r|merlot|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
755. W|casa lapostolle cuvee alexandre|merlot 2022|pt|r|merlot|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
756. W|casa lapostolle cuvee alexandre|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
757. W|casa lapostolle cuvee|cabernet|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
758. W|casa lapostolle|grand chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
759. W|casa lapostolle|grand selection chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
760. W|casa lapostolle|grand selection merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
761. W|casa lapostolle|grand selection sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
762. W|casa lapostolle le|petit clos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
763. W|casa lapostolle le|petit clos 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
764. W|casa lapostolle|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
765. W|casa lapostolle|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=764
766. W|casa lapostolle|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=764
767. W|casa lapostolle|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=764
768. W|casa lapostolle|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=764
769. W|casa lapostolle|merlot cuvee alexander|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
770. W|casa lapostolle|merlot grand selection|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
771. W|casa lapostolle|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
772. W|casa lapostolle|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=771
773. W|casa lapostolle|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=771
774. W|casa lapostolle|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=771
775. W|casa lapostolle|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=771
776. W|casa lapostolle|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=771
777. W|casa lapostolle|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=771
778. W|casa lapostolle|sauvignon blanc grand selection|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
779. W|casa lapostolle|syrah requnoa cuve alexandre 2004|pt|r|syrah|??|??|2004|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
780. W|casa las monjas monastrell vino de parcela valencia|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
781. W|casa lebai el portillo|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
782. W|casa lebai la nava|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
783. W|casa lebai matadiablos|2019 ribera del duero|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
784. W|casa lebai matadiablos|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
785. W|casa legacia|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
786. W|casa legacia|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
787. W|casa legacia|extra anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
788. W|casa legacia|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
789. W|casa libre de otro|planeta|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
790. W|casa libre de otro planeta|moscatel de alejandria|pt|w|moscatel|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
791. W|casa libre siete perros c|sauvignon|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
792. W|casa libre siete perros pet|nat|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
793. W|casa libre siete perros petnat|moscatel|pt|w|moscatel|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
794. W|casa limonio giada trilogy liquore di limone di|sicilia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
795. W|casa limonio topazio liquore di mandarino di|sicilia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
796. W|casa liva bulbul buyuk|boy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
797. W|casa liva bulbul kucuk|boy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|casa liva bulbul orta|boy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
799. W|casa liva|durum|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
800. W|casa liva durum|kusbas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
801. W|casa lluch orange|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
802. W|casa lluch orange verdil|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
803. W|casa lluch orange|wine|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
804. W|casa lluch|organic tempranillo|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
805. W|casa lluch|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
806. W|casa lluch|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=805
807. W|casa lluch|rosato tempranillo 2023|pt|p|tempranillo|??|??|2023|12.5|??|encorpado|saladas, aves, queijos leves|seco
808. W|casa lluch|tempranillo|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
809. W|casa lluch|tempranillo|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=808
810. W|casa lluch|tempranillo|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=808
811. W|casa lluch|tempranillo 2022|pt|r|tempranillo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
812. W|casa lluch|tempranillo red wine|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
813. W|casa lluch|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
814. W|casa lluch|verdil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
815. W|casa lluch|verdil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=814
816. W|casa lluch verdil barrica|seleccion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
817. W|casa lluch verdil|seleccion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
818. W|casa lo alto|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
819. W|casa lo alto|crianza|pt|r|??|??|??|NV|13.5|crianza|medio|carne vermelha, massas, queijos curados|seco
820. W|casa lo alto|crianza|pt|r|??|??|??|NV|13.5|crianza|medio|carne vermelha, massas, queijos curados|seco|=819
821. W|casa lo alto|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
822. W|casa lo mata|cabernet sauvignon red wine 2004|pt|r|cabernet sauvignon|??|??|2004|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
823. W|casa lo mata|merlot red wine|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
824. W|casa lo mata|sauvignon blanc white wine 2005|pt|w|sauvignon blanc|??|??|2005|12.5|??|leve|frutos do mar, peixes, saladas|seco
825. W|casa lo mata|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
826. W|casa lo matta|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
827. W|casa lo matta|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
828. W|casa lo matta|merlot red wine|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
829. W|casa lo matta|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
830. W|casa loce|red blend wine 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
831. W|casa loce|rose wine 2021|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
832. W|casa los|frailes|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
833. W|casa los frailes|1771|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
