W|luiz|porto gran reserva syrah|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|isla negra|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|isla negra merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|iscay|iscay|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|intipalka tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|intipalka syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|intipalka syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=674
W|intipalka sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|intimista|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|intimista|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=677
W|intimista|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|intimista|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|inospito vinhas velhas chao de areia|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|inospito vinhas velhas chao de areia|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco|=681
W|inospito rabigato|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|inniskillin vidal pearl|icewine|??|d|moscatel|??|??|NV|10|Icewine|medio|quesos azuis, chocolate amargo, castanhas|doce
W|inniskillin vidal pearl|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|infinitum negroamaro|negroamaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|inevitavel|inevitavel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|indomita malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|indomita|syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|indomita|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|indomita|carignan|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|in bocca al lupo rosso|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|in bocca al lupo rosso|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=692
W|importado|branco salentein reserva corte de blancas|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|imperial vin|collection merlot igp|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
S
W|il sarone vino rosso|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|il borro super toscano|toscano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|i castei valpolicella ripasso|classico superior doc costamaran|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|humberto barberis|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|humberto barberis|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=700
W|hugel riesling|branco 2024|??|w|riesling|??|??|2024|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|hugel riesling|branco 2023|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|hugel riesling|branco|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|huentala wines sombrero sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|house of morande|2008|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hormiga negra malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|horacio simoes moscatel de|setubal|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|horacio simoes moscatel de|setubal|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=708
W|holminhos|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|holminhos|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=710
W|hey|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|hey malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hermann matiz alvarinho|alvarinho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hermann donnhoff riesling trocken|trocken|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|hermandad winemaker series cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hermandad winemaker series bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hermandad malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hermandad malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=718
W|hermandad|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herencia|1955 parcelas merlot|??|r|merlot|??|??|1955|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herdade sao miguel colheita selecionada|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|herdade paco|do conde reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|herdade dos grous|tinto 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herdade dos grous|tinto 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|herdade dos grous|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|herdade dos grous moon harvested|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herdade dos grous|branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|herdade dos grous|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|herdade|do rocim reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|herdade|do rocim mariana tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herdade|do rocim mariana tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=731
W|herdade|do rocim mariana rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|herdade|do rocim mariana rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=733
W|herdade|do rocim mariana rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=733
W|herdade|do rocim mariana branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|herdade|do peso trinca bolotas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herdade|do peru tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herdade|do esporao reserva tinto 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|herdade|do esporao reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|herdade|do esporao alandra tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herdade das albernoas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|herdade das albernoas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=742
W|herdade das albernoas|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|herdade das albernoas|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=744
W|herdade aldeia de cima|tinto 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|herdade aldeia de cima|branco 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|henrique dal castel riesling|1989|??|w|riesling|??|??|1989|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|hautescotes de nuits les plancons|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hautescotes de nuits les genevrieres|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hardys stamp shiraz cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hardys stamp cabernetmerlot|cabernetmerlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|hardys stamp cabernet sauvignon merlot|merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|haras de pirque chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|haras de pirque chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=754
W|haras de pirque chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=754
W|haras de pirque albaclara sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|haras de pirque albaclara sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=757
X
W|hacienda solano seleccion|do organico tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|guru|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|guidalberto|guidalberto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|guatambu potter tannat o melhor|do brasil em anfora|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|guatambu potter tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|guatambu potter chardonnay fermentado em anfora concreto|concreto|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|guatambu potter chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|guaspari vale da pedra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|guaspari vale da pedra|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|guaspari vale da pedra|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=768
W|guaspari|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|guaspari|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=770
W|guaspari|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=770
W|guaspari|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=770
W|guaspari cabernet sauvignon cabernet franc vista da mata|mata|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|guarda rios|rios|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gruner veltliner leicht und trocken|trocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gruner veltliner|veltliner|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gris blanc|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|grey|single block carmenere 2014 ventisquero valle del maipo|??|r|carmenere|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grego|tinto red on black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grego|tinto orgion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grego|branco white on grey|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|grego|branco muscat orange|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|grego|branco alchymist white|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|grao vasco|tinto 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grao vasco|vasco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grao vasco|vasco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=786
W|grandier|bordeaux|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|grande druida|branco 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|gran|tarapaca reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|gran|tannat premium|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|susumaniello salento igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|toro de piedra sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|gran|tarapaca etiqueta negra|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gran|tarapaca etiqueta azul|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gran|tarapaca etiqueta azul|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=795
W|gran|tarapaca carmenere 1x|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gran|tarapaca cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gran|tarapaca cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=798
W|gran|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gran|fabian sauvignon blanc 2023|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|gran|enemigo single vineyard gualtallary 2021|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gran|enemigo single vineyard gualtallary 2020|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gran|enemigo single vineyard gualtallary|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gran|enemigo gualtallary|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|enemigo blend 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|enemigo blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|enemigo agrelo cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|enemigo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|corte dedicado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|bodega tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|bodega malbec bonarda tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|araucaria chileno sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|gran|amigo sauvinon blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|amigo sauvinon blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=814
W|gran|amigo sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|gran|alambrado cosecha manual malbec cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|alambrado cosecha manual malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gran|alambrado cosecha manual cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gralha azul merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gralha azul cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grainha|tinto 2023|??|r|??|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|grahams vintage|2016 0|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grahams vintage|2000 0|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grahams vintage|1994 0|??|r|??|??|??|1994|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grahams quinta dos malvedos vintage|2009 0|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grahams colheita|1997 0|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grahams colheita|1974 0|??|r|??|??|??|1974|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|grahams colheita|1950 0|??|r|??|??|??|1950|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gr 174 vin de|gran recorregut|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|goutte dargent sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|goutte dargent sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=831
W|goutte dargent pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|goutte dargent chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|goutte dargent chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=834
W|gonzalez byass solera 1847|1847|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|golan heights winery galilee mount hermon|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|golan heights winery galilee mount hermon|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|goes tradicao|rose licoroso|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|goes tradicao|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|goes tradicao bordo|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|goes tradicao bordo|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=841
W|goes tradicao bordo|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=841
W|goes tradicao bordo seco|seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|goes tradicao bordo seco|seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=844
W|go up carmenere|2022|??|r|carmenere|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|go up carmenere|2020|??|r|carmenere|??|??|2020|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|go up carmenere|reserva|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|go up cabernet sauvignon|2021|??|r|cabernet sauvignon|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|go up cabernet sauvignon|reserva|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|gloria reynolds|branco 2018 0|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe cortese barbera d alba|alba|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|giuseppe cortese barbaresco rabaja|docg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|giulia negri barolo serradenari|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|giacondi primitivo puglia|tinto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|giacondi pinot grigio|branco|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|gheller trebbiano|2025|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gheller|gold edition pinot noir 2024|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gheller chardonnay|2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|georges duboeuf la|cuvee rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|generoso novidade de|1934|??|r|??|??|??|1934|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gem pays|doc rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|gem pays|doc branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|gem pays|doc branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=863
W|gazzaro tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gazela verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gazela|rose sangia francisca barroca 2020 8|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|gavi|docg cabianca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|gato negro sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=869
W|gato negro sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=869
W|gato negro sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=869
W|gato negro|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|gato negro pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=874
W|gato negro pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=876
W|gato negro pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=876
W|gato negro merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=879
W|gato negro merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=881
W|gato negro merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=881
W|gato negro malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=885
W|gato negro malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=885
W|gato negro chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|gato negro chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|gato negro chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=889
W|gato negro chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=889
W|gato negro carmenere|tinto|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|gato negro carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=893
W|gato negro carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=893
W|gato negro carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=893
