1. W|casteddu|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|castel raziel|rose 21|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
625. W|castel raziel|rose non vintage champagne|fr|p|??|champagne|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
626. W|castel raziel|sparkling rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
627. W|castel raziel syrahcarignan damage|label|??|r|syrah|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|castel ringberg lagrein riserva elena|walch|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
629. W|castel ringberg|sauvignon elena walch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|castel|rose and red collection|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
631. W|castel|rose d anjou|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
632. W|castel sablons verjus ugni|blanc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|castel sallegg bischofsleiten lago di caldaro|classico superiore doc 2021|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
634. W|castel sallegg blauburgunder|doc 2023|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
635. W|castel sallegg|brut rose madea igt vn|??|p|??|??|??|NV|12.5|igt|leve|saladas, aves, queijos leves|seco
636. W|castel sallegg|cabernet sauvignon riserva doc 2020|??|r|cabernet sauvignon|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
637. W|castel sallegg|cabernet sauvignon riserva doc 2021|??|r|cabernet sauvignon|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
638. W|castel sallegg elisa cuvee wei|igt pbsbpg 2024|??|r|??|??|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
639. W|castel sallegg gewuerztraminer|doc 2024|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
640. W|castel sallegg kalterersee auslese|doc vigna bischofsleiten 2022|??|d|??|??|??|2022|10|doc|encorpado|sobremesas, queijos azuis, foie gras|doce
641. W|castel sallegg kalterersee auslese|doc vigna bischofsleiten 2024|??|d|??|??|??|2024|10|doc|encorpado|sobremesas, queijos azuis, foie gras|doce
642. W|castel sallegg|merlot riserva doc 2021|??|r|merlot|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
643. W|castel sallegg|merlot riserva doc nussleiten 2020|??|r|merlot|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
644. W|castel sallegg|moscato giallo 2011|??|w|moscato|??|??|2011|12.5|??|leve|frutos do mar, peixes, saladas|seco
645. W|castel sallegg|moscato giallo 2011|??|w|moscato|??|??|2011|12.5|??|leve|frutos do mar, peixes, saladas|seco|=644
646. W|castel sallegg|moscato rosa doc 2023|??|w|moscato|??|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
647. W|castel sallegg|pinot noir alto adige pinot nero doc 2020|??|r|pinot noir|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
648. W|castel sallegg renier cuvee|igt mla 2023|??|r|??|??|??|2023|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
649. W|castel sallegg sallie|rose igt mla 2024|??|p|??|??|??|2024|12.5|igt|leve|saladas, aves, queijos leves|seco
650. W|castel sallegg|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|castel sallegg|sauvignon doc 2024|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
652. W|castel sallegg weissburgunder|doc leopoldine 2020|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
653. W|castel sallegg weissburgunder|doc leopoldine 2021|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
654. W|castel san mauro atavo|2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|castel san mauro ribolla gialla col fondo|nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|castel san|pietro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|castel sarravona|fiano|??|w|fiano|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
658. W|castel|sauvignon blanc 2017|??|w|sauvignon blanc|??|??|2017|12.5|??|leve|frutos do mar, peixes, saladas|seco
659. W|castel serranova agricole|vallone|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|castel serranova|fiano|??|w|fiano|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
661. W|castel serranova|fiano salento igp|??|w|fiano|??|??|NV|12.5|igp|leve|frutos do mar, peixes, saladas|seco
662. W|castel serranova|igp salento 2018 vallone|??|r|??|??|??|2018|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
663. W|castel serranova|susumaniello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
664. W|castel serranova susumaniello|rose 2024|??|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
665. W|castel starmina|cabernet sauvignon vinarte|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
666. W|castel starmina|feteasca neagra vinarte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|castel starmina|merlot vinarte|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
668. W|castel starmina|merlot vinarte six pack|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
669. W|castel starmina|riesling vinarte|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
670. W|castel starmina|rose vinarte|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
671. W|castel starmina|sauvignon blanc vinarte|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
672. W|castel starmina tamaioasa romaneasca|vinarte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
673. W|castel torre|pinot grigio delle venezie|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
674. W|castel traminer|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
675. W|castel verdino montepulciano dabruzzo|doc riserva 2016 casal bordino|??|r|montepulciano|??|??|2016|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
676. W|castel vieilh la salle bordeaux|nv|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
677. W|castel vieilh la salle bordeaux|nv|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=676
678. W|castel|viel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
679. W|castel viel|roquefort|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
680. W|castel vinum|alb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|castel vinum|alb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=680
682. W|castel vinum alb|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. W|castel vinum alb|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=682
684. W|castel vinum|chardonnay 2023 2 litri|??|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
685. W|castel vinum|chardonnay 2023 2 litri|??|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco|=684
686. X
687. X
688. W|castel vinum|feteasca neagra pinot noir 2021 2 litri|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|castel vinum|feteasca neagra pinot noir 2021 2 litri|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=688
690. W|castel vinum|feteasca neagra pinot noir merlot 2021|??|r|pinot noir, merlot|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
691. W|castel vinum|feteasca neagra pinot noir merlot 2021|??|r|pinot noir, merlot|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=690
692. W|castel vinum|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
693. W|castel vinum|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=692
694. W|castel vinum|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
695. W|castel vinum|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=694
696. W|castel vinum|rose 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
697. W|castel vinum|rose 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco|=696
698. W|castel vinum|rose 2023 2 litri|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
699. W|castel vinum|rose 2023 2 litri|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco|=698
700. W|castel vinum|rose 2023 5 litri|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
701. W|castel vinum|rose 2023 5 litri|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco|=700
702. W|castel vinum rosu|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
703. W|castel vinum rosu|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=702
704. W|castel vinum vin alb|2022 5 litri|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
705. W|castel vinum vin alb|2022 5 litri|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=704
706. W|castel vinum vin rosu|2022 5 litri|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
707. W|castel vinum vin rosu|2022 5 litri|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=706
708. W|castel vinum|white|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
709. W|castel vinum|white|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=708
710. W|castel vladoianu|feteasca neagra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
711. W|castel vladoianu|feteasca neagra rd tr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
712. W|castel vladoianu|feteasca neagra sec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
713. W|castel winery|petit castel 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
714. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=10
715. W|castelanu|2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
716. W|c|c|??|r|castelao|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
717. W|c|c|??|r|castelao|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=716
718. W|castelao|2021 adegamae|??|r|castelao|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
719. W|castelao|22|??|r|castelao|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
720. W|castelao|anfora|??|r|castelao|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
721. W|castelar|baga bairrada reserva sparkling|pt|s|baga|bairrada|??|NV|12|reserva|leve|aperitivos, frutos do mar, sushi|brut
722. W|castelar|brut reserve|??|s|??|??|??|NV|12|reserve|leve|aperitivos, frutos do mar, sushi|brut
723. W|castelar|brut rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
724. W|castelar|extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
725. W|castelar|reserva sparkling|??|s|??|??|??|NV|12|reserva|leve|aperitivos, frutos do mar, sushi|brut
726. W|castelares|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. W|castelares bio|branco|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
728. W|castelares bio|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
729. W|castelares bio|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
730. W|castelares|vinhas a norte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
731. W|castelas les mesanges cotes du rhone|blanc|fr|r|??|rhone|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
732. W|castelas olivenol aop vallee des baux|classic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
733. W|castelas olivenol aop vallee des baux|classic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=732
734. W|castelas olivenol aop vallee des baux|classic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=732
735. W|castelbarco amarone della valpolicella|classico 2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
736. W|castelbarco valpolicella ripasso superiore|2022|??|r|??|??|??|2022|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
737. W|castelbarry i love french|rose 4pk|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
738. W|castelbarry languedoc a tete reposee|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
739. W|castelbarry les coopains|grenache france|fr|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
740. W|castelbarry montalis|gris rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
741. W|castelbarry montalis|gris rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=740
742. W|castelbeaux|grand reserve pinot noir 2024|??|r|pinot noir|??|??|2024|13.5|grand reserve|medio|carne vermelha, massas, queijos curados|seco
743. W|castelbeaux|grand reserve pinot noir 2024|??|r|pinot noir|??|??|2024|13.5|grand reserve|medio|carne vermelha, massas, queijos curados|seco|=742
744. W|castelbeaux|grand reserve pinot noir 2024|??|r|pinot noir|??|??|2024|13.5|grand reserve|medio|carne vermelha, massas, queijos curados|seco|=742
745. W|castelbeaux|grand reserve pinot noir 2024|??|r|pinot noir|??|??|2024|13.5|grand reserve|medio|carne vermelha, massas, queijos curados|seco|=742
746. W|castelbeaux louis de jolimont|grand reserve chardonnay 2024|??|w|chardonnay|??|??|2024|12.5|grand reserve|leve|frutos do mar, peixes, saladas|seco
747. W|castelbeaux|pinot noir grand reserve|??|r|pinot noir|??|??|NV|13.5|grand reserve|medio|carne vermelha, massas, queijos curados|seco
748. W|castelbel botanicals wild|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
749. W|castelbel gentlemens club oud bergamot hand body|wash|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
750. W|castelbel gentlemens club patchouli sandalwood hand and body|wash|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
751. W|castelbel gentlemens club sea salt grapefruit hand body|wash|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
752. W|castelbel gentlemens club spearmint moss eau de|toilette|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
753. W|castelbel gentlemens club spearmint moss hand body|wash|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
754. W|castelbel lavander body|lotion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
755. W|castelbel lavender chamomile exfoliating body|bar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
756. W|castelbel lavender chamomile hand|cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
757. X
758. W|castelbel lavender hand|cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
759. W|castelbel santal tonka exfoliating body|bar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
760. W|castelbel santal tonka hand|cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
761. W|castelbel verbena body|lotion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
762. X
763. W|castelbel verbena hand|cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
764. W|castelbel|white jasmine body lotion|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
765. X
766. W|castelbel|white jasmine hand cream|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
767. W|castelcecchi chianti|classico gran selezione docg madonnio della pieve 2015|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
768. W|castelcerino|2022 filippi|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
769. W|castelcerino soave|classico doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
770. W|castelcerino soave|doc colli scaligeri 2018 magnum 1 az ag viscofilippi|it|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
771. W|casteldelpiano clare toscana|igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
772. W|casteldelpiano mattagna toscana|igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
773. W|casteldelpiano pepe|nero 2018 igt toscana|it|r|??|toscana|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
774. W|casteldrione dalfonso del sordo|1965|??|r|??|??|??|1965|13.5|??|medio|carne vermelha, massas, queijos curados|seco
775. W|castele|2024 pinot grigio friuli|??|w|pinot grigio|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
776. W|castele|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
777. W|castele|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=776
778. W|castelfalfi bianco|igt toscana biologico|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
779. W|castelfalfi|rosso toscana|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
780. W|castelfeder|15 pinot grigio 2020|??|w|pinot grigio|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
781. W|castelfeder|15 pinot grigio 2024|??|w|pinot grigio|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
782. W|castelfeder alte reben|2024 schiava|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
783. W|castelfeder alte reben vernatsch alto|adige|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
784. W|castelfeder blauburgunder|doc buchholz 2023|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
785. W|castelfeder blauburgunder|doc glen 2022|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
786. W|castelfeder blauburgunder|doc glen 2022|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=785
787. W|castelfeder blauburgunder|doc glen 2023|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
788. W|castelfeder blauburgunder|doc mazon 2022|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
789. W|castelfeder blauburgunder|doc mazon 2023|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
790. W|castelfeder blauburgunder|igt mont mes 2023|??|r|??|??|??|2023|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
791. W|castelfeder blauburgunder riserva|doc burgum novum 2018|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
792. W|castelfeder blauburgunder riserva|doc burgum novum 2022|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
793. W|castelfeder blauburgunder riserva|doc burgum novum 2022|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=792
794. W|castelfeder blauburgunder riserva|doc burgum novum raritaet 2019|??|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
795. W|castelfeder|brut intanto doc pas dose 2020|??|s|??|??|??|2020|12|doc|leve|aperitivos, frutos do mar, sushi|brut
796. W|castelfeder|brut intanto doc pas dose 2020|??|s|??|??|??|2020|12|doc|leve|aperitivos, frutos do mar, sushi|brut|=795
797. W|castelfeder buchholz|pinot nero 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|castelfeder burgum novum|chardonnay riserva 2021|??|w|chardonnay|??|??|2021|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
799. W|castelfeder burgum novum|chardonnay riserva doc|??|w|chardonnay|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
800. W|castelfeder burgum novum lagrein|riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
801. W|castelfeder burgum novum lagrein|riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=800
802. W|castelfeder burgum novum|pinot nero 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
803. W|castelfeder burgum novum|pinot nero riserva doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
804. W|castelfeder burgum novum|pinot nero sudtirol alto adige doc 2018 rood|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
805. W|castelfeder burgum novum riserva lagrein|2010 magnum|??|r|??|??|??|2010|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
806. W|castelfeder burgum novum riserva lagrein|2011 magnum|??|r|??|??|??|2011|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
807. W|castelfeder burgum novum|sauvignon blanc riserva|??|w|sauvignon blanc|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
808. W|castelfeder|cabernet riserva doc burgum novum 2020|??|r|??|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
809. W|castelfeder|chardonnay burgum novum 2021|??|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
810. W|castelfeder|chardonnay burgum novum riserva|??|w|chardonnay|??|??|NV|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
811. W|castelfeder|chardonnay burgum novum riserva doc|??|w|chardonnay|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
812. W|castelfeder|chardonnay doc doss 2023|??|w|chardonnay|??|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
813. W|castelfeder|chardonnay doc doss 2024|??|w|chardonnay|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco
814. W|castelfeder|chardonnay doc doss 2025|??|w|chardonnay|??|??|2025|12.5|doc|leve|frutos do mar, peixes, saladas|seco
815. W|castelfeder|chardonnay doc vigna villa karneid 2025|??|w|chardonnay|??|??|2025|12.5|doc|leve|frutos do mar, peixes, saladas|seco
816. W|castelfeder|chardonnay doss|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
817. W|castelfeder|chardonnay doss 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
818. W|castelfeder|chardonnay igt mont mes dv 2024|??|w|chardonnay|??|??|2024|12.5|igt|leve|frutos do mar, peixes, saladas|seco
819. W|castelfeder|chardonnay igt mont mes dv 2025|??|w|chardonnay|??|??|2025|12.5|igt|leve|frutos do mar, peixes, saladas|seco
820. W|castelfeder|chardonnay kreuzweg 2021|??|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
821. W|castelfeder|chardonnay riserva burgum novum 2019|??|w|chardonnay|??|??|2019|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
822. W|castelfeder|chardonnay riserva burgum novum 2021|??|w|chardonnay|??|??|2021|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
823. W|castelfeder|chardonnay riserva doc burgum novum 2021|??|w|chardonnay|??|??|2021|12.5|doc|leve|frutos do mar, peixes, saladas|seco
824. W|castelfeder|chardonnay riserva doc burgum novum 2022|??|w|chardonnay|??|??|2022|12.5|doc|leve|frutos do mar, peixes, saladas|seco
825. W|castelfeder|chardonnay riserva doc burgum novum 2022|??|w|chardonnay|??|??|2022|12.5|doc|leve|frutos do mar, peixes, saladas|seco|=824
826. W|castelfeder cuvee bianco|igt mont mes dv 2023|??|r|??|??|??|2023|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
827. W|castelfeder cuvee bianco|igt mont mes dv 2024|??|r|??|??|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
828. W|castelfeder cuvee bianco|igt mont mes dv 2025|??|r|??|??|??|2025|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
829. W|castelfeder cuvee|rosso igt mont mes 2022|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
830. W|castelfeder cuvee|rosso igt mont mes 2023|??|r|??|??|??|2023|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
831. W|castelfeder cuvee|rosso mont mes vigneti delle dolomiti igt 2021|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
832. W|castelfeder gewuerztraminer|doc vom lehm 2023|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
833. W|castelfeder gewuerztraminer|doc vom lehm 2024|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
834. W|castelfeder gewuerztraminer|igt mont mes dv 2024|??|r|??|??|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
835. W|castelfeder gewuerztraminer|igt mont mes dv 2025|??|r|??|??|??|2025|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
836. W|castelfeder gewurtztraminer vom lehm|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
837. W|castelfeder|gewurztraminer mont mes mitterberg|??|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
838. W|castelfeder|gewurztraminer vom lehm|??|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
839. W|castelfeder|gewurztraminer vom lehm|??|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=838
840. W|castelfeder|gewurztraminer vom lehm 2022|??|w|gewurztraminer|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
841. W|castelfeder glener|pinot nero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
