W|portugues quinta da lixa aromas das castas|castas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues chamine|chamine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ceremony tawny|porto tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues ceremony tawny 20 anos|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ceremony tawny 20 anos|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=702
W|portugues ceremony|porto tawny 10 anos tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues ceremony|porto tawny 10 anos tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=704
W|portugues ceremony|porto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues ceremony|porto ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues cedro|do noval tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues caves santa marta|porto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues cavalo bravo|branco|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|portugues catedral|dao doc tinto|pt|r|??|dao|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues castelo|do sulco colheita rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues castelo de alandroal regional alentejano|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues castelao e aragonez gans|gans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues caseiro|caseiro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casal pereira|tto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues casal miranda|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues casal mendes|rose fino|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|portugues casal mendes|rose fino|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=718
W|portugues casal mendes|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casal mendes|branco fino|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|portugues casal garcia vinho verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casal garcia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casal garcia sweet|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casal garcia sweet red|red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casal garcia sweet doce|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casal garcia sweet|branco doce|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues casal garcia sweet|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues casal garcia|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casal garcia|branco meio seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues casal garcia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues casal garcia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=731
W|portugues casal das cepas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casal das cepas|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues casal das cepas blen|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casal da seara verde|doc meio seco rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casa santos lima tarambola|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa santos lima sousao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa santos lima regional lisboa gewurztraminer|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa santos lima regional lisboa chardonnay|2017|??|w|chardonnay|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues casa santos lima opaco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa santos lima oak sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues casa relvas barricado|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa ferreirinha vinha grande|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa ferreirinha|especial|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues casa ferreirinha papa figos|figos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa ferreirinha papa figos|figos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=746
W|portugues casa ferreirinha papa figo|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casa ferreirinha esteva|douro tinto cx6|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa ferreirinha esteva|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa ferreirinha esteva|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=750
W|portugues casa ferreirinha calabriga|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa ermelinda freitas sandstone shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa ermelinda de freitas flor de la mar licoroso moscatel de|setubal|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues casa de vilacetinho escolha verde|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa de vilacetinho escolha verde|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casa de vilacetinho avesso grande|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues casa de vilacetinho avesso alvarinho verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa burmester|douro 2022 branco seco|pt|w|??|douro|??|2022|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|portugues casa agricola portugal vinho verde|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues casa agricola portugal vinho verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa agricola portugal trincadeiracastelaoaragones|trincadeiracastelaoaragones|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa agricola portugal syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa agricola portugal|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues casa agricola portugal fernao pires|pires|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues casa agricola portugal aragonescabernet|aragonescabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cartuxa|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues cartuxa evora colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cartuxa evora colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=769
W|portugues cartuxa evora colheita|colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cartuxa ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cartuxa ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=772
W|portugues cartuxa ea|rose seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues cartuxa ea|rose alentejo 6 und|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|portugues cartuxa ea|branco alentejo 12 und|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|portugues cartuxa colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cartuxa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues carmim putos|alentejo seco tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues capricho|do rei syrah tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues capricho|do rei syrah rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues capricho|do rei marselan tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues capricho|do rei branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues capricho|do rei alicante bouschet tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues canto|do pedro reserva vinhas velhas|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues cantanhede|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cantanhede selecao|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues cantanhede selecao|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=787
W|portugues cantanhede|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues cantanhede|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=789
W|portugues cantanhede|rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|portugues cantanhede|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues campista|tinto douro doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues caminhos cruzados titular|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues caminhos cruzados titular|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues calem velhotes tawny|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues calcario3|do principal branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues calamares verde|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues calamares verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues calamares verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=799
W|portugues calamares verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues calamares|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues calamares sweet|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues calamares|rose verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues calamares|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues calamares|branco verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues calamares|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues cadoucos natur|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues cadeado wines mao cheia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cadeado wines mao cheia|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues cadeado wines mao cheia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues cabriz colheita|colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cabeca de toiro|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues cabeca de toiro|toiro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues c w trinco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues burmester touriga|doc douro seco tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues burmester tawny tradicional|douro suave tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|portugues burmester ruby castas tradicional|douro suave tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|portugues burmester|doc douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues burmester 20 anos tawny|suave tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|portugues burmester 10 anos tawny|suave tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
S|=293
W|portugues|branco urbanista|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco tiroliro|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco talabira|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco superior crasto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco seco reserva comporta wines|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues|branco seco reserva comporta wines|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=827
W|portugues|branco seco reguengos siria antao vaz alentejo garrafa|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco seco organico reserva esporao|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues|branco seco casa santos lima arinto fernao pires vital rabo de ovelha e moscatel lisboa|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco regional flor de lisboa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco premium monte do gaio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco portada lote dfj|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco porta 6 verde doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco pintus|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco peninsula de setubal cadeado wines|pt|w|??|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco paulo laureano classico|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco olaria regiao alentejo bag in box|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco mula velha|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco meio seco tiroliro loureiro arinto trajadura vinho verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco meio seco gazela vinho verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco meio seco casal garcia azal loureiro trajadura vinho verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco loureiro quinta de balao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco julia florista|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco guarda rios signatur|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco gigantones verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco frisante meio seco faisao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco flor de crasto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco encostas do minho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco eleicao do enologo paulo laureano|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco ea cartuxa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
X|=37
W|portugues|branco douro crasto|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco douro assobio|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco dona ermelinda doc palmela|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco doce sweet casal garcia arinto azal loureiro vinho verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco doce sweet casal garcia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco doce casal garcia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco deu la deu alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco condes de barcelos|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|portugues|branco colheita esporao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco bico amarelo esporao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco alvarinho deu la deu adega de moncao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco alentejano reserva esporao|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues|branco alentejano reguengos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|branco alandra esporao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues borba vinhas velhas campus|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues borba|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues borba|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bonsventos verde|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bonsventos|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bonsventos fresh|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues bonsventos fresh|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bonsventos|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bons ventos vinho verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bons ventos verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bons ventos|rose fresh|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues bons ventos fresh|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues bons sinais|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bons sinais|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bonde eletrico|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bom juiz|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues bom juiz|alentejo doc|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bojador|branco oferta|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues bis encostas de estremoz|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bis encostas de estremoz|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=886
W|portugues bis|doc encostas est branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bico amarelo vinho verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bico amarelo|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues batente castelao|castelao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues barricas|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues barricado|tinto meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues barricado|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues barricado relvas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues barricado|barricado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues barricado|barricado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=896
W|portugues barquinha|touriga nacional touriga franca tinto roriz e tinta francisca douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues barcelona cabernet sauvignon|reserva|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues bacalhoa serras de azeitao|azeitao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bacalhoa quinta dos quatro ventos|douro gran reserva|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues bacalhoa jp azeitao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bacalhoa jp azeitao syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues bacalhoa jp azeitao|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues bacalhoa jp azeitao|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues bacalhoa jp azeitao|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=905
W|portugues bacalhau|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues azulejo|tinto meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues azulejo|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues azulejo|branco meio seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues azulejo alvarinho|branco verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues azueira az|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues azueira az|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues azueira az|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues aveleda loureiro verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues aveleda alvarinho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues atlantico|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues atlantico alentejoro|tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues assobio|douro tinto quinta das murcas|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues assobio|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues assobio|douro rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|portugues assobio|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues artolas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues arribas|douro colheita tto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues arribas|do douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues areias sado|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues areias sado|tinto seco|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
