W|thomas barton|saintemilion aoc|fr|r|??|bordeaux|saint-emilion|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rose|rose vom spatburgunder qualitatswein 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rose perpetuel nv|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rose magnum whispering angel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rose des croisille 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rose de truffiere 2018|??|p|??|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rose de truffiere 2017|??|p|??|??|??|2017|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rose de truffiere 2017|??|p|??|??|??|2017|12.5|??|medio|saladas, sushi, petiscos|seco|=673
W|rose|rosato matilde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rosato di toscana 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rosa donna fugata rosa 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ronco rosa 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|romeno dracula castellum pinot noir doc|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|romance chateaude berne|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|romance chateau de berne|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|romance chateau berne|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rola douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|rola 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|rola 2022 douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|rola 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rock angel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rocamar blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|robert mondavi woodbridge white zinfandel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rioja bordon|es|p|??|rioja|??|NV|12.5|DOCa|medio|saladas, sushi, petiscos|seco
W|rose|ribeiro santo pe franco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ribeiro santo cheek to cheek 2025 dao|pt|p|??|dao|??|2025|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|ribeiro santo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|des bertrands cotes de provence|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|reservado tierra los andes|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|quinta da rede|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|familiar tannat|??|p|tannat|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|emiliana adobe organico chile|cl|p|??|valle central|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|emiliana adobe chile 6 unidades|cl|p|??|valle central|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|emiliana adobe|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|emiliana adobe|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=700
W|rose|relvas atlantico regional alentejano|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|regional alentejo terras lusas|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|refrescante freesoul|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|redoma 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|redoma|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ravoire fils manon cotes de provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ravoire fils jas des vignes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ramon bilbao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ramilo ramisco 2022 lisboa|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ramilo nativas 2023 lisboa|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ralhete palhete vinhas velhas 2020 alentejo|pt|p|??|alentejo|??|2020|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|quintas de melgaco magnum 1|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quintas de melgaco 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta serra doura reserva trasosmontes|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|quinta nova magnum 1|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta nova douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta nova colheita 2025 douro|pt|p|??|douro|??|2025|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta nova colheita 2024 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta nova 2025 075|??|p|??|??|??|2025|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta nova 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta nova|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta nossa senhora de fatima 2024 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos termos colheita 2022 doc beira interior|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos roques 2020 dao|pt|p|??|dao|??|2020|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos pocos 2023 douro doc|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos pocos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos murcas assobio 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos monteirinhos rosa maria 2017 doc dao|pt|p|??|dao|??|2017|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos castelares touriga nacional 2024 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos castelares touriga nacional 2021 doc douro portugal aromatico seco e refrescante|pt|p|??|douro|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos castelares pinot noir reserva 2021 douro|pt|p|pinot noir|douro|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos castelares pinot noir reserva|??|p|pinot noir|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos castelares pinot noir 2023 douro|pt|p|pinot noir|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos castelares pinot noir 2021 doc douro portugal seco elegante e refrescante|pt|p|pinot noir|douro|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos carvalhais colheita 2022 dao|pt|p|??|dao|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta dos avidagos reserva 2021 douro|pt|p|??|douro|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta do vallado v|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta do sibio|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta do portal 2023 douro doc|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta do poco do lobo reserva 2022 bairrada doc|??|p|??|??|??|2022|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|quinta do piloto reserva setubal|pt|p|??|setubal|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta do paral 2024 alentejo|pt|p|??|alentejo|??|2024|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|quinta do paral 2023 alentejo|pt|p|??|alentejo|??|2023|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|quinta do paral 2020 regional alentejano|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta do paral|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta do mouro erro z alentejo|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|quinta do monte doiro reserva 2016 lisboa|??|p|??|??|??|2016|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|quinta do monte doiro lisboa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta do monte doiro caixa x6 lisboa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta do mondego 2021 dao|pt|p|??|dao|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta do couquinho touriga nacional 2018 douro|pt|p|??|douro|??|2018|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta do cotto 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta do correio|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta do cidro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta do cardo 2023 doc beira interior|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta desantana 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de ventozelo 2019 douro|pt|p|??|douro|??|2019|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta de sao sebastiao dona aninhas reserva 2019 lisboa|??|p|??|??|??|2019|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|quinta de sao sebastiao dona aninhas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de santiago 2022 vinhos verdes|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de santiago 2021 vinhos verdes|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de santa teresa 2022 regional minho|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de santa cristina 2024 vinhos verdes|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de saes 2023 dao|pt|p|??|dao|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta de monforte superior padeiro 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de monforte padeiro 2022 vinhos verdes|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de monforte 2022 vinhos verdes|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de lemos na mouche 2021 dao|pt|p|??|dao|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta de lemos 2022 dao|pt|p|??|dao|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta de lemos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de la rosa douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta de cidro 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta de chocapalha reserva 2022 lisboa|??|p|??|??|??|2022|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|quinta de chocapalha mar da palha 2022 lisboa|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de carapecos espadeiro 2024 vinhos verdes|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de camarate 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de bons ventos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de arcosso pinot noir 2023 trasosmontes|??|p|pinot noir|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de arcosso pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de arcosso bastardo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de arcosso 2024 trasosmontes|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta de alcube ligeiro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta das marias 2023 dao doc|pt|p|??|dao|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta das cerejeiras 2023 lisboa|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta das cerejeiras 2019 lisboa|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta das bageiras pai abel bairrada|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta damares vinhos verdes doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da vacaria touriga nacional magnum 2022 1 douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da vacaria tinto cao 2024 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da vacaria magnum 2024 1 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da vacaria 2024 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da tor|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da romaneira 2022 douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da rede reserva 2024 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da pedra escrita 2022 doc douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da neve rosa da neve|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da neve rosa da neve|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=797
W|rose|quinta da giesta 2024 dao|pt|p|??|dao|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da gaivosa rosa celeste 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da gaivosa rosa celeste|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da gaivosa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da fonte souto 2023 alentejo|pt|p|??|alentejo|??|2023|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|quinta da falorca 2018 dao|pt|p|??|dao|??|2018|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da espiga|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da espiga|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=805
W|rose|quinta da devesa douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta da calcada|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da boa esperanca 2024 lisboa|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da boa esperanca 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da biaia 750 mourisco 2019 beira interior|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta da bageiras reserva|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|quinta da alorna touriga nacional 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta boa esperanca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta alta qalt touriga francesa 2022 doc douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quinta 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quinta 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco|=816
W|rose|quanta terra wild|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quanta terra phenomena pinot noir 2017 douro|pt|p|pinot noir|douro|??|2017|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|quanta terra phenomena 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|quanta terra phenomena|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|qtacidro 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|qta da alorna 75|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|qm 2024 vinhos verdes|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|qalt douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|punto limite patagonia malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|punto limite malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|punctum 99 rosas rose edicao especial e limitada|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pt gigantones verde doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|provenance du bourry|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|protos p rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|procura 2020 regional alentejano|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|principal tete de cuvee pinot noir 2016 bairrada|??|p|pinot noir|??|??|2016|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|principal tete de cuvee 2016 bairrada|??|p|??|??|??|2016|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|principal tete de cuvee 2016|??|p|??|??|??|2016|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|principal tete de cuvee 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|primado 2021 dao|pt|p|??|dao|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|pretexto 2022 dao|pt|p|??|dao|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|prestige cotes de provence minuty|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|premier rendez vous cinsault|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|preco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pousio selection 2024 alentejo|pt|p|??|alentejo|??|2024|12.5|DO|medio|saladas, sushi, petiscos|seco
X
X|=843
X|=843
X|=843
W|rose|portugues vinho verde casal garcia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues vinha do torrao casa ermelinda freitas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues vinha do torrao blend casa ermelinda freitas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues vila nova|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues vila nova|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=850
W|rose|portugues verde doc moura basto gratis|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues verde doc calamares|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues topo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
S|=486
W|rose|portugues terra do aldeano meio seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues tapada das lebres premium alentejano|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues syrah aragonez ciconia|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues synfonia doc beira interior|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues sao miguel do sul|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues sao goncalo vinho verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues santa vitoria versatil|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues salino colheita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues salino|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues salino|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=864
W|rose|portugues reserva asterisco jose maria da fonseca|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|portugues regional lisboa leve quinta de bons ventos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues quinta sao sebastiao rare|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
X|=843
X|=843
W|rose|portugues quinta de bons ventos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues quinta de bons ventos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=871
W|rose|portugues quinta da mariposa dao doc|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portugues quinta da espiga|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues quadrante|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
X|=843
W|rose|portugues portas do sol|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues portao 9|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues porta 6 regional lisboa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues poento blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues pitch algarve|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues pedra cancela dao doc|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portugues pauliteiros|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues pardalito verde doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues papa figos douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portugues papa figos douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco|=885
W|rose|portugues opta dao|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portugues monte velho|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues monte da ravasqueira selecao do enologo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues monte da ravasqueira selecao do enologo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=889
W|rose|portugues mini mateus|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues meio seco tiroliro vinho verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues mateus|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues maria bonita nostalgia doc verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues joya|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
X|=843
W|rose|portugues j m f vida portuguesa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues j m f vida portuguesa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=897
W|rose|portugues j m f primum|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues importado assobio douro esporao|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portugues importado assobio douro esporao|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco|=900
W|rose|portugues icaro blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues herdade do moinho selecao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues herdade das albernoas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues grandes origens herdade grande|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues galodouro regional lisboa|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portugues fonte da galega portugal leve refrescante e frutado ideal para o verao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues flor das tecedeiras|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues fiuza cabernet sauvignon touriga nacional|??|p|cabernet sauvignon|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues fiuza cabernet sauvignon touriga nacional|??|p|cabernet sauvignon|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=909
W|rose|portugues faisao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues faena vinho verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues esporao pe|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
