1. W|jeanneret|big fine girl riesling|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
680. W|jeanyves|peron i vicini dolcetto red|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
681. W|jeanyves|peron i vicini favorita|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
682. W|jeanyves|peron i vicini favorita 2020 savoie france|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
683. W|jeanyves|peron i vicini favorita|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
684. W|jeanyves|peron i vicini favorita|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
685. W|jeanyves|peron i vicini favorita|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=684
686. W|jeanyves|peron i vicini favorita|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=684
687. W|jeanyves|peron i vicini favorita|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
688. W|jeanyves|peron i vicini grignolino|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
689. W|jeanyves|peron i vicini moscato|??|r|moscato|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
690. W|jeanyves|peron i vicini moscato|??|r|moscato|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=689
691. W|jeanyves|peron i vicini moscato 2020 savoie france|??|r|moscato|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
692. W|jeanyves|peron i vicini moscato|??|r|moscato|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
693. W|jeanyves|peron i vicini moscato|??|r|moscato|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
694. W|jeanyves|peron i vicini moscato|??|r|moscato|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=693
695. W|jeanyves|peron i vicini moscato|??|r|moscato|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=693
696. W|jeanyves|peron i vicini moscato maceration|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
697. W|jeanyves|peron i vicini moscato white|??|w|moscato|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
698. W|jeanyves|peron i vicini nebbiolo cee|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
699. W|jeanyves|peron i vicini reserve|??|r|??|??|??|NV|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
700. W|jeanyves|peron i vicini reserve vin cee red nv|??|r|??|??|??|NV|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
701. W|jeanyves|peron la grand journee 2020 savoie france|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
702. W|jeanyves|peron la grande journee|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
703. W|jeanyves|peron la grande journee|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
704. W|jeanyves|peron la grande journee white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
705. W|jeanyves|peron la maison rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
706. W|jeanyves|peron la maison rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
707. W|jeanyves|peron la maison rouge 2019 savoie france|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
708. W|jeanyves|peron la maison rouge 2020 savoie france|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
709. W|jeanyves|peron la pache savoie rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
710. W|jeanyves|peron la petit robe blanc 2020 savoie france|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
711. W|jeanyves|peron la petit robe blanc 2022 savoie france|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
712. W|jeanyves|peron la petite robe|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
713. W|jeanyves|peron la petite robe|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
714. W|jeanyves|peron la petite robe|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
715. W|jeanyves|peron la petite robe|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=714
716. W|jeanyves|peron la petite robe blanc|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
717. W|jeanyves|peron la petite robe savoie white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
718. W|jeanyves|peron la petite robe white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
719. W|jeanyves|peron le pache 2022 savoie france|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
720. W|jeanyves|peron le pas de lours|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
721. W|jeanyves|peron le pas de lours red|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
722. W|jeanyves|peron les barrieux|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
723. W|jeanyves|peron les barrieux|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
724. W|jeanyves|peron les barrieux|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=723
725. W|jeanyves|peron les barrieux blanc 2020 savoie france|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
726. W|jeanyves|peron les barrieux vdf white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
727. W|jeanyves|peron les illets|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
728. W|jeanyves|peron les oeillets|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
729. W|jeanyves|peron les oeillets|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
730. W|jeanyves|peron les oeillets|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
731. W|jeanyves|peron les oeillets|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=730
732. W|jeanyves|peron les oeillets|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
733. W|jeanyves|peron les oeillets amphore vdf white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
734. W|jeanyves|peron les oeillets blanc 2020 savoie france|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
735. W|jeanyves|peron pierra menta|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
736. X
737. W|jeanyves|peron vers la maison rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
738. W|jeanyves|peron vers la maison rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=737
739. W|jeanyves|peron vers la maison rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=737
740. W|jeanyves|peron vers la maison rouge magnum|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
741. W|jeanyves|peron vin de lies|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
742. W|jeaunaux|robin champagne brut nature blanc de blancs les marnes blanches|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
743. W|jeaunaux|robin champagne brut nature fil de brume|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
744. W|jeaunaux|robin champagne brut nature fil de brume magnum astuccio|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
745. W|jeaunaux|robin champagne eclats de meuliere|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
746. W|jeaunaux|robin champagne extra brut eclats de meuliere|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
747. W|jeaunaux|robin champagne extra brut le talus de saint prix|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
748. W|jeaunaux|robin champagne extra brut le talus de saint prix|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut|=747
749. W|jeaunaux|robin champagne fil de brume brut nature|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
750. W|jeaunaux|robin champagne le talus de saint prix extra brut|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
751. W|jeaunaux|robin champagne rose de saignee extra brut|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|extra brut
752. W|jeaunaux|robin eclats de meuliere brut nature nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
753. W|jeaunaux|robin eclats de meuliere extra brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
754. W|jeaunaux|robin les talus de saint prix champagne aoc extra brut|fr|s|champagne|champagne|??|NV|12|aoc|medio|aperitivos, frutos do mar, sushi|extra brut
755. W|jeaunauxrobin|brut nature eclats de meuliere nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
756. W|jeaunauxrobin|brut nature instinct meunier nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
757. W|jeaunauxrobin|brut nature les grands nots|??|s|??|??|??|2007|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
758. W|jeaunauxrobin|brut nature les grands nots|??|s|??|??|??|2009|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
759. W|jeaunauxrobin|brut nature les marnes blanches nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
760. W|jeaunauxrobin|brut rose le dessous de la cabane|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
761. W|jeaunauxrobin|brut rose le dessous de la cabane nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
762. W|jeaunauxrobin|champagne brut rose le dessous de la cabane nv|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
763. W|jeaunauxrobin|champagne extra brut eclats de meuliere nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
764. W|jeaunauxrobin|champagne extra brut le talus de saint prix nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
765. W|jeaunauxrobin|eclats de meuliere extra brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
766. W|jeaunauxrobin|eclats de meuliere extra brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut|=765
767. X
768. X
769. W|jeaunauxrobin|extra brut le talus de saint prix|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
770. W|jeaunauxrobin|fil de brume brut nature|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
771. X
772. X
773. X
774. W|jeaunauxrobin|instinct meunier|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
775. W|jeaunauxrobin|instinct meunier|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=774
776. W|jeaunauxrobin|instinct meunier brut nature|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
777. X
778. W|jeaunauxrobin le dessous|de la cabane brut rose champagne france nv|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
779. W|jeaunauxrobin le dessous|de la cabane brut rose nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
780. W|jeaunauxrobin le dessous|de la cabane rose brut|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
781. W|jeaunauxrobin le talus|de saint prix extra brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
782. W|jeaunauxrobin le talus|de saint prix extra brut champagne france nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
783. X
784. X
785. W|jeaunauxrobin|les grands nots brut|??|s|??|??|??|2009|12|??|medio|aperitivos, frutos do mar, sushi|brut
786. W|jeaunauxrobin|les grands nots brut|??|s|??|??|??|2010|12|??|medio|aperitivos, frutos do mar, sushi|brut
787. X
788. W|jeaunauxrobin|prestige brut zero fil de brume nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
789. W|jeaunauxrobin|rose de saignee brut|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
790. W|jeaunauxrobin|rose de saignee brut nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
791. W|jeb|dunnuck 100 collectible alejandro bulgheroni cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
792. W|jeb|dunnuck 93 import lingua franca avni chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
793. W|jebacin|rdeci 2021 magnum demeter|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
794. W|jebacin|rdeci 2022 pasji rep demeter|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
795. X
796. X
797. X
798. X
799. X
800. X
801. W|jechtinger|spatburgunder baden vdportswein|de|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
802. X
803. X
804. X
805. W|jed|limited release malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
806. W|jed|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
807. W|jed|malbec|??|r|malbec|??|??|2017|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
808. W|jed|wines malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
809. W|jed|wines torrontes|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
810. X
811. X
812. X
813. X
814. X
815. X
816. X
817. X
818. X
819. W|jeden|tag riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
820. X
821. X
822. X
823. X
824. X
825. X
826. X
827. W|jederzeit|sparkling|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
828. W|jederzeit|sparkling alcoholvrije bubbel champagne of mousserende wijn|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
829. X
830. X
831. X
832. W|jediny|sud gryf|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
833. W|jediny|sud ideal rose|??|p|??|??|??|2018|12.5|??|leve|carnes brancas, saladas, antepastos|seco
834. W|jediny|sud winedalf|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
835. X
836. W|jednicka|mezi cervenymi viny primitivo v degustacnim baleni|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
837. W|jednicka|mezi cervenymi viny primitivo v degustacnim baleni gold|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
838. X
839. X
840. X
841. X
842. X
843. X
844. X
845. X
846. X
847. W|jeena|barbera dasti doc limited edition 2007 cordara|??|r|barbera|??|??|2007|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
848. X
849. X
850. X
851. W|jeeper|blac de blanc grand reserve champagne|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
852. W|jeeper|blanc de blancs grande reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
853. W|jeeper|blanc de blancs grande reserve champagne|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
854. W|jeeper|blanc de blancs grande reserve in exclusieve geschenkverpakking|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
855. W|jeeper|blanc de noir nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
856. W|jeeper|blanc de noirs brut champagne france nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
857. W|jeeper|brut grand rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
858. W|jeeper|brut grand rose champagne kosher nv|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
859. W|jeeper|brut grande cuvee millesime|??|s|??|??|??|2005|12|??|medio|aperitivos, frutos do mar, sushi|brut
860. W|jeeper|brut grande reserve blanc de blancs|??|s|??|??|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
861. W|jeeper|champagne brut blanc de blancs grand reserve champagne|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
862. W|jeeper|champagne gran assemblage brut|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
863. W|jeeper|champagne grand reserve brut rose champagne|fr|p|champagne|champagne|??|NV|12.5|reserve|leve|carnes brancas, saladas, antepastos|seco
864. W|jeeper|champagne grand rose kosher|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
865. W|jeeper|champagne la grande cuvee millesime brut|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
866. W|jeeper|champagne rose|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
867. X
868. X
869. W|jeeper|cuvee grand rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
870. X
871. X
872. W|jeeper|extra brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
873. W|jeeper|extra brut naturelle champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
874. W|jeeper|grand assemblage champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
875. W|jeeper|grand assemblage champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut|=874
876. W|jeeper|grand reserve blan champagne|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
877. W|jeeper|grand reserve blanc de blanc nv|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
878. W|jeeper|grand reserve blanc de blancs extra brut champagne france nv|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|extra brut
879. W|jeeper|grand rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
880. W|jeeper|grand rose nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
881. W|jeeper|grande cuvee vintage|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
882. W|jeeper|grande cuvee vintage giftbox|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
883. W|jeeper|grande reserve blanc de blancs|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
884. W|jeeper|grande reserve blanc de blancs|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=883
885. W|jeeper|grande reserve brut|??|s|??|??|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
886. W|jeeper|grande reserve chardonnay brut champagne france nv|fr|s|chardonnay|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
887. W|jeeper|grande reserve chardonnay brut champagne france nv|fr|s|chardonnay|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut|=886
888. W|jeeper|premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
889. W|jeeper|premier cru brut champagne france nv|fr|s|champagne|champagne|??|NV|12|premier cru|medio|aperitivos, frutos do mar, sushi|brut
890. W|jeeper|xxi blanc de blancs brut champagne france nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
891. W|jeeper|xxi blanc de blancs brut champagne france nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut|=890
892. W|jeeper|xxi blanc de blancs brut champagne france nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut|=890
893. W|jeeper|xxi blanc de blancs brut champagne kosher|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
894. W|jeeper|xxi luxe rose brut champagne kosher|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
895. W|jeeper|xxi rose brut champagne france nv|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
896. X
897. X
898. X
899. X
900. X
901. X
902. X
903. X
904. X
905. X
906. W|jeff|carrel 2021 les darons|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
907. W|jeff|carrel a vue de nez cabernet franc|??|r|cabernet franc|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
908. W|jeff|carrel a vue de nez no added sulphur 2024 france|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
909. X
910. W|jeff|carrel aop fitou rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
911. W|jeff|carrel aop fitou rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=910
912. W|jeff|carrel aop fitou rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=910
913. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
914. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=913
915. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=913
916. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
917. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=916
918. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=916
919. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=916
920. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
921. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=920
922. W|jeff|carrel aop languedoc rouge|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=920
923. W|jeff|carrel aop maury rouge|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
924. W|jeff|carrel aop maury rouge|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=923
925. W|jeff|carrel aop maury rouge|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=923
926. W|jeff|carrel aop saintchinian rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
927. W|jeff|carrel aop saintchinian rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=926
928. W|jeff|carrel aop saintchinian rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=926
929. W|jeff|carrel dans lair du temps chardonnay 2024 france|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
930. W|jeff|carrel dans lair du temps chenin blanc|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
931. W|jeff|carrel dans lair du temps chenin blanc vdf|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
932. W|jeff|carrel dans lair du temps pinot noir 2024 france|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
933. W|jeff|carrel dans lair du temps sauvignon blanc 2022 france|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
934. W|jeff|carrel domaine dansignan les grenadines 2023 france|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
935. W|jeff|carrel en coteaux pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
936. W|jeff|carrel en coteaux pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=935
937. W|jeff|carrel en coteaux pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
938. W|jeff|carrel en coteaux pinot noir|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
939. W|jeff|carrel en coteaux pinot noir igp pays doc france|??|r|pinot noir|??|??|2021|13.5|igp|medio|carnes vermelhas, cordeiro, queijos curados|seco
940. W|jeff|carrel en coteaux pinot noir vin de france|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
941. X
942. X
943. W|jeff|carrel grenache under my skin 2021 france|??|r|grenache|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
944. W|jeff|carrel igp cotes catalanes blanc|??|w|??|??|??|2018|12.5|igp|medio|peixes, frutos do mar, saladas|seco
945. W|jeff|carrel igp cotes catalanes blanc|??|w|??|??|??|2018|12.5|igp|medio|peixes, frutos do mar, saladas|seco|=944
