W|ghost|block cabernet sauvignon single vineyard napa valley|us|r|cabernet sauvignon|california|napa valley|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=656
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=661
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=664
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=666
W|giacomo|conterno barbera dalba cerretta|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba francia|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna cerretta|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna cerretta|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna cerretta|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=680
W|giacomo|conterno barbera dalba vigna cerretta|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=680
W|giacomo|conterno barbera dalba vigna cerretta|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna cerretta|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=683
W|giacomo|conterno barbera dalba vigna cerretta|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=683
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=688
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=688
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=688
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=688
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=688
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=694
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=694
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=697
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=697
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=697
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=701
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=701
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=701
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=705
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=705
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=705
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=705
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=705
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=705
W|giacomo|conterno barbera dalba vigna francia|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera francia|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera francia|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=713
W|giacomo|conterno barbera francia monforte|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera vigna francia|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1937|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1945|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1955|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=722
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=724
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=726
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo|it|r|??|barolo|barolo|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=735
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=735
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=739
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=739
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=739
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=739
W|giacomo|conterno barolo arione cassa in legno|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=745
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=745
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=748
W|giacomo|conterno barolo arione 3 litri doppio|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione docg monforte|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=762
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=762
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=762
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=762
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=762
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=762
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=762
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=762
W|giacomo|conterno barolo arione 3 litri doppio|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=779
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=782
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=782
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=782
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=788
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=790
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=790
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=793
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=795
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=797
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia cassa in legno|it|r|??|barolo|barolo|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=803
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=803
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=806
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=806
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=809
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=809
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=812
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=814
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=814
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia eksklusiv vin|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=820
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=823
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=823
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=823
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia double|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia double|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=823
W|giacomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=827
W|giacomo|conterno barolo cascina francia preorder|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=836
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=840
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=840
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=840
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=840
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=845
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=845
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=845
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=845
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=845
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=845
W|giacomo|conterno barolo cerretta cassa legno|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=853
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=853
W|giacomo|conterno barolo cerretta cassa legno|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta cassa legno|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=629
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=629
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=629
