W|vinho|tinto escudo rojo gran reserva carmernere|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco malbec susana balbo altamira 2018 argentino|??|r|malbec|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco malbec susana balbo altamira 2018 argentino|??|r|malbec|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??|=636
W|vinho|tinto benmarco malbec susana balbo altamira 2017|??|r|malbec|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco malbec susana balbo altamira 2017|??|r|malbec|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??|=638
W|vinho|tinto benmarco malbec susana balbo altamira 2016|??|r|malbec|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco malbec susana balbo altamira 2016|??|r|malbec|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??|=640
W|vinho|tinto benmarco malbec susana balbo altamira 2014|??|r|malbec|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco malbec susana balbo altamira 2014|??|r|malbec|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??|=642
W|vinho|tinto benmarco expressivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco expresivo malbec susana balbo mendoza 2019|ar|r|malbec|mendoza|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco expresivo malbec susana balbo mendoza 2018|ar|r|malbec|mendoza|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco cabernet sauvignon susana balbo mendoza 2017|ar|r|cabernet sauvignon|mendoza|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco cabernet sauvignon susana balbo mendoza 2017|ar|r|cabernet sauvignon|mendoza|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??|=647
W|vinho|tinto benmarco cabernet sauvignon susana balbo mendoza 2016|ar|r|cabernet sauvignon|mendoza|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco cabernet sauvignon susana balbo mendoza 2016|ar|r|cabernet sauvignon|mendoza|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??|=649
W|vinho|tinto benmarco cabernet sauvignon susana balbo mendoza 2015 93 pontos|ar|r|cabernet sauvignon|mendoza|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto benmarco cabernet sauvignon susana balbo mendoza 2015 93 pontos|ar|r|cabernet sauvignon|mendoza|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??|=651
W|vinho|tinto bemberg pionero blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto bemberg la linterna pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto bemberg la linterna malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto bemberg la linterna cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto bel colle barbaresco docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto beaujolais villages 2020|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto beaujolais villages 2020|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=658
W|vinho|tinto beaujolais villages 2020|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=658
W|vinho|tinto beaujolais rouge 2020|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batuta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo langhe doc rosso|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo dolcetto dalba doc bricco vergne|??|r|dolcetto|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto batasiolo dolcetto dalba doc bricco vergne|??|r|dolcetto|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|doce|=664
W|vinho|tinto batasiolo dolcetto dalba doc|??|r|dolcetto|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto batasiolo barolo riserva docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo barolo docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo barolo cerequio docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo barolo bussia vigneto bofani docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo barolo brunate docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo barbera dalba doc sovrana|??|r|barbera|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo barbera dalba doc|??|r|barbera|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo barbaresco docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto batasiolo barbaresco docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=674
W|vinho|tinto barricado portugal|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barricado 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barrel reserve cabernet sauvignon cornellana|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barrel reserve cabernet sauvignon cornellana|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=678
W|vinho|tinto barquinha reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barquinha reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=680
W|vinho|tinto baron darignac medium sweet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto baron darignac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto baron darignac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=683
W|vinho|tinto barolo fontanafredda doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barolo docg 2020|??|r|??|??|??|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barolo docg 2019|??|r|??|??|??|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barbi brunello di montalcino docg|it|r|??|toscana|montalcino|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barbera descomplicados|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto barbera dalba doc 2023|??|r|barbera|??|??|2023|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto bageiras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
X
W|vinho|tinto bacalhoa syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto aveleda 12 knights|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto australiano yellow tail shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto australiano yellow tail shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=696
W|vinho|tinto australiano yellow tail cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto australiano yellow tail cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=698
W|vinho|tinto australiano the accomplice shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto australiano jacobs creek shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto aurora varietal pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto aurora varietal pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=702
W|vinho|tinto aurora varietal pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=702
W|vinho|tinto atractivo carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto atractivo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ataya premium blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto assinatura blend 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto artolas black moustache|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto arteviva sinonimos marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto arrogant frog tuttifrutti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto arrocal crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto arroba 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto arrivo 31 pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto arrivo 31 pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=714
W|vinho|tinto argentino viejo vinedo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino viejo vinedo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino tucumen reserva malbec 2018|??|r|malbec|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino trumpeter malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino trumpeter malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=719
W|vinho|tinto argentino susana balbo tradicion red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino susana balbo tradicion malbec 2019|??|r|malbec|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino susana balbo signature malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino susana balbo signature cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino susana balbo signature brioso corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino susana balbo signature brioso 2019 lujan de cuyo agrelo mendoza|ar|r|??|mendoza|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino susana balbo anubis malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino sottano reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino sottano reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=728
W|vinho|tinto argentino sottano malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino sottano malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=730
W|vinho|tinto argentino siempre tengo un plan b malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino saint felicien bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino roca bonarda sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino pristino malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino pristino bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino pispi blend de tintas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino pispi blend de tintas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=737
W|vinho|tinto argentino novecento cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton sexy fish cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton privado family blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton porteno malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton perdriel series malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton malbec doc|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton malbec doc|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=746
W|vinho|tinto argentino norton gernot blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton altura pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino norton altura malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino nicola catena bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino nicola catena bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=751
W|vinho|tinto argentino new roads|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino mosquita muerta malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino mosquita muerta blend de tintas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino minimalista malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino malbec gestos|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino malbec blend de extremos el esteco|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino los arcos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino las estancas red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino la espera equilibrium red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino la espera equilibrium malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino judas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino judas blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino dona paula estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino dona paula estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino dona paula altitude series 1350|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino dona paula altitude series 1100|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino cordero con piel de lobo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino combo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino civit 757 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino chac chac malbec vina las perdices|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino chac chac cabernet franc vina las perdices|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino catena malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino cadus malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino cabernet sauvignon alfredo roca|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino black blend 4000 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino benjamin cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino barrabas cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino aqui malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alma negra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alma negra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=781
W|vinho|tinto argentino alfredo roca pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alfredo roca pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=783
W|vinho|tinto argentino alfredo roca pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=783
W|vinho|tinto argentino alfredo roca merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alfredo roca merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=786
W|vinho|tinto argentino alfredo roca malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alfredo roca malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=788
W|vinho|tinto argentino alfredo roca malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=788
W|vinho|tinto argentino alfredo roca malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=788
W|vinho|tinto argentino alfredo roca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alfredo roca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=792
W|vinho|tinto argentino alfredo roca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=792
W|vinho|tinto argentino alfredo roca alma inquieta blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alamos malbec catena zapata|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alamos malbec catena zapata|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=796
W|vinho|tinto argentino alamos malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino alamos malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=798
W|vinho|tinto argentino alamos bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentino abrasado blend de parcelas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentina rutini blend|ar|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentina riccitelli this another lovely malbec|ar|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentina riccitelli hey malbec|ar|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto argentina malbec miamor|ar|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto aragones da peceguina 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto aradon tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto appassimento collezione pruviniano domini veneti igt passito|??|d|??|??|??|NV|12|igt|encorpado|sobremesas; queijos azuis|doce
W|vinho|tinto apaltagua gran verano carmenere|??|r|carmenere|colchagua valley|apalta|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto apalta reserva cabernet sauvignon|cl|r|cabernet sauvignon|colchagua valley|apalta|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto aoc ronan by clinet bordeaux merlot|fr|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto anubis reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto anthese aop bordeaux superieur franca|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto angelica zapata malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto angelica zapata malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=814
W|vinho|tinto angelica zapata malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=814
W|vinho|tinto angelica zapata cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto angelica zapata cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto angelica zapata cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=818
W|vinho|tinto angaro malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto andeluna raices cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto andeluna altitud reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto andeluna 1300 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amnesia toscana igt old vines|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amitie pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amitie pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=825
W|vinho|tinto amitie oak barrel montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amitie colheitas tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amitie colheitas shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amitie colheitas cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto americano wente southern hills cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto americano sutter home cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto americano opus ones napa valley|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto americano coppola rosso e bianco shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto americano cloud break black cloud red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amarone della valpolicella docg 2021|??|r|??|??|??|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amarone della valpolicella docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amarone della valpolicella classico le preare|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amarone classico i castei|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amancay malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto amancay gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto altocedro la consulta select blend 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto altano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto altano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=843
W|vinho|tinto almejo classico merlot bebber|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto almejo classico cabernet sauvignon bebber|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto almaviva epu chile blend|cl|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto almaviva epu 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto almaviva epu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto almaviva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
