W|portugues 2 flores|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo|valle de uco cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo val uco sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo val uco pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo val uco merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo val uco malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo val uco chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo val uco cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo sauvignon blanc dulce natural|natural|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo sauvignon blanc de salentein|salentein|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo sauvignon blanc|branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo sauvignon blanc|2023|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=672
W|portillo salentein malbec|2020|??|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo|rose malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portillo|rose malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=675
W|portillo pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=677
W|portillo pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=679
W|portillo pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=679
W|portillo pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=679
W|portillo merlot|2023|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=684
W|portillo merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=684
W|portillo malbec|rose 2023|??|p|malbec|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|portillo malbec|2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo malbec|2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=690
W|portillo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=690
W|portillo chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portil de lobos|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portigues quinta da bacalhoa cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portia roble|do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portia roble|do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=699
W|portia ribeira del duero|duero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portia crianza|do|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portia crianza|do|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=702
W|portgues vinhas del rei red regional|regional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porteno torrontes|torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porteno torrontes|torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=705
W|porteno torrontes|torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=705
W|porteno|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|porteno|suave branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|porteno malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porteno malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porteno malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=711
W|porteno malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=711
W|porteno malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=711
W|porteno chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porteno chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porteno chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=716
W|porteno chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=716
W|porteno cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porteno cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=719
W|porteno cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=719
W|porteno cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=719
W|porteno|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|porteira|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|porteira|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas herdade trincadeira|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas herdade touriga nacional|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas herdade bouchet|tinto 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas herdade alvarinho 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas herdade 3 castas|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas herdade 3 castas|rose 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portas herdade 3 castas|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portas herdade|2019 tinto bib|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas|do sol tto 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas|do sol tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portas|do sol rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portas|do sol rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=736
W|portas|do sol branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portas|do sol branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portas|do sol branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=739
W|portal vintage|2020 0|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal vintage|2007 0|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal touriga nacional|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal tinta roriz|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal tinta barroca|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portal|branco 0|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portal pink 0|0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portal lbv|2014 0|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal grande|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portal grande|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portal fine|white 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portal fine tawny 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal fine ruby 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal extra|dry white 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portal|do sol tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|portal|do sol tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal|do sol rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|portal|do fidalgo alvarinho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal de s braz private collection|collection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal da calcada verde|doc|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portal da calcada loureiro alvarinho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portal da calcada brancoverde|reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portal da aguia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal colheita|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal colheita|rose 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portal colheita|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portal auru 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal 6 barrels tawny|0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portal 40 anos tawny 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal 30 anos tawny 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal 29 grapes|0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portal 20 anos tawny 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal 10 anos tawny 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portal 10 anos|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portada|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portada lote dfj tt|tt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portada lote dfj|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portada lote dfj|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portada lote dfj|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=779
W|portada lote dfj|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portada lote dfj|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portada lote dfj|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portada lote dfj|dfj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portada lote dfj|dfj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=784
W|porta varietales chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porta varietales carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta varietales cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta sauvignon blanc|branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porta|shiraz|??|r|shiraz|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta|sauvignon blanc branco|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|porta|rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|porta|pinot noir tinto|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta|merlot tinto|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta|malbec tinto|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta|chardonnay branco|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|porta|carmenere tinto|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta|cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta ravessa|special edition branco 0|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|porta merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta|carmenere tinto|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=797
W|porta|cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=798
W|porta gr res sing vin cab|cab|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta gr res chard bco|bco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta dos cavaleiros|tinto 1985|??|s|chardonnay, pinot noir|??|??|1985|12|Reserva|medio|aperitivos, frutos do mar, canapes|brut
W|porta dos cavaleiros|branco 1995|??|s|chardonnay, pinot noir|??|??|1995|12|Reserva|medio|aperitivos, frutos do mar, canapes|brut
W|porta dos cavaleiros|branco 1984|??|s|chardonnay, pinot noir|??|??|1984|12|Reserva|medio|aperitivos, frutos do mar, canapes|brut
W|porta|do casal tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta de teira|tinto 2011|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta de cavaleiros|tinto 2019|??|s|chardonnay, pinot noir|??|??|2019|12|Reserva|medio|aperitivos, frutos do mar, canapes|brut
W|porta da ravessa|tinto doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|rose doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|porta da ravessa|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|branco doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porta da ravessa|branco alentejo special edition|pt|w|??|alentejo|??|NV|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|porta da ravessa|alentejo vinhas velhas tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|alentejo special edition tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|alentejo special edition branco|pt|w|??|alentejo|??|NV|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|porta da ravessa|alentejo reserva tinto|pt|r|??|alentejo|??|NV|14.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|alentejo reserva branco|pt|w|??|alentejo|??|NV|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|porta da ravessa|alentejo grande escolha tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|alentejo doc tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|porta da ravessa|ravessa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta cima cabernet sauvigon|sauvigon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6 vinho|rose portugues|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|porta 6 verde|doc 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6 verde|branco portugues|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porta 6 verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porta 6 verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto portugues vidigal wines 6 und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto portugues bag in box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto portugal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto desconto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=838
W|porta 6|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=838
W|porta 6|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=838
W|porta 6|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=838
W|porta 6|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=838
W|porta 6|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=838
W|porta 6|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|porta 6|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=845
W|porta 6|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=845
W|porta 6|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta 6|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=848
W|porta 6|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|porta 6|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=850
W|porta 6 portugues|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6 meio seco|tinto bag in box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6 magnun|magnun|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|branco desconto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porta 6|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porta 6|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=856
W|porta 6|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=856
W|porta 6|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=856
W|porta 6 bco|bco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6 bag in box portugal|portugal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6 bag in box desconto|desconto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6 bag in box desconto|desconto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=862
W|porta 6 bag in box desconto|desconto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=862
W|porta 6|6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porta 6|6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=865
W|porta 6|6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=865
W|port|rotas de portugal seco rose|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|raposeira rp tto 2017|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|quinta de balao alvarinho branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|quinta da aveleda verde rapariga da quinta|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|puro quinta da touriga tto 1x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|p laureano classico rose|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|laureano classico tto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|laureano classico branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|herdade de sao miguel colh selec|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|port|gatao branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porrais signature|doc douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|pormenor|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pormenor|branco 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
S
W|pormenor|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pormenor a de arinto|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porfiado zorzal wines pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porel|premium estate blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porcupine sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porcupine ridge syrah|2023|??|r|syrah|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porcupine ridge sauvignon blanc africa|do sul|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porcupine ridge sauvignon blanc|2023|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|porcupine ridge|rose 2021 boekenhoutskloof|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|porcupine ridge cabernet sauvignon africa|do sul|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porco bravo|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
