W|finca las|moras malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rotondo|chenin blanc seco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca rotondo|clasico quebranta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rotondo|gran reserva blend|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca rotondo|malbeccabernetmerlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rotondo|mosto verde acholado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rotondo|mosto verde torontel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rotondo|patrimonial quebranta vino blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca rotondo|patrimonial rose quebranta|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca sabate|i coca castellroig brut reserva nv|??|s|??|??|??|NV|12|reserva|leve|aperitivos; frutos do mar; canapes|brut
W|finca sabate|i coca castellroig xarello so blanc 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca sabate|i coca corpinnat josep coca brut nature 2019|??|s|??|??|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|finca saltamontes|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca san|blas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca san|carlos malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca san|carlos malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=717
W|finca san|carlos malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=717
W|finca san|carlos malbec bio 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca san|carlos malbec organic|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca san|martin 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin 2020 crianza|??|r|??|??|??|2020|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=724
W|finca san|martin 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=724
W|finca san|martin crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=727
W|finca san|martin crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=727
W|finca san|martin crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=727
W|finca san|martin crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=727
W|finca san|martin crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=727
W|finca san|martin crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=727
W|finca san|martin crianza 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=734
W|finca san|martin crianza 2020|??|r|??|??|??|2020|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza 2020 magnum|??|r|??|??|??|2020|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=738
W|finca san|martin crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=738
W|finca san|martin crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=738
W|finca san|martin crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=738
W|finca san|martin crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=738
W|finca san|martin crianza 2021 magnum|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza doc 2021|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza doc rioja|es|r|??|??|??|NV|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza magnum|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza rioja|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin crianza tempranillo 2020|??|r|??|??|??|2020|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin rioja crianza|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin rioja crianza|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=750
W|finca san|martin rioja crianza 2017|es|r|??|??|??|2017|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca san|martin rioja crianza 2020 torre de ona|es|r|??|??|??|2020|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca sanchez|cozar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|2005 manchuela|??|r|??|??|??|2005|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|aurora 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|aurora bianco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca sandoval|aurora blanco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca sandoval|bobal fundamentalista manchuela 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|bobal manchuela 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|bobal salia manchuela 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|cuvee tns 2008|??|r|??|??|??|2008|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|el fundamentalista manchuela spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|el fundamentalista manchuela spain 2020 case|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|finca sandoval 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|finca sandoval manchuela 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|finca sandoval manchuela spain 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|finca sandoval syrahbobal bot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sandoval|fundamentalista|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|fundamentalista|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=771
W|finca sandoval|fundamentalista|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=771
W|finca sandoval|fundamentalista 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|fundamentalista 2024 castillala mancha|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|fundamentalista blend bot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|fundamentalista manchuela 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|fundamentalista manchuela 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|fundamentalista tinto manchuela spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|manchuela|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|manchuela 2002|??|r|??|??|??|2002|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|manchuela fundamentalista 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|manchuela spain 2020|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|salia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|salia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=784
W|finca sandoval|salia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=784
W|finca sandoval|salia 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|salia 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=787
W|finca sandoval|salia manchuela|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|salia manchuela spain 2020 case|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sandoval|shiraz grenache 2004|??|r|??|??|??|2004|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sandoval|signo bobal 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca santa|bella chardonnay 2023 reserva argentina|ar|w|??|??|??|2023|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca santa|bella chardonnay 2024 winemakers selection|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca santa|bella malbec 2023 reserva argentina|ar|r|??|??|??|2023|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca santa|bella malbec 2024 argentina winemakers selection|ar|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca santa|maria rafael 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca santa|maria roble 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca santa|maria roble valtravieso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca santa|maria vt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca santa|sabina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca savina|viejo sabio malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca savina|viejo sabio petit verdot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca seve|los quemaos 2020 bodegas agil|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sierra|carbon belezos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca silverado|malbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca silverado|malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca silverado|red blend 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca silverado|red blend 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca silverado|white blend 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca sios|sios|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sios|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sios|2021 costers del sio bio|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|2002|??|r|??|??|??|2002|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=815
W|finca sobreno|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=817
W|finca sobreno|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=817
W|finca sobreno|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=817
W|finca sobreno|crianza 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|crianza 2019|??|r|??|??|??|2019|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|crianza 2019|??|r|??|??|??|2019|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=822
W|finca sobreno|crianza do toro|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|crianza do toro rood|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|do toro rouge 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|do toro rouge 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=826
W|finca sobreno|do toro rouge 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=826
W|finca sobreno|do toro rouge 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=826
W|finca sobreno|ecologico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|ildefonso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|ildefonso 2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|ildefonso do toro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|reserva seleccion especial|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=837
W|finca sobreno|roble 3 botellas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca sobreno|seleccion especial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|seleccion especial 2013|??|r|??|??|??|2013|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|seleccion especial 2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|seleccion especial 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|sobreno 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|toro finca ildelfonso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobreno|toro organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sobrenoreserva|sobrenoreserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca sofia|verdejo 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca son|bordils negre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sophenia|altosur 2021 vin de luco valley|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sophenia|altosur cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|altosur malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|altosur malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=853
W|finca sophenia|altosur malbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|anti synthesis 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sophenia|antisynthesis field blend 750 cc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sophenia|antisynthesis field blend of malbec cabernet 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|cabernet sauvignon estate reserve|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|chardonnay altosur gualtallary 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca sophenia|es vino cabernet sauvignon 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|es vino chardonnay 2021|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca sophenia|es vino malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|estate malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|estate reserva malbec 2019 uco valley vin dargentine|ar|r|??|??|??|2019|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|estate reserva malbec 202123|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|estate reserva merlot caja 6u|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca sophenia|estate wine malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|gualtallary estate reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|karma malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|karma malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=871
W|finca sophenia|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|malbec 148 abv|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|malbec altosur 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|malbec altosur gualtallary 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|malbec altosur gualtallary 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|malbec altosur gualtallary 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|malbec altosur gualtallary 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|malbec estate reserve|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|sauvignon blanc tardio 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca sophenia|synthesis cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|synthesis cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=882
W|finca sophenia|synthesis cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=882
W|finca sophenia|synthesis malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|synthesis malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=885
W|finca sophenia|synthesis malbec gualtallary 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|synthesis malbec gualtallary 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=887
W|finca sophenia|synthesis malbec gualtallary 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=887
W|finca sophenia|synthesis sauvignon blanc 2019|??|w|??|??|??|2019|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca sophenia|synthesis the blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sophenia|synthesis the blend malbec cabernet sauvignon merlot 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca sophenia|tardio caja 6u|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sophenia|torrontes altosur gualtallary 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca sophenia|tupungato reserve malbec|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|2021 paraje altamira chardonnay|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca suarez|2022 malbec paraje altamira|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|2022 semillon paraje altamira|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca suarez|2023 chardonnay paraje altamira|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca suarez|cabernet franc|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=901
W|finca suarez|cabernet sauvignon paraje altamira 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca suarez|chardonnay 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca suarez|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|malbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|malbec paraje altamira 24|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|natural malbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|paraje altamira cabernet sauvignon 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|paraje altamira chardonnay 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca suarez|paraje altamira chardonnay 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco|=911
W|finca suarez|paraje altamira malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca suarez|perico tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca suarez|rocamadre blanco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca suarez|semillon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca teira|teira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca teira|teira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=917
W|finca teira|blanco 2018|??|w|??|??|??|2018|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca teira|formigo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tempranal|blanco allozo 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca tempranal|blanco allozo 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca tempranal|blanco allozo 2024 0|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca tempranal|tempranillo allozo 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tempranal|tempranillo allozo 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terra|bonarda shiraz 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca terra|cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca terra|malbec 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca terra|malbec rosado 2020|??|p|??|??|??|2020|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca terrerazo|terrerazo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|terrerazo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=930
W|finca terrerazo|terrerazo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=930
W|finca terrerazo|2005|??|r|??|??|??|2005|13.5|??|medio|carne vermelha; queijo curado; massas|seco
