1. W|casadei sogno mediterraneo|red wine mediterranean blend toscana italy 2017|pt|r|??|toscana|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|casal mendes|vinho verde blanco x3|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|casal mendes|vinho verde blanco x6|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. W|casal mendes|vinho verde branco|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
664. W|casal mendes|vinho verde doc alianca vinhos de portugal|pt|r|??|vinho verde|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
665. W|casal mendes|vinho verde nv|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|casal mendes|vinho verde nv|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=665
667. W|casal mendes|vinho verde portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
668. W|casal mendes vino|verde|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
669. W|casal miranda|reserva tinto dao doc 2014|pt|r|??|dao|??|2014|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
670. W|casal novo godello|2019|pt|w|godello|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
671. W|casal|romantico|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
672. W|casal santa maria|3000 rosas rose 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
673. W|casal santa maria|365 orange branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
674. W|casal santa maria|arinto chardonnay branco|pt|w|chardonnay, arinto|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
675. W|casal santa maria bruma|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
676. W|casal santa maria|chardonnay branco 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
677. W|casal santa maria colheita tardia|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|casal santa maria colheita tardia|2020 37|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
679. W|casal santa maria|late harvest 2017|pt|d|??|??|??|2017|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
680. W|casal santa maria malvasia|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
681. W|casal santa maria mar de rosas|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
682. W|casal santa maria mar de rosas|rose 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
683. W|casal santa maria pendulo|branco 2023|pt|w|??|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
684. W|casal santa maria|pinot noir 2021|pt|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
685. W|casal santa maria|pinot noir grande reserva 2020|pt|r|pinot noir|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
686. W|casal santa maria|pinot noir grande reserva tinto 2022|pt|r|pinot noir|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
687. W|casal santa maria|pinot noir tinto|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|casal santa maria|pinot noir tinto 2023|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|casal santa maria ramisco|tinto 2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|casal santa maria|reserva branco 2023|pt|w|??|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
691. W|casal santa maria|reserva tinto 2023|pt|r|??|??|??|2023|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
692. W|casal santa maria|reserve red|pt|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
693. W|casal santa maria|reserve white|pt|w|??|??|??|NV|12.5|reserve|leve|frutos do mar, peixes, saladas|seco
694. W|casal santa maria|sauvignon blanc branco 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
695. W|casal santa maria|touriga nacional merlot tinto tinto|pt|r|merlot, touriga nacional, touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
696. W|casal seara|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
697. W|casal sobreiro|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
698. W|casal sobreiro|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
699. W|casal sta maria|3000 rosas 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
700. W|casal sta maria|chardonnay 2022|pt|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
701. W|casal sta maria|chardonnay 2022|pt|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco|=700
702. W|casal sta maria|chardonnay 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
703. W|casal sta maria colheita tardia|2020 37|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
704. W|casal sta maria malvasia|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
705. W|casal sta maria malvasia|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
706. W|casal sta maria malvasia|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=705
707. W|casal sta maria malvasia|branco 2023|pt|w|??|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
708. W|casal sta maria malvasia|white wine|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
709. W|casal sta maria mar de rosas|rose 2022|pt|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
710. W|casal sta maria mar de rosas|rose 2022|pt|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco|=709
711. W|casal sta maria pendulo|branco 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
712. W|casal sta maria pendulo|branco 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco|=711
713. W|casal sta maria|pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
714. W|casal sta maria|pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=713
715. W|casal sta maria|pinot noir tinto 2020|pt|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
716. W|casal sta maria|pinot noir tinto 2023|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
717. W|casal sta maria|reserva branco 2023|pt|w|??|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
718. W|casal sta maria|reserva branco 2023|pt|w|??|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=717
719. W|casal sta maria|reserva lisboa tinto 2019|pt|r|??|lisboa|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
720. W|casal sta maria|reserva tinto 2019|pt|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
721. W|casal sta maria|reserva tinto 2023|pt|r|??|??|??|2023|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
722. W|casal sta maria|reserva tinto 2023|pt|r|??|??|??|2023|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=721
723. W|casal sta maria|sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
724. W|casal sta maria|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
725. W|casal sta maria|sauvignon blanc lisboa branco 2023|pt|w|sauvignon blanc|lisboa|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
726. W|casal thaulero miravigna|sang|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. W|casal thaulero|montepulciano|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
728. W|casal thaulero montepulciano|dabruzzo|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
729. W|casal thaulero oresetto montepulciano|2017|pt|r|montepulciano|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
730. W|casal thaulero p|grigio igt|pt|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
731. W|casal thaulero|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
732. W|casal thaulero|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=731
733. W|casal thaulero|pinot grigio 2018|pt|w|pinot grigio|??|??|2018|12.5|??|leve|frutos do mar, peixes, saladas|seco
734. W|casal thaulero terre di chieti|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
735. W|casal|unido|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
736. W|casal ventozela|vinho alvarinho branco|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
737. W|casal ventozela|vinho verde branco|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
738. W|casal ventozela|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
739. W|casal|versatil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
740. W|casal veve|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
741. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=4
742. W|casalabor|2019 rafael cambra|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
743. W|casalabor rafael|cambra|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
744. W|casalabor rafael|cambra|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=743
745. W|casalabor rafael|cambra|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=743
746. W|casalagallo chianti|classico 2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
747. X
748. W|casalcomignoli barbaresco|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
749. W|casalcomignoli barbaresco 2021case|only|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
750. W|casalcomignoli|barbera dasti 2023case only|pt|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
751. W|casalcomignoli barolo 2020case|only|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
752. W|casalcomignoli carlin de paolo barbaresco|2017 case only|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
753. W|casale|225g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
754. W|casale brondello|primitivo di manduria doc 2022|pt|r|primitivo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
755. W|casale fornace chianti|docg 2021|pt|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
756. W|casaleiro|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
757. W|casaleiro colheita selecionada|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
758. W|casaleiro colheita selecionada|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
759. W|casaleiro|reserve red 2017|pt|r|??|??|??|2017|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
760. W|casaleiro selected|harvest red 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
761. W|casaleo|montepulciano|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
762. W|casaleo|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
763. W|casaleo|sangiovese|pt|r|sangiovese|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
764. W|casaleta caroggio|rosso marche igt senza solfiti aggiunti|pt|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
765. W|casaletti|valpolicella|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
766. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=4
767. W|casalfarneto cimaio|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
768. W|casalfarneto cimaio|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
769. W|casalfarneto cimaio|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=768
770. W|casalfarneto cimaio|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=768
771. W|casalfarneto cimaio marche bianco|igt 2016|pt|r|??|??|??|2016|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
772. W|casalfarneto cimare|rosso piceno doc 2022|pt|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
773. W|casalfarneto collequieto falerio|pecorino|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
774. W|casalfarneto collequieto montepulciano|dabruzzo|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
775. W|casalfarneto collequieto montepulciano dabruzzo|2024 135 sc|pt|r|montepulciano|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
776. W|casalfarneto collequieto|pecorino 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
777. W|casalfarneto collequieto|pecorino 2024 135 sc|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
778. W|casalfarneto collequieto|rosso piceno 2023 135 sc|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
779. W|casalfarneto collequieto|rosso piceno 2024 135 sc|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
780. W|casalfarneto collequieto verdicchio dei castelli di|jesi|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
781. W|casalfarneto collequieto verdicchio dei castelli di jesi|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
782. W|casalfarneto collequieto verdicchio dei castelli di jesi|2024 125 sc|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
783. W|casalfarneto crisio verdicchio dei castelli di jesi|2021 135 ck|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
784. W|casalfarneto crisio verdicchio riserva castelli di jesi|doc 2020|pt|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
785. W|casalfarneto diego verdicchio dei castelli di jesi|classico 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
786. W|casalfarneto fontevecchia|verdicchio|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
787. W|casalfarneto fontevecchia verdicchio castelli di jesi|doc superiore 2024|pt|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
788. W|casalfarneto fontevecchia verdicchio superiore|2024 14 ck|pt|r|??|??|??|2024|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
789. W|casalfarneto ikon passito verdicchio dei castelli di jesi|doc|pt|d|??|??|??|NV|10|doc|encorpado|sobremesas, queijos azuis, foie gras|doce
790. W|casalfarneto marche bianco pao|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
791. W|casalfarneto marche|passerina pjana 2024|pt|w|passerina|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
792. W|casalfarneto otto borghi marche|rosso igt 2021|pt|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
793. W|casalfarneto otto borghi|rosso 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
794. W|casalfarneto otto borghi|rosso 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
795. W|casalfarneto otto borghi|rosso 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=794
796. W|casalfarneto|pecorino 2021|pt|w|??|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
797. W|casalfarneto|rosso piceno cimare 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|casalfarneto|rosso piceno luigi primo 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
799. W|casalfarneto|rosso piceno luigi primo 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=798
800. W|casalfarneto|rosso piceno luigi primo 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=798
801. W|casalfarneto verdicchio castelli di jesi solustro|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
802. W|casalfarneto verdicchio dei castelli di jesi|classico riserva crisio 2021|pt|r|??|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
803. W|casalfarneto verdicchio dei castelli di jesi|classico riserva crisio 2021|pt|r|??|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=802
804. W|casalfarneto verdicchio dei castelli di jesi|classico superiore fontevecchia 2023|pt|r|??|??|??|2023|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
805. W|casalfarneto verdicchio dei castelli di jesi diego|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
806. W|casalfarneto verdicchio dei castelli di jesi diego|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
807. W|casalfarneto verdicchio dei castelli di jesi passito ikon|2017|pt|d|??|??|??|2017|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
808. W|casalfarneto verdicchio dei castelli di jesi passito ikon|2017|pt|d|??|??|??|2017|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=807
809. W|casalfarneto verdicchio dei castelli di jesi passito ikon|2017|pt|d|??|??|??|2017|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=807
810. W|casalfarneto vermouth bianco|2 tempo astucciato|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
811. W|casalfarneto vermouth|rosso 2 tempo astucciato|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
812. W|casalferro|1996 barone ricasoli|pt|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
813. W|casalferro|1997|pt|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
814. W|casalferro|1997 barone ricasoli|pt|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
815. W|casalferro|2015 igt ricasoli toscana italien|pt|r|??|toscana|??|2015|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
816. W|casalferro|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
817. W|casalferro|2018 ricasoli|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
818. W|casalferro barone|ricasoli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
819. W|casalferro barone|ricasoli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=818
820. W|casalferro|ricasoli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
821. W|casalferro|ricasoli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=820
822. W|casalferro|rosso ricasoli 2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
823. W|casalferro|rosso toscano 2019 0|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
824. W|casalforno brunello di montalcino|2013|pt|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
825. W|casalforte amarone|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
826. W|casalforte amarone|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=825
827. W|casalforte amarone della|valpolicella|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
828. W|casalforte amarone della|valpolicella|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=827
829. W|casalforte amarone della|valpolicella|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=827
830. W|casalforte amarone della|valpolicella|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=827
831. W|casalforte amarone della|valpolicella|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=827
832. W|casalforte amarone della|valpolicella|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=827
833. W|casalforte amarone della valpolicella|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
834. W|casalforte amarone della valpolicella|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
835. W|casalforte amarone della valpolicella|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
836. W|casalforte amarone della valpolicella|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=835
837. W|casalforte amarone della valpolicella|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
838. W|casalforte amarone della valpolicella|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=837
839. W|casalforte amarone della valpolicella|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=837
840. W|casalforte amarone della valpolicella|classico docg 2020|pt|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
841. W|casalforte amarone della valpolicella|doc riondo|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
842. W|casalforte amarone della valpolicella|doc riondo|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=841
843. W|casalforte amarone della valpolicella|docg 2019|pt|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
844. W|casalforte amarone della valpolicella riserva|doc riondo|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
845. W|casalforte amarone della valpolicella riserva|doc riondo|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=844
846. W|casalforte amarone della valpollicella|docg 2019|pt|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
847. W|casalforte|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
848. W|casalforte|chardonnay 2024 veneto igt|pt|w|chardonnay|veneto|??|2024|12.5|igt|leve|frutos do mar, peixes, saladas|seco
849. W|casalforte|chardonnay igt 2022|pt|w|chardonnay|??|??|2022|12.5|igt|leve|frutos do mar, peixes, saladas|seco
850. W|casalforte|chardonnay igt riondo|pt|w|chardonnay|??|??|NV|12.5|igt|leve|frutos do mar, peixes, saladas|seco
851. W|casalforte|chardonnay igt riondo|pt|w|chardonnay|??|??|NV|12.5|igt|leve|frutos do mar, peixes, saladas|seco|=850
852. W|casalforte collezione campistorti|rosso veneto 135|pt|r|??|veneto|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
853. W|casalforte collezione campistorti|rosso veneto 14|pt|r|??|veneto|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
854. W|casalforte|corvina|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
855. W|casalforte corvina|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
856. W|casalforte corvina|igt 2020|pt|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
857. W|casalforte corvina|rosso veronese igt 2022|pt|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
858. W|casalforte corvina|veronese|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
859. W|casalforte corvina|veronese|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=858
860. W|casalforte corvina veronese|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
861. W|casalforte corvina veronese|igt 2020|pt|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
862. W|casalforte corvina veronese|igt riondo|pt|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
863. W|casalforte corvina veronese|igt riondo|pt|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=862
864. W|casalforte|garganega|pt|w|garganega|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
865. W|casalforte|garganega|pt|w|garganega|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=864
866. W|casalforte|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
867. W|casalforte|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=866
868. W|casalforte|merlot 2023|pt|r|merlot|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
869. W|casalforte|merlot veneto igt riondo|pt|r|merlot|veneto|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
870. W|casalforte|merlot veneto igt riondo|pt|r|merlot|veneto|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=869
871. W|casalforte|pinot grigio 2024|pt|w|pinot grigio|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
872. W|casalforte|pinot grigio delle venezie doc 2024|pt|w|pinot grigio|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco
873. W|casalforte|pinot grigio delle venezie doc 2024|pt|w|pinot grigio|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco|=872
