1. W|cascina ghercina|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|case antani|20 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|case artichoke heart sundried tomato black olive tapenade|1 gallon 1 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|case azul|gold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|case basse di gianfranco|soldera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|case basse di gianfranco soldera brunello di montalcino|reserva 2001|it|r|??|??|??|2001|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
637. W|case basse di gianfranco soldera brunello di montalcino riserva|docg tuscany italy 1999|it|r|??|??|??|1999|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
638. W|case basse di gianfranco soldera brunello di montalcino riserva|docg tuscany italy 1999|it|r|??|??|??|1999|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=637
639. W|case basse di gianfranco soldera toscana|2017|it|r|??|toscana|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|case basse di gianfranco soldera toscana brunello di montalcino|1993|it|r|??|toscana|??|1993|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|case basse di gianfranco soldera toscana|igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
642. W|case basse di gianfranco soldera toscana|igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=641
643. W|case basse di gianfranco soldera toscana|igt brunello di montalcino docg tuscany italy 2019|it|r|??|toscana|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
644. W|case basse di gianfranco soldera toscana|igt brunello di montalcino docg tuscany italy 2020|it|r|??|toscana|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
645. W|case basse di gianfranco soldera toscana|igt brunello di montalcino docg tuscany italy 2020|it|r|??|toscana|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=644
646. W|case basse di gianfranco soldera toscana|sangiovese|it|r|sangiovese|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|case basse di gianfranco soldera toscana|sangiovese 2018|it|r|sangiovese|toscana|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|case basse di gianfranco soldera toscana|sangiovese 2019|it|r|sangiovese|toscana|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|case basse di gianfranco soldera toscana|sangiovese 2020|it|r|sangiovese|toscana|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|case basse gianfranco soldera brunello di montalcino|docg 2004 075|it|r|??|??|??|2004|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
651. W|case basse gianfranco soldera brunello di montalcino|docg 2004 075|it|r|??|??|??|2004|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=650
652. W|case basse soldera|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|case basse soldera|2020 igp|??|r|??|??|??|2020|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
654. W|case basse soldera brunello di montalcino|1999 1|it|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|case basse soldera brunello di montalcino|2001 1|it|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|case bertinelli parmigiano reggiano|24 month 80 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|case bianche vigna del cuc|brut sparkling wine|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
658. W|case|bianco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|case bittarelli fagiolina del trasimeno bio 500g|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|case bordier butter demi sel salted motte 5kg11lb|11 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|case bordier butter doux unsalted motte 5kg|11 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|case bra duro|dop 15 units|??|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
663. W|case bra tenero|dop 15 units|??|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
664. W|case bresaola|4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
665. W|case brunelli ricotta salata|7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|case buhaiolo|8 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|case butternut squash agnolotti vegan|5 lb case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
668. W|case calcarot|2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
669. W|case calcarot|rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
670. W|case|case 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
671. W|case|case bianco emilia igt 2023|??|r|??|??|??|2023|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
672. W|case|case14235|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
673. W|case|case16552|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|case casebianco|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
675. W|case casebianco|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
676. W|case casebianco|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
677. W|case casebianco|nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|case casebianco|nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=677
679. W|case casebianco|nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=677
680. W|case casolare scamorza|affumicata|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|case casolare scamorza|bianca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
682. W|case castelmagno di montagna|dop 8 units|??|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
683. W|case cate|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
684. W|case centonze|3 liter tin pdo valle del belice 4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
685. W|case centonze|5 liter tin pdo valle del belice 4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
686. W|case ciabatta tribeca 168oz|9 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
687. W|case corini achille|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|case corini achille|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=687
689. W|case corini|barla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|case corini|barla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=689
691. W|case corini barla|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
692. W|case corini barla2nd imbotti|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
693. W|case corini bricco|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
694. W|case corini ciabot del moreto|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
695. W|case corini ciabot del moreto|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=694
696. W|case corini vinaiota|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
697. W|case culatta emilia|12 months cleaned lbs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
698. W|case dalto taurasi|docg 2015|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
699. W|case dama bianca|3 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
700. W|case deal|2012 chateau le destrier st emilion grand cru bordeaux france 6 x magnums|fr|r|??|bordeaux|??|2012|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
701. W|case deal|2012 rioja reserva hinia martinez lacuesta spain 6 x bottles|es|r|??|rioja|??|2012|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
702. W|case deal|2012 vintage champagne brut origine 1er cru jean gimonnet france 6 x bottles|fr|s|??|champagne|??|2012|12|??|leve|aperitivos, frutos do mar, sushi|brut
703. W|case deal|2018 nuits st georges grappes entieres domaine remoriquet burgundy france 6 x bottles|fr|r|??|burgundy|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
704. W|case deal albert des contis petnat|france|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
705. W|case deal alpha zeta terrapieno|pinot grigio italy|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
706. W|case deal bean counter monastrell|spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
707. W|case deal bedoba|saperavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
708. W|case deal bodegas albizu caminante|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
709. W|case deal borgo dei trulli salice|salentino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
710. W|case deal canforrales|organic tempranillo syrah|??|r|syrah, tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
711. W|case deal casa santos lima colossal|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
712. W|case deal casa santos lima colossal|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=711
713. W|case deal chateau du cedre marcel|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
714. W|case deal coto de imaz rioja|gran reserva 2018|es|r|??|rioja|??|2018|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
715. W|case deal domaine de bachellery|pinot noir france 2021|fr|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
716. W|case deal domaine lafage les sardines catalanes|blanc france|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
717. W|case deal domaine lafage|narassa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
718. W|case deal domaine trenel fleurie|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
719. W|case deal domini del leone veneto|rosso|it|r|??|veneto|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
720. W|case deal el bar|malbec argentina|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
721. W|case deal hans baer|pinot noir germany|de|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
722. W|case deal hans baer|riesling trocken germany|de|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
723. W|case deal herdade|do peso sossego alentejano branco|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
724. W|case deal ingata|sauvignon blanc new zealand|nz|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
725. W|case deal j moreau fils|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
726. W|case deal kaiken ultra mendoza|malbec|ar|r|malbec|mendoza|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
727. W|case deal la jara|organic prosecco frizzante|it|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
728. W|case deal la jara|organic sparkling prosecco rose|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
729. W|case deal les rafelieres|sauvignon blanc loire|fr|w|sauvignon blanc|loire|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
730. W|case deal lobuco|malbec uco valley argentina|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
731. W|case deal marchese montefusco|pinot grigio sicilia igt|??|w|pinot grigio|??|??|NV|12.5|igt|leve|frutos do mar, peixes, saladas|seco
732. W|case deal pietro junior|lugana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
733. W|case deal rafael cambra dos|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
734. W|case deal remy pannier jardins de loire chinon|2022|fr|r|??|loire|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
735. W|case deal riff|pinot grigio della venezia italy|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
736. W|case deal saveroni|garganega and trebbiano veneto|it|w|trebbiano, garganega|veneto|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
737. W|case deal saveroni|merlot and corvina veneto|it|r|merlot|veneto|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
738. W|case deal studio by miraval|rose provence|fr|p|??|provence|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
739. W|case deal terre di faiano|nero di troia southern italy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
740. W|case deal vesevo aglianico|campania|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
741. W|case deal vina leirina|albarino godello treixadura spain|es|w|godello, albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
742. W|case demagi gorgonzola dolce latte|3 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
743. W|case demagi la guazza|3 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
744. W|case demagi|pecorino giovane 4 units|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
745. W|case demagi stracchino lb|8 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
746. W|case demagi taleggio pdo brown label lbs|4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
747. W|case di martino trottole 1lb|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
748. W|case di terra marche|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
749. W|case dolce lemon ricotta|4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
750. W|case domenicos artichoke heart sundried tomato black olive tapenade 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
751. W|case domenicos asparagus in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
752. W|case domenicos bevettine 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
753. W|case domenicos bigoli 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
754. W|case domenicos bombolotti 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
755. W|case domenicos broccoli rabe in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
756. W|case domenicos bucatini 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
757. W|case domenicos buccoli 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
758. W|case domenicos butternut squash ravioli square 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
759. W|case domenicos cafona zucchini in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
760. W|case domenicos candela 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
761. W|case domenicos cannolicchi rigati 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
762. W|case domenicos capello di cuoco 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
763. W|case domenicos cavatelli 5lb|case 7 units|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
764. W|case domenicos chestnut agnolotti 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
765. W|case domenicos chestnut ravioli square 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
766. W|case domenicos chestnut tortellini 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
767. W|case domenicos conchiglie giganti jumbo shells 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
768. W|case domenicos conchiglie medium shells 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
769. W|case domenicos conchigliette baby shells 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
770. W|case domenicos conchiglioni large shells 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
771. W|case domenicos culatello|classico 12 months 8 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
772. W|case domenicos estratto tomato paste 5kg|1 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
773. W|case domenicos festonati 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
774. W|case domenicos fettuccine 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
775. W|case domenicos filetti alici marinati boquerones|1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
776. W|case domenicos fregola 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
777. W|case domenicos fusilli 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
778. W|case domenicos fusillo 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
779. W|case domenicos garganelli 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
780. W|case domenicos gemelli 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
781. W|case domenicos gigli 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
782. W|case domenicos gnocchi 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
783. W|case domenicos grilled artichokes in oil 1550g547oz|4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
784. W|case domenicos grilled artichokes in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
785. W|case domenicos grilled mushrooms in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
786. W|case domenicos grilled peppers in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
787. W|case domenicos imported sundried tomatoes 10lb|10 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
788. W|case domenicos la chitarra 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
789. W|case domenicos lemon artichoke tapenade 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
790. W|case domenicos linguine 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
791. W|case domenicos lobster agnolotti 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
792. W|case domenicos lobster ravioli square 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
793. W|case domenicos lobster tortellini 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
794. W|case domenicos mafaldine 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
795. W|case domenicos maple onion confit 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
796. W|case domenicos marcona almond pesto 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
797. W|case domenicos mediterranean olive tapenade 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|case domenicos mezzi rigatoni 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
799. W|case domenicos orecchiette 5lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
800. W|case domenicos paccheri 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
801. W|case domenicos pappardelle 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
802. W|case domenicos penne 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
803. W|case domenicos pici 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
804. W|case domenicos pitted leccino olives in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
805. W|case domenicos porcini mushroom agnolotti 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
806. W|case domenicos porcini mushroom ravioli square 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
807. W|case domenicos porcini mushroom tortellini 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
808. W|case domenicos pumpkin agnolotti 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
809. W|case domenicos pumpkin tortellini 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
810. W|case domenicos riccioli 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
811. W|case domenicos ricotta cavatelli 5lb|case 7 units|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
812. W|case domenicos rigatoni 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
813. W|case domenicos roman artichoke hearts in oil 1550g547oz|4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
814. W|case domenicos roman artichoke hearts in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
815. W|case domenicos roman artichokes with stem in oil 1550g547oz|4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
816. W|case domenicos roman artichokes with stem in oil 2900g10229oz|2 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
817. W|case domenicos roman cafona artichokes in oil 1550g5407oz|4 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
818. W|case domenicos roman cafona artichokes in oil 210g|6 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
819. W|case domenicos spaghetti 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
820. W|case domenicos speck alto adige|doc 5 units|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
821. W|case domenicos spicy mediterranean olive tapenade 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
822. W|case domenicos spinach artichoke agnolotti 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
823. W|case domenicos spinach artichoke ravioli square 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
824. W|case domenicos spinach artichoke tortellini 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
825. W|case domenicos strozzapreticasarecce 7lb|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
826. W|case domenicos summer corn agnolotti 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
827. W|case domenicos summer corn ravioli square 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
828. W|case domenicos summer corn tortellini 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
829. W|case domenicos sun dried tomato halves 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
830. W|case domenicos sundried tomato pesto with marcona almonds 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
831. W|case domenicos sweet pea agnolotti 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
832. W|case domenicos sweet pea ravioli square 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
833. W|case domenicos sweet pea tortellini 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
834. W|case domenicos sweet potato agnolotti 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
835. W|case domenicos sweet potato gnocchi 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
836. W|case domenicos sweet potato ravioli square 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
837. W|case domenicos sweet potato tortellini 5lb|case 5 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
838. W|case domenicos tagliatelle 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
839. W|case domenicos tagliolini 284oz|case 7 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
840. W|case domenicos toasted walnut pesto 7oz|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
