1. W|caselletti puglia|igp primitivo 2020|??|r|primitivo|??|??|2020|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
649. W|casillero del diablo|reserva pedro jimenez|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=648
650. W|casillero del diablo|reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
651. W|casillero del diablo|reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=650
652. W|casillero del diablo|reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=650
653. W|casillero del diablo|reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=650
654. W|casillero del diablo|reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=650
655. W|casillero del diablo|reserva pinot noir 2011|??|r|pinot noir|??|??|2011|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
656. W|casillero del diablo|reserva pinot noir 2013|??|r|pinot noir|??|??|2013|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
657. W|casillero del diablo|reserva pinot noir 750cc|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
658. W|casillero del diablo|reserva privada|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
659. W|casillero del diablo|reserva privada|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=658
660. W|casillero del diablo|reserva privada assemblage tinto 2019|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
661. W|casillero del diablo|reserva privada cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
662. W|casillero del diablo|reserva privada cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=661
663. W|casillero del diablo|reserva privada cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=661
664. W|casillero del diablo|reserva privada cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=661
665. W|casillero del diablo|reserva privada cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=661
666. W|casillero del diablo|reserva privada cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
667. W|casillero del diablo|reserva privada carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
668. W|casillero del diablo|reserva privada carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=667
669. W|casillero del diablo|reserva privada carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=667
670. W|casillero del diablo|reserva privada carmenere 2020|??|r|carmenere|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
671. W|casillero del diablo|reserva privada carmenere 2020|??|r|carmenere|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=670
672. W|casillero del diablo|reserva privada carmenere 2020|??|r|carmenere|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=670
673. W|casillero del diablo|reserva red blend|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
674. W|casillero del diablo|reserva red blend|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=673
675. W|casillero del diablo|reserva red blend|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=673
676. W|casillero del diablo|reserva red blend 2020|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
677. W|casillero del diablo|reserva rosado|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
678. W|casillero del diablo|reserva rosado|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco|=677
679. W|casillero del diablo|reserva rose|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
680. W|casillero del diablo|reserva rose|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco|=679
681. W|casillero del diablo|reserva rose|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco|=679
682. W|casillero del diablo|reserva rose|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco|=679
683. W|casillero del diablo|reserva rose 2021|??|p|??|??|??|2021|12.5|reserva|leve|saladas, aves, queijos leves|seco
684. W|casillero del diablo|reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
685. W|casillero del diablo|reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=684
686. W|casillero del diablo|reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=684
687. W|casillero del diablo|reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=684
688. W|casillero del diablo|reserva sauvignon blanc 2020|??|w|sauvignon blanc|??|??|2020|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
689. W|casillero del diablo|reserva sauvignon blanc 750cc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
690. W|casillero del diablo|reserva sauvignon blanc branco|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
691. W|casillero del diablo|reserva seleccion red|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
692. W|casillero del diablo|reserva shiraz|??|r|shiraz|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
693. W|casillero del diablo|reserva shiraz|??|r|shiraz|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=692
694. W|casillero del diablo|reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
695. W|casillero del diablo|reserve chardonnay|??|w|chardonnay|??|??|NV|12.5|reserve|leve|frutos do mar, peixes, saladas|seco
696. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
697. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=696
698. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=696
699. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=696
700. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=696
701. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=696
702. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=696
703. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=696
704. W|casillero del diablo|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=696
705. W|casillero del diablo|rose reserva|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
706. W|casillero del diablo|rose reserva|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco|=705
707. W|casillero del diablo|rose reserva|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco|=705
708. W|casillero del diablo|rose reserva|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco|=705
709. W|casillero del diablo route of|cabernet sauvignon maipo valley 16 months|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
710. W|casillero del diablo route of|cabernet sauvignon maule valley 10 months|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
711. W|casillero del diablo route of|cabernet sauvignon rapel valley 12 months|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
712. W|casillero del diablo sauv|blanc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
713. W|casillero del diablo sauvig|blanc x 2 bot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
714. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
715. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
716. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
717. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
718. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
719. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
720. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
721. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
722. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
723. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
724. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
725. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
726. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
727. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
728. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
729. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
730. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
731. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
732. W|casillero del diablo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=714
733. W|casillero del diablo|sauvignon blanc 13|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
734. W|casillero del diablo|sauvignon blanc bottle|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
735. W|casillero del diablo|sauvignon blanc reserva|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
736. W|casillero del diablo|sauvignon blanc reserva|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=735
737. W|casillero del diablo|sauvignon blanc reserva|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=735
738. W|casillero del diablo|sauvignon blanc reserva|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=735
739. W|casillero del diablo|sauvignon blanc reserva|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=735
740. W|casillero del diablo|sauvignon blanc reserva valle de casablanca|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
741. W|casillero del diablo|sauvignon blanc reserva white 2020|??|w|sauvignon blanc|??|??|2020|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
742. W|casillero del diablo|sauvignon blanc single serve|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
743. W|casillero del diablo|sauvignon blanc wine|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
744. W|casillero del diablo|sauvignon blanc x|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
745. W|casillero del diablo seleccion|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
746. W|casillero del diablo|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
747. W|casillero del diablo|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=746
748. W|casillero del diablo|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=746
749. W|casillero del diablo|shiraz 135|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
750. W|casillero del diablo|shiraz 2020|??|r|shiraz|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
751. W|casillero del diablo|shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
752. W|casillero del diablo|shiraz 2022|??|r|shiraz|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
753. W|casillero del diablo|shiraz reserva 2021|??|r|shiraz|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
754. W|casillero del diablo|shiraz rose|??|p|shiraz|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
755. W|casillero del diablo|sparkling brut cyt chile|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
756. W|casillero del diablo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
757. W|casillero del diablo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=756
758. W|casillero del diablo terrunyo|cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
759. W|casillero del diablo terrunyo|carmenere 2021|??|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
760. W|casillero del diablo the master|cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
761. W|casillero del diablo|vinho merlot casillero del diablo|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
762. X
763. W|casillero del diablo zero alcohol free|sparkling|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
764. W|casillero del diablo zero alcohol free|sparkling|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=763
765. W|casillero del diablo zero|sparkling wine|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
766. W|casillero devils carnaval fabulous|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
767. W|casillero devils carnaval phenomenal|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
768. W|casillero devils carnaval spectacular|cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
769. W|casillero devils collection|red ensamblaje|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
770. W|casillero devils collection|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
771. W|casillero devils collection|white ensamblaje|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
772. W|casillero diablo|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
773. W|casillero|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
774. W|casillero|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
775. W|casillero|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
776. W|casillero|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
777. W|casillero|reserva privada cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
778. W|casillero|reserva privada carmenere 2019|??|r|carmenere|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
779. W|casillero|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
780. W|casillero|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
781. W|casillero|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
782. W|casimir|515|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
783. W|casimir balthazar|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
784. W|casimir domaine|mullerkoeberle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
785. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
786. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
787. W|casimiro assemblaggio|igt della svizzera italiana|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
788. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
789. W|casina bric|460 nebbiolo mesdi piemonte italy 2024|it|r|nebbiolo|piemonte|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
790. W|casina bric ansj|rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
791. W|casina bric barolo|2015|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
792. W|casina bric barolo|2015|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=791
793. W|casina bric barolo bricco delle viole riserva|2015|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
794. W|casina bric barolo bricco delle viole riserva|2015|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=793
795. W|casina bric barolo casina bric|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
796. W|casina bric barolo casina bric|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=795
797. W|casina bric langhe arneis ansi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
798. W|casina bric langhe arneis ansi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=797
799. W|casina bric langhe|rosso ansi 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
800. W|casina bric langhe|rosso ansi 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=799
801. W|casina bric langhe|rosso ansi 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=799
802. W|casina bric|mesdi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
803. W|casina bric mesdi bianco|nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
804. W|casina bric mesdi bianco|nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=803
805. W|casina bric mesdi|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
806. W|casina bric mesdi|rosso nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
807. W|casina bric mesdi|rosso nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=806
808. W|casina bric mesdi|rosso nm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=806
809. W|casina bric|nebbiolo dalba origoginis brut nature rose 2014|??|p|nebbiolo|??|??|2014|12.5|??|encorpado|saladas, aves, queijos leves|seco
810. W|casina bric|nebbiolo dalba origoginis brut nature rose 2014|??|p|nebbiolo|??|??|2014|12.5|??|encorpado|saladas, aves, queijos leves|seco|=809
811. W|casina bric|nebbiolo dalba origoginis brut rose cuvee 970 2021|??|p|nebbiolo|??|??|2021|12.5|??|encorpado|saladas, aves, queijos leves|seco
812. W|casina bric|nebbiolo dalba origoginis brut rose cuvee 970 2021|??|p|nebbiolo|??|??|2021|12.5|??|encorpado|saladas, aves, queijos leves|seco|=811
813. W|casina bric|nebbiolo dalba rose cuvee 970 origoginis 12 mm lungo|??|p|nebbiolo|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
814. W|casina bric|nebbiolo mesdi italy|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
815. W|casina cucci bianco salento|igp candido|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
816. W|casina cucci|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
817. W|casina di burchio la dogana viogner|igt toscana bianco 2024 vino bianco|it|r|??|toscana|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
818. W|casina di burchio lavernae|syrah igt toscana rosso 2020 vino rosso|it|r|syrah|toscana|??|2020|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
819. W|casina di burchio lavernae|syrah mgm owc igt toscana rosso 2020 vino rosso|it|r|syrah|toscana|??|2020|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
820. W|casina di cornia|2021 chianti classico|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
821. W|casina di cornia chianti|classic riserva 2019|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
822. W|casina luisin maggiur|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
823. W|casina rossa|100 italian fennel pollen 05 oz|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
824. W|casina rossa|100 italian pinoli pine nuts 17 oz|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
825. W|casina rossa caperberries in|prosecco 63 oz|it|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
826. W|casina rossa corona beans|11 lb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
827. W|casina rossa gourmet salts|gift stack 6 x 11 oz jars|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
828. W|casina rossa mixed|olives|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
829. W|casina rossa mushroom mix|10 oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
830. W|casina rossa mushroom spread with truffles|35 oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
831. W|casina rossa puro tartufo|100 dried black truffle flakes 10 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
832. W|casina rossa sundried tomato with ricotta|32 oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
833. W|casinha enxaimel c mini tabletes amargo|70 nugali 125g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
834. W|casino|70 ethyl alcohol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
835. W|casino|70 ethyl alcohol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=834
836. W|casino|70 ethyl alcohol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=834
837. W|casino|70 ethyl alcohol mild|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
838. W|casino|70 ethyl alcohol mild fragrance|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
839. W|casino|70 ethyl alcohol mild fragrance|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=838
840. W|casino|70 ethyl alcohol mild fragrance 1 gallon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
841. W|casino|70 ethyl alcohol regular|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
842. W|casino|70 ethyl alcohol regular|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=841
843. W|casino|70 ethyl alcohol regular|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=841
844. W|casino|70 ethyl alcohol regular|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=841
845. W|casino|70 ethyl alcohol solution mild fragrance|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
846. W|casino active|70 ethyl alcohol triclosan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
847. W|casino active|70 ethyl alcohol triclosan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=846
848. W|casino active|70 ethyl alcohol triclosan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=846
849. W|casino alcohol|active|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
850. W|casino alcohol|active|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=849
851. W|casino alcohol|active|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=849
852. W|casino alcohol|femme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
853. W|casino alcohol|mild|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
854. W|casino alcohol|mild|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=853
855. W|casino alcohol|mild|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=853
856. W|casino azul|3 in 1 tower|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
857. W|casino azul|3 in 1 tower|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=856
